,county_code,voivod_code,county_x,voivodship,county_area,voivod_area,county_ratio_by_area,county_y,2017_county_pop,2018_county_pop,2019_county_pop,2020_county_pop,2021_county_pop,2017_voivod_pop,2018_voivod_pop,2019_voivod_pop,2020_voivod_pop,2021_voivod_pop,county_pop_mean,voivod_pop_mean,2017_county_ratio_by_pop,2018_county_ratio_by_pop,2019_county_ratio_by_pop,2020_county_ratio_by_pop,2021_county_ratio_by_pop,county_ratio_by_pop
0,201000,200000,powiat bolesławiecki,dolnośląskie,1304.0,19947.0,0.065373,powiat bolesławiecki,89976,89976,89976,88672,88672,2901430,2901925,2898312,2910229,2898212,89454,2902021,0.031011,0.031006,0.031044,0.030469,0.030595,0.030825
1,202000,200000,powiat dzierżoniowski,dolnośląskie,479.0,19947.0,0.024014,powiat dzierżoniowski,102027,101548,101069,98195,96758,2901430,2901925,2898312,2910229,2898212,99919,2902021,0.035164,0.034993,0.034872,0.033741,0.033385,0.034431
2,203000,200000,powiat głogowski,dolnośląskie,443.0,19947.0,0.022209,powiat głogowski,89929,89486,89043,86828,86385,2901430,2901925,2898312,2910229,2898212,88334,2902021,0.030995,0.030837,0.030722,0.029835,0.029806,0.030439
3,204000,200000,powiat górowski,dolnośląskie,738.0,19947.0,0.036998,powiat górowski,35424,35424,34686,33210,33210,2901430,2901925,2898312,2910229,2898212,34390,2902021,0.012209,0.012207,0.011968,0.011411,0.011459,0.01185
4,205000,200000,powiat jaworski,dolnośląskie,582.0,19947.0,0.029177,powiat jaworski,51216,50634,50052,48888,48306,2901430,2901925,2898312,2910229,2898212,49819,2902021,0.017652,0.017448,0.017269,0.016799,0.016668,0.017167
5,206000,200000,powiat jeleniogórski,dolnośląskie,627.0,19947.0,0.031433,powiat jeleniogórski,63954,63954,63327,62073,61446,2901430,2901925,2898312,2910229,2898212,62950,2902021,0.022042,0.022038,0.02185,0.021329,0.021201,0.021692
6,207000,200000,powiat kamiennogórski,dolnośląskie,396.0,19947.0,0.019853,powiat kamiennogórski,43956,43560,43164,41976,41184,2901430,2901925,2898312,2910229,2898212,42768,2902021,0.01515,0.015011,0.014893,0.014424,0.01421,0.014737
7,208000,200000,powiat kłodzki,dolnośląskie,1642.0,19947.0,0.082318,powiat kłodzki,160916,159274,157632,152706,151064,2901430,2901925,2898312,2910229,2898212,156318,2902021,0.055461,0.054886,0.054388,0.052472,0.052123,0.053865
8,209000,200000,powiat legnicki,dolnośląskie,744.0,19947.0,0.037299,powiat legnicki,55056,55056,55056,55056,55056,2901430,2901925,2898312,2910229,2898212,55056,2902021,0.018975,0.018972,0.018996,0.018918,0.018997,0.018972
9,210000,200000,powiat lubański,dolnośląskie,428.0,19947.0,0.021457,powiat lubański,54784,54784,54356,53072,52216,2901430,2901925,2898312,2910229,2898212,53842,2902021,0.018882,0.018879,0.018754,0.018236,0.018017,0.018553
