EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME

 4108,122392,FRANKFURT/ODER                          ,DE,+52:21:55,+014:32:16,  48, FG7,19640101,19841231,   11,National Climate Data Center (DWD)                
 4108,223289,SLUBICE                                 ,PL,+52:20:55,+014:37:11,  53,FG17,19520413,20211116,   83,GSOD                                              
 4108,240692,SLUBICE                                 ,PL,+52:20:55,+014:37:11,  53,FG17,19510201,20220625,   26,Miroslaw Mietus                                   
 4108,912310,SLUBICE                                 ,PL,+52:21:00,+014:36:00,  24, FG5,19800101,20200229,     ,                    
23808,222810,BABICE                                  ,PL,+52:16:04,+020:54:39, 107,FG17,20040907,20211123,   83,GSOD                                              
23808,239090,WARSZAWA-BIELANY                        ,PL,+52:17:00,+020:58:00,  91,FG17,19510326,20220726,   26,Miroslaw Mietus                                   
23808,239102,WARSZAWA-FILTRY                         ,PL,+52:13:10,+020:59:57,  91,FG17,20131123,20220810,   26,Miroslaw Mietus                                   
23808,240278,WARSZAWA-OBSERWATORIUM II               ,PL,+52:13:00,+021:02:00, 110,FG17,20220101,20220831,   26,Miroslaw Mietus                                   
23808,240674,WARSZAWA OBS.ASTR.                      ,PL,+52:13:12,+021:01:48, 110,FG17,19510124,19980927,   26,Miroslaw Mietus                                   
23808,240695,WARSZAWA-OKECIE                         ,PL,+52:09:46,+020:57:40, 107,FG17,19510326,20211229,   26,Miroslaw Mietus                                   
23808,912375,WARSZAWA-OKECIE                         ,PL,+52:10:00,+020:58:00, 106, FG5,19800101,20200229,     ,                    
23829,222831,LUBLINEK                                ,PL,+51:43:01,+019:24:00, 184,FG17,20040810,20211123,   83,GSOD                                              
23829,240689,LODZ                                    ,PL,+51:43:48,+019:24:00, 187,FG17,19530215,20211229,   26,Miroslaw Mietus                                   
23829,912465,LODZ                                    ,PL,+51:44:00,+019:24:00, 190, FG5,19800101,20200229,     ,                    
23864,222866,KOLO                                    ,PL,+52:12:00,+018:40:01, 117,FG17,19520410,20211123,   83,GSOD                                              
23864,240134,KOLO                                    ,PL,+52:12:01,+018:39:41, 113,FG17,19510827,20201230,   26,Miroslaw Mietus                                   
23864,240694,POZNAN                                  ,PL,+52:11:59,+018:39:37, 115,FG17,19510423,20211229,   26,Miroslaw Mietus                                   
23864,912345,KOLO                                    ,PL,+52:12:00,+018:40:00, 117, FG5,19800122,20200229,     ,                    
 2022,223267,KOSZALIN                                ,PL,+54:12:16,+016:09:19,  33,FG17,19520102,20211116,   83,GSOD                                              
 2022,240289,KOSZALIN                                ,PL,+54:12:16,+016:09:19,  33,FG17,19520816,20220930,   26,Miroslaw Mietus                                   
 2022,912105,KOSZALIN                                ,PL,+54:12:00,+016:08:59,  34, FG5,19800101,20200229,     ,                    
  332,223273,LEBA                                    ,PL,+54:45:13,+017:32:05,   2,FG17,19730101,20211123,   83,GSOD                                              
  332,240705,LEBA                                    ,PL,+54:45:13,+017:32:05,   2,FG17,19610801,20211229,   26,Miroslaw Mietus                                   
  332,912120,LEBA                                    ,PL,+54:45:00,+017:32:00,   6, FG5,19800101,20200229,     ,                    
 8935,223274,LEBORK                                  ,PL,+54:33:00,+017:45:00,  38,FG17,19530422,20211116,   83,GSOD                                              
 8935,240242,LEBORK                                  ,PL,+54:33:11,+017:43:25,  45,FG17,19541118,20220527,   26,Miroslaw Mietus                                   
 8935,912125,LEBORK                                  ,PL,+54:33:00,+017:45:00,  41, FG5,19800122,20200229,     ,                    
 8934,223275,USTKA                                   ,PL,+54:34:48,+016:52:12,   6,FG17,19860101,20081015,   83,GSOD                                              
 8934,240230,USTKA                                   ,PL,+54:35:18,+016:51:15,  18,FG17,19530830,20211229,   26,Miroslaw Mietus                                   
 8934,912115,USTKA                                   ,PL,+54:35:00,+016:52:00,  11, FG5,19800122,20200229,     ,                    
  205,223276,HEL                                     ,PL,+54:36:13,+018:48:43,   1,FG17,19550701,20211123,   83,GSOD                                              
  205,240706,HEL                                     ,PL,+54:36:13,+018:48:43,   1,FG17,19510829,20211229,   26,Miroslaw Mietus                                   
  205,912135,HEL                                     ,PL,+54:36:00,+018:49:00,   3, FG5,19800101,20200229,     ,                    
 8980,223281,GDANSK-SWIBNO                           ,PL,+54:19:48,+018:55:48,   7,FG17,19820901,20211123,   83,GSOD                                              
 8980,239846,GDANSK-SWIBNO                           ,PL,+54:20:00,+018:56:00,   0,FG17,19510305,20220704,   26,Miroslaw Mietus                                   
 8980,912155,GDANSK-SWIBNO                           ,PL,+54:20:01,+018:56:04,   9, FG5,19830201,20200229,     ,                    
 2023,223282,KETRZYN                                 ,PL,+54:04:12,+021:22:12, 108,FG17,19520102,20211123,   83,GSOD                                              
 2023,240361,KETRZYN                                 ,PL,+54:04:12,+021:22:12, 108,FG17,19660101,20220616,   26,Miroslaw Mietus                                   
 2023,912185,KETRZYN                                 ,PL,+54:04:00,+021:22:00, 110, FG5,19800101,20200229,     ,                    
 8941,223283,RESKO                                   ,PL,+53:46:12,+015:25:12,  52,FG17,19730101,20211123,   83,GSOD                                              
 8941,240158,RESKO-SMOLSKO                           ,PL,+53:46:18,+015:24:53,  66,FG17,19510306,20220917,   26,Miroslaw Mietus                                   
 8941,912210,RESKO                                   ,PL,+53:46:00,+015:25:00,  56, FG5,19800113,20200229,     ,                    
 8942,223284,SZCZECINEK                              ,PL,+53:43:12,+016:40:48, 137,FG17,19730101,20211123,   83,GSOD                                              
 8942,240170,SZCZECINEK                              ,PL,+53:42:53,+016:44:48, 138,FG17,19510325,20000429,   26,Miroslaw Mietus                                   
 8942,912215,SZCZECINEK                              ,PL,+53:43:00,+016:41:00, 144, FG5,19800122,20200229,     ,                    
 8943,223286,PILA                                    ,PL,+53:07:48,+016:45:00,  72,FG17,19730108,20041231,   83,GSOD                                              
 8943,240349,PILA                                    ,PL,+53:07:48,+016:45:00,  72,FG17,19701012,20220318,   26,Miroslaw Mietus                                   
 8943,912230,PILA                                    ,PL,+53:08:00,+016:45:00,  73, FG5,19800217,20200229,     ,                    
 8945,223287,MIKOLAJKI                               ,PL,+53:46:48,+021:34:48, 127,FG17,19621110,20211123,   83,GSOD                                              
 8945,240194,MIKOLAJKI                               ,PL,+53:47:22,+021:35:19, 144,FG17,19521230,20220418,   26,Miroslaw Mietus                                   
 8945,912280,MIKOLAJKI                               ,PL,+53:47:00,+021:35:00, 132, FG5,19800122,20200229,     ,                    
 8947,223288,GOZOW WLKP.                             ,PL,+52:45:00,+015:16:48,  72,FG17,19520102,20211123,   83,GSOD                                              
 8947,240693,GORZOW WLKP                             ,PL,+52:44:28,+015:16:38,  71,FG17,19530114,20211229,   26,Miroslaw Mietus                                   
 8947,912300,GORZOW WLKP                             ,PL,+52:45:00,+015:17:00,  73, FG5,19800101,20200229,     ,                    
  779,122392,FRANKFURT/ODER                          ,DE,+52:21:55,+014:32:16,  48, FG7,19640101,19841231,   11,National Climate Data Center (DWD)                
  779,223289,SLUBICE                                 ,PL,+52:20:55,+014:37:11,  53,FG17,19520413,20211116,   83,GSOD                                              
  779,240692,SLUBICE                                 ,PL,+52:20:55,+014:37:11,  53,FG17,19510201,20220625,   26,Miroslaw Mietus                                   
  333,223292,SIEDLCE                                 ,PL,+52:10:52,+022:14:41, 152,FG17,19730101,20211123,   83,GSOD                                              
  333,240696,SIEDLCE                                 ,PL,+52:10:52,+022:14:41, 152,FG17,19510124,20211229,   26,Miroslaw Mietus                                   
  333,912385,SIEDLCE                                 ,PL,+52:15:00,+022:15:00, 155, FG5,19800101,20200229,     ,                    
  922,223294,TERESPOL                                ,PL,+52:04:43,+023:37:19, 133,FG17,19730108,20211123,   83,GSOD                                              
  922,240697,TERESPOL                                ,PL,+52:04:43,+023:37:19, 133,FG17,19550201,20220402,   26,Miroslaw Mietus                                   
  922,912399,TERESPOL                                ,PL,+52:04:00,+023:37:00, 137, FG5,19800525,20200229,     ,                    
  922,933008,BREST                                   ,BY,+52:07:00,+023:41:00, 146, FG5,19800101,20200229,     ,                    
  923,223295,LESZNO                                  ,PL,+51:50:08,+016:32:05,  91,FG17,19730101,20041231,   83,GSOD                                              
  923,240685,LESZNO                                  ,PL,+51:50:08,+016:32:05,  91,FG17,19580101,20220308,   26,Miroslaw Mietus                                   
  923,912418,LESZNO                                  ,PL,+51:50:00,+016:32:00,  92, FG5,19800910,20200229,     ,                    
 2032,223296,KALISZ                                  ,PL,+51:43:48,+018:04:48, 140,FG17,19520105,20211123,   83,GSOD                                              
