EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : wind speed in 0.1 m/s
23-27 Q_FG : Quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, LAZY (STAID: 24885).
Blended and updated with sources: 237074 237386 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
237386,19790101,   50,    0
237386,19790102,   73,    0
237386,19790103,   87,    0
237386,19790104,   53,    0
237386,19790105,  160,    0
237386,19790106,   43,    0
237386,19790107,   10,    0
237386,19790108,   10,    0
237386,19790109,   10,    0
237386,19790110,   17,    0
237386,19790111,   27,    0
237386,19790112,   13,    0
237386,19790113,   10,    0
237386,19790114,   47,    0
237386,19790115,   40,    0
237386,19790116,   10,    0
237386,19790117,   10,    0
237386,19790118,   30,    0
237386,19790119,   40,    0
237386,19790120,   30,    0
237386,19790121,   13,    0
237386,19790122,   10,    0
237386,19790123,   30,    0
237386,19790124,   10,    0
237386,19790125,   10,    0
237386,19790126,   10,    0
237386,19790127,   10,    0
237386,19790128,   10,    0
237386,19790129,   13,    0
237386,19790130,   73,    0
237386,19790131,   23,    0
237386,19790201,   37,    0
237386,19790202,   47,    0
237386,19790203,   13,    0
237386,19790204,   10,    0
237386,19790205,   10,    0
237386,19790206,   13,    0
237386,19790207,   10,    0
237386,19790208,   37,    0
237386,19790209,   30,    0
237386,19790210,   10,    0
237386,19790211,   10,    0
237386,19790212,   43,    0
237386,19790213,   30,    0
237386,19790214,   13,    0
237386,19790215,   23,    0
237386,19790216,  120,    0
237386,19790217,   67,    0
237386,19790218,   73,    0
237386,19790219,   50,    0
237386,19790220,   27,    0
237386,19790221,   13,    0
237386,19790222,   10,    0
237386,19790223,   10,    0
237386,19790224,   10,    0
237386,19790225,   10,    0
237386,19790226,   10,    0
237386,19790227,   10,    0
237386,19790228,   20,    0
237386,19790301,   27,    0
237386,19790302,   13,    0
237386,19790303,   10,    0
237386,19790304,   10,    0
237386,19790305,   10,    0
237386,19790306,   10,    0
237386,19790307,   10,    0
237386,19790308,   10,    0
237386,19790309,   10,    0
237386,19790310,   30,    0
237386,19790311,   13,    0
237386,19790312,   10,    0
237386,19790313,   33,    0
237386,19790314,   10,    0
237386,19790315,   23,    0
237386,19790316,   20,    0
237386,19790317,   87,    0
237386,19790318,   43,    0
237386,19790319,   10,    0
237386,19790320,   23,    0
237386,19790321,   33,    0
237386,19790322,   10,    0
237386,19790323,   10,    0
237386,19790324,   10,    0
237386,19790325,   10,    0
237386,19790326,   10,    0
237386,19790327,   10,    0
237386,19790328,   13,    0
237386,19790329,   30,    0
237386,19790330,   33,    0
237386,19790331,   30,    0
237386,19790401,   10,    0
237386,19790402,   10,    0
237386,19790403,   27,    0
237386,19790404,   27,    0
237386,19790405,   27,    0
237386,19790406,   57,    0
237386,19790407,   17,    0
237386,19790408,   13,    0
237386,19790409,   10,    0
237386,19790410,   13,    0
237386,19790411,   30,    0
237386,19790412,   33,    0
237386,19790413,   13,    0
237386,19790414,   10,    0
237386,19790415,   13,    0
237386,19790416,   13,    0
237386,19790417,   20,    0
237386,19790418,   23,    0
237386,19790419,   23,    0
237386,19790420,   30,    0
237386,19790421,   10,    0
237386,19790422,   10,    0
237386,19790423,   63,    0
237386,19790424,   17,    0
237386,19790425,   27,    0
237386,19790426,   10,    0
237386,19790427,   10,    0
237386,19790428,   10,    0
237386,19790429,   20,    0
237386,19790430,   67,    0
237386,19790501,   10,    0
237386,19790502,   37,    0
237386,19790503,   10,    0
237386,19790504,   17,    0
237386,19790505,   20,    0
237386,19790506,   43,    0
237386,19790507,   10,    0
237386,19790508,   30,    0
237386,19790509,   10,    0
237386,19790510,   23,    0
237386,19790511,   13,    0
237386,19790512,   33,    0
237386,19790513,   20,    0
237386,19790514,   13,    0
237386,19790515,   10,    0
237386,19790516,   10,    0
237386,19790517,   10,    0
237386,19790518,   10,    0
237386,19790519,   10,    0
237386,19790520,   10,    0
237386,19790521,   10,    0
237386,19790522,   10,    0
237386,19790523,   10,    0
237386,19790524,   20,    0
