EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : wind speed in 0.1 m/s
23-27 Q_FG : Quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, PLOCK (STAID: 25141).
Blended and updated with sources: 240146 912360 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
240146,19790101,    0,    0
240146,19790102,   66,    0
240146,19790103,    0,    0
240146,19790104,   28,    0
240146,19790105,    0,    0
240146,19790106,   43,    0
240146,19790107,    0,    0
240146,19790108,   79,    0
240146,19790109,    0,    0
240146,19790110,   51,    0
240146,19790111,    0,    0
240146,19790112,   30,    0
240146,19790113,    0,    0
240146,19790114,   50,    0
240146,19790115,    0,    0
240146,19790116,   55,    0
240146,19790117,    0,    0
240146,19790118,   45,    0
240146,19790119,    0,    0
240146,19790120,   50,    0
240146,19790121,    0,    0
240146,19790122,   46,    0
240146,19790123,    0,    0
240146,19790124,   60,    0
240146,19790125,    0,    0
240146,19790126,   48,    0
240146,19790127,    0,    0
240146,19790128,   66,    0
240146,19790129,    0,    0
240146,19790130,   69,    0
240146,19790131,    0,    0
240146,19790201,   88,    0
240146,19790202,    0,    0
240146,19790203,   84,    0
240146,19790204,    0,    0
240146,19790205,   19,    0
240146,19790206,    0,    0
240146,19790207,   40,    0
240146,19790208,    0,    0
240146,19790209,  104,    0
240146,19790210,    0,    0
240146,19790211,   24,    0
240146,19790212,    0,    0
240146,19790213,   44,    0
240146,19790214,    0,    0
240146,19790215,  109,    0
240146,19790216,    0,    0
240146,19790217,  116,    0
240146,19790218,    0,    0
240146,19790219,   88,    0
240146,19790220,    0,    0
240146,19790221,   58,    0
240146,19790222,    0,    0
240146,19790223,   39,    0
240146,19790224,    0,    0
240146,19790225,   24,    0
240146,19790226,    0,    0
240146,19790227,   36,    0
240146,19790228,    0,    0
240146,19790301,   46,    0
240146,19790302,    0,    0
240146,19790303,   53,    0
240146,19790304,    0,    0
240146,19790305,   39,    0
240146,19790306,    0,    0
240146,19790307,   55,    0
240146,19790308,    0,    0
240146,19790309,   31,    0
240146,19790310,    0,    0
240146,19790311,   44,    0
240146,19790312,    0,    0
240146,19790313,   80,    0
240146,19790314,    0,    0
240146,19790315,   64,    0
240146,19790316,    0,    0
240146,19790317,   61,    0
240146,19790318,    0,    0
240146,19790319,   44,    0
240146,19790320,    0,    0
240146,19790321,   50,    0
240146,19790322,    0,    0
240146,19790323,   35,    0
240146,19790324,    0,    0
240146,19790325,   43,    0
240146,19790326,    0,    0
240146,19790327,   34,    0
240146,19790328,    0,    0
240146,19790329,   58,    0
240146,19790330,    0,    0
240146,19790331,   58,    0
240146,19790401,    0,    0
240146,19790402,   53,    0
240146,19790403,    0,    0
240146,19790404,   53,    0
240146,19790405,    0,    0
240146,19790406,   69,    0
240146,19790407,    0,    0
240146,19790408,   48,    0
240146,19790409,    0,    0
240146,19790410,   46,    0
240146,19790411,    0,    0
240146,19790412,   36,    0
240146,19790413,    0,    0
240146,19790414,   26,    0
240146,19790415,    0,    0
240146,19790416,   49,    0
240146,19790417,    0,    0
240146,19790418,   69,    0
240146,19790419,    0,    0
240146,19790420,   30,    0
240146,19790421,    0,    0
240146,19790422,   38,    0
240146,19790423,    0,    0
240146,19790424,   46,    0
240146,19790425,    0,    0
240146,19790426,   34,    0
240146,19790427,    0,    0
240146,19790428,   38,    0
240146,19790429,    0,    0
240146,19790430,   88,    0
240146,19790501,    0,    0
240146,19790502,   60,    0
240146,19790503,    0,    0
240146,19790504,   30,    0
240146,19790505,    0,    0
240146,19790506,   48,    0
240146,19790507,    0,    0
240146,19790508,   24,    0
240146,19790509,    0,    0
240146,19790510,   41,    0
240146,19790511,    0,    0
240146,19790512,   49,    0
240146,19790513,    0,    0
240146,19790514,   30,    0
240146,19790515,    0,    0
240146,19790516,   28,    0
240146,19790517,    0,    0
240146,19790518,   41,    0
240146,19790519,    0,    0
240146,19790520,   59,    0
240146,19790521,    0,    0
240146,19790522,   23,    0
240146,19790523,    0,    0
240146,19790524,   51,    0
240146,19790525,    0,    0
240146,19790526,   20,    0
240146,19790527,    0,    0
240146,19790528,   46,    0
240146,19790529,    0,    0
240146,19790530,   34,    0
240146,19790531,    0,    0
240146,19790601,   28,    0
240146,19790602,    0,    0
240146,19790603,   31,    0
240146,19790604,    0,    0
240146,19790605,   33,    0
240146,19790606,    0,    0
240146,19790607,   18,    0
240146,19790608,    0,    0
240146,19790609,   35,    0
240146,19790610,    0,    0
240146,19790611,   18,    0
240146,19790612,    0,    0
240146,19790613,   25,    0
240146,19790614,    0,    0
240146,19790615,   26,    0
240146,19790616,    0,    0
240146,19790617,   24,    0
240146,19790618,    0,    0
240146,19790619,   38,    0
240146,19790620,    0,    0
240146,19790621,   31,    0
240146,19790622,    0,    0
240146,19790623,   26,    0
240146,19790624,    0,    0
240146,19790625,   26,    0
240146,19790626,    0,    0
240146,19790627,   11,    0
240146,19790628,    0,    0
240146,19790629,   20,    0
240146,19790630,    0,    0
240146,19790701,   36,    0
240146,19790702,    0,    0
240146,19790703,   21,    0
240146,19790704,    0,    0
240146,19790705,   40,    0
240146,19790706,    0,    0
240146,19790707,   36,    0
240146,19790708,    0,    0
240146,19790709,   48,    0
240146,19790710,    0,    0
240146,19790711,   29,    0
240146,19790712,    0,    0
240146,19790713,   11,    0
240146,19790714,    0,    0
240146,19790715,   43,    0
240146,19790716,    0,    0
240146,19790717,   28,    0
240146,19790718,    0,    0
240146,19790719,   49,    0
240146,19790720,    0,    0
240146,19790721,   39,    0
240146,19790722,    0,    0
240146,19790723,   55,    0
240146,19790724,    0,    0
240146,19790725,   44,    0
240146,19790726,    0,    0
240146,19790727,   30,    0
240146,19790728,    0,    0
240146,19790729,   11,    0
240146,19790730,    0,    0
240146,19790731,   33,    0
240146,19790801,    0,    0
240146,19790802,   36,    0
240146,19790803,    0,    0
240146,19790804,   15,    0
240146,19790805,    0,    0
240146,19790806,   24,    0
240146,19790807,    0,    0
240146,19790808,   48,    0
240146,19790809,    0,    0
240146,19790810,   34,    0
240146,19790811,    0,    0
240146,19790812,   19,    0
240146,19790813,    0,    0
240146,19790814,   19,    0
240146,19790815,    0,    0
240146,19790816,   31,    0
240146,19790817,    0,    0
240146,19790818,   36,    0
240146,19790819,    0,    0
240146,19790820,   28,    0
240146,19790821,    0,    0
240146,19790822,   15,    0
240146,19790823,    0,    0
240146,19790824,   23,    0
240146,19790825,    0,    0
240146,19790826,   53,    0
240146,19790827,    0,    0
240146,19790828,   73,    0
240146,19790829,    0,    0
240146,19790830,   18,    0
240146,19790831,    0,    0
240146,19790901,   10,    0
240146,19790902,    0,    0
240146,19790903,   29,    0
240146,19790904,    0,    0
240146,19790905,   34,    0
240146,19790906,    0,    0
240146,19790907,   19,    0
240146,19790908,    0,    0
240146,19790909,   15,    0
240146,19790910,    0,    0
240146,19790911,   50,    0
240146,19790912,    0,    0
240146,19790913,   43,    0
240146,19790914,    0,    0
240146,19790915,   76,    0
240146,19790916,    0,    0
240146,19790917,   45,    0
240146,19790918,    0,    0
240146,19790919,   68,    0
240146,19790920,    0,    0
240146,19790921,   25,    0
240146,19790922,    0,    0
240146,19790923,   43,    0
240146,19790924,    0,    0
240146,19790925,   45,    0
240146,19790926,    0,    0
240146,19790927,   35,    0
240146,19790928,    0,    0
240146,19790929,   31,    0
240146,19790930,    0,    0
240146,19791001,   19,    0
240146,19791002,    0,    0
240146,19791003,   31,    0
240146,19791004,    0,    0
240146,19791005,   45,    0
240146,19791006,    0,    0
240146,19791007,   49,    0
240146,19791008,    0,    0
240146,19791009,   16,    0
240146,19791010,    0,    0
240146,19791011,   35,    0
240146,19791012,    0,    0
240146,19791013,   34,    0
240146,19791014,    0,    0
240146,19791015,   49,    0
240146,19791016,    0,    0
240146,19791017,   19,    0
240146,19791018,    0,    0
240146,19791019,   30,    0
240146,19791020,    0,    0
240146,19791021,   56,    0
240146,19791022,    0,    0
240146,19791023,   20,    0
240146,19791024,    0,    0
240146,19791025,   29,    0
240146,19791026,    0,    0
240146,19791027,   31,    0
240146,19791028,    0,    0
240146,19791029,   78,    0
240146,19791030,    0,    0
240146,19791031,   59,    0
240146,19791101,    0,    0
240146,19791102,   59,    0
240146,19791103,    0,    0
240146,19791104,   44,    0
240146,19791105,    0,    0
240146,19791106,   49,    0
240146,19791107,    0,    0
240146,19791108,   54,    0
240146,19791109,    0,    0
240146,19791110,   23,    0
