EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SS   : sunshine in 0.1 Hours
23-27 Q_SS : Quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, LESZNO (STAID: 923).
Blended and updated with sources: 240769 912418 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SS, Q_SS
240769,19790101,    6,    0
240769,19790102,    3,    0
240769,19790103,    2,    0
240769,19790104,    0,    0
240769,19790105,   19,    0
240769,19790106,   39,    0
240769,19790107,   48,    0
240769,19790108,    0,    0
240769,19790109,    0,    0
240769,19790110,   25,    0
240769,19790111,    0,    0
240769,19790112,    0,    0
240769,19790113,    9,    0
240769,19790114,   11,    0
240769,19790115,    0,    0
240769,19790116,    0,    0
240769,19790117,    0,    0
240769,19790118,    0,    0
240769,19790119,    0,    0
240769,19790120,    0,    0
240769,19790121,    1,    0
240769,19790122,    0,    0
240769,19790123,    0,    0
240769,19790124,    0,    0
240769,19790125,   62,    0
240769,19790126,   13,    0
240769,19790127,   18,    0
240769,19790128,    0,    0
240769,19790129,    0,    0
240769,19790130,    0,    0
240769,19790131,    0,    0
240769,19790201,    4,    0
240769,19790202,    0,    0
240769,19790203,   41,    0
240769,19790204,   51,    0
240769,19790205,   37,    0
240769,19790206,    0,    0
240769,19790207,   42,    0
240769,19790208,   10,    0
240769,19790209,   74,    0
240769,19790210,   43,    0
240769,19790211,   54,    0
240769,19790212,    0,    0
240769,19790213,    3,    0
240769,19790214,    0,    0
240769,19790215,    0,    0
240769,19790216,    6,    0
240769,19790217,    0,    0
240769,19790218,    0,    0
240769,19790219,    1,    0
240769,19790220,   57,    0
240769,19790221,   18,    0
240769,19790222,   43,    0
240769,19790223,   54,    0
240769,19790224,    0,    0
240769,19790225,   38,    0
240769,19790226,   79,    0
240769,19790227,   82,    0
240769,19790228,   77,    0
240769,19790301,   26,    0
240769,19790302,   79,    0
240769,19790303,    4,    0
240769,19790304,    0,    0
240769,19790305,    0,    0
240769,19790306,    0,    0
240769,19790307,   28,    0
240769,19790308,   44,    0
240769,19790309,   75,    0
240769,19790310,   20,    0
240769,19790311,   68,    0
240769,19790312,   29,    0
240769,19790313,    4,    0
240769,19790314,   36,    0
240769,19790315,    0,    0
240769,19790316,    0,    0
240769,19790317,    0,    0
240769,19790318,    0,    0
240769,19790319,    0,    0
240769,19790320,    5,    0
240769,19790321,   36,    0
240769,19790322,   64,    0
240769,19790323,   38,    0
240769,19790324,   66,    0
240769,19790325,   83,    0
240769,19790326,   29,    0
240769,19790327,   57,    0
240769,19790328,   90,    0
240769,19790329,   49,    0
240769,19790330,    4,    0
240769,19790331,    0,    0
240769,19790401,    0,    0
240769,19790402,   21,    0
240769,19790403,   82,    0
240769,19790404,   29,    0
240769,19790405,    0,    0
240769,19790406,    4,    0
240769,19790407,    0,    0
240769,19790408,    0,    0
240769,19790409,    6,    0
240769,19790410,  114,    0
240769,19790411,  106,    0
240769,19790412,  115,    0
240769,19790413,   87,    0
240769,19790414,   88,    0
240769,19790415,  102,    0
240769,19790416,   68,    0
240769,19790417,    0,    0
240769,19790418,  104,    0
240769,19790419,   63,    0
240769,19790420,   65,    0
240769,19790421,    3,    0
240769,19790422,   39,    0
240769,19790423,    0,    0
240769,19790424,   37,    0
240769,19790425,    0,    0
240769,19790426,   53,    0
240769,19790427,   21,    0
240769,19790428,    7,    0
240769,19790429,   51,    0
240769,19790430,    0,    0
240769,19790501,   55,    0
240769,19790502,    0,    0
240769,19790503,   57,    0
240769,19790504,   77,    0
240769,19790505,    6,    0
240769,19790506,  105,    0
240769,19790507,   58,    0
240769,19790508,  137,    0
240769,19790509,   97,    0
240769,19790510,  107,    0
240769,19790511,  115,    0
240769,19790512,    3,    0
240769,19790513,    7,    0
240769,19790514,  120,    0
240769,19790515,  138,    0
240769,19790516,  136,    0
240769,19790517,  123,    0
240769,19790518,   90,    0
240769,19790519,  115,    0
240769,19790520,   58,    0
240769,19790521,  100,    0
240769,19790522,  127,    0
240769,19790523,  131,    0
240769,19790524,  137,    0
240769,19790525,   44,    0
240769,19790526,  128,    0
240769,19790527,  124,    0
240769,19790528,   62,    0
240769,19790529,  134,    0
240769,19790530,  144,    0
240769,19790531,  143,    0
240769,19790601,  131,    0
240769,19790602,  122,    0
240769,19790603,  135,    0
240769,19790604,  134,    0
240769,19790605,  148,    0
240769,19790606,   37,    0
240769,19790607,   48,    0
240769,19790608,   74,    0
240769,19790609,   72,    0
240769,19790610,  129,    0
240769,19790611,  117,    0
240769,19790612,   60,    0
240769,19790613,   72,    0
240769,19790614,   16,    0
240769,19790615,  102,    0
240769,19790616,    1,    0
240769,19790617,    4,    0
240769,19790618,   60,    0
240769,19790619,   89,    0
240769,19790620,  141,    0
240769,19790621,  140,    0
240769,19790622,  113,    0
240769,19790623,   16,    0
240769,19790624,  127,    0
240769,19790625,   31,    0
240769,19790626,   97,    0
240769,19790627,   81,    0
240769,19790628,    9,    0
240769,19790629,   54,    0
240769,19790630,   57,    0
240769,19790701,   49,    0
240769,19790702,   85,    0
240769,19790703,  120,    0
240769,19790704,   64,    0
240769,19790705,   74,    0
240769,19790706,   40,    0
240769,19790707,    3,    0
240769,19790708,   16,    0
240769,19790709,   21,    0
240769,19790710,    0,    0
240769,19790711,   11,    0
240769,19790712,  134,    0
240769,19790713,  129,    0
240769,19790714,   60,    0
240769,19790715,   45,    0
240769,19790716,   21,    0
240769,19790717,   14,    0
240769,19790718,    4,    0
240769,19790719,   28,    0
240769,19790720,   32,    0
240769,19790721,   34,    0
240769,19790722,   53,    0
240769,19790723,    8,    0
240769,19790724,   14,    0
240769,19790725,   38,    0
240769,19790726,   18,    0
240769,19790727,   63,    0
240769,19790728,  118,    0
240769,19790729,   83,    0
240769,19790730,   67,    0
240769,19790731,   82,    0
240769,19790801,   35,    0
240769,19790802,   99,    0
240769,19790803,  113,    0
240769,19790804,   64,    0
240769,19790805,  116,    0
240769,19790806,  113,    0
240769,19790807,   82,    0
240769,19790808,   54,    0
240769,19790809,   37,    0
240769,19790810,   26,    0
240769,19790811,   70,    0
240769,19790812,   30,    0
240769,19790813,  107,    0
240769,19790814,  134,    0
240769,19790815,  126,    0
240769,19790816,  124,    0
240769,19790817,  134,    0
240769,19790818,   97,    0
240769,19790819,   97,    0
240769,19790820,   71,    0
240769,19790821,   23,    0
240769,19790822,    0,    0
240769,19790823,   37,    0
240769,19790824,    1,    0
240769,19790825,   43,    0
240769,19790826,   98,    0
240769,19790827,   11,    0
240769,19790828,    0,    0
240769,19790829,    0,    0
240769,19790830,   33,    0
240769,19790831,   82,    0
240769,19790901,   91,    0
240769,19790902,  102,    0
240769,19790903,   48,    0
240769,19790904,   11,    0
240769,19790905,   62,    0
240769,19790906,    9,    0
240769,19790907,    0,    0
240769,19790908,   37,    0
240769,19790909,   68,    0
240769,19790910,   16,    0
240769,19790911,   57,    0
240769,19790912,   63,    0
240769,19790913,   82,    0
240769,19790914,   91,    0
240769,19790915,   61,    0
240769,19790916,   76,    0
240769,19790917,   13,    0
240769,19790918,   26,    0
240769,19790919,   16,    0
240769,19790920,   85,    0
240769,19790921,    0,    0
240769,19790922,    0,    0
