date,DsSniezkaObs,LbJarczWolaM,PmLebaRabkaE
2017-01-01 00:00:00,"3,3","12,2","5,3"
2017-01-02 00:00:00,"4,6","12,2","1,0"
2017-01-03 00:00:00,"3,0","8,2","3,0"
2017-01-04 00:00:00,"2,3","6,2","1,3"
2017-01-05 00:00:00,"2,0","2,3","0,7"
2017-01-06 00:00:00,"3,3","3,0","1,6"
2017-01-07 00:00:00,"4,3","11,2","4,9"
2017-01-08 00:00:00,"5,6","11,8","6,6"
2017-01-09 00:00:00,"4,6","9,5","7,2"
2017-01-10 00:00:00,"3,0","10,2","13,5"
2017-01-11 00:00:00,"3,0",,"7,9"
2017-01-12 00:00:00,"3,0","8,9","3,9"
2017-01-13 00:00:00,"2,6","8,9","7,9"
2017-01-14 00:00:00,"2,3","8,9","4,3"
2017-01-15 00:00:00,"2,3","9,2","1,3"
2017-01-16 00:00:00,"2,6","16,4","1,0"
2017-01-17 00:00:00,"3,0","12,8","6,9"
2017-01-18 00:00:00,"3,6","5,6","11,2"
2017-01-19 00:00:00,"5,3","12,2","12,5"
2017-01-20 00:00:00,"8,9","14,4","5,3"
2017-01-21 00:00:00,"8,5","13,1","5,3"
2017-01-22 00:00:00,"3,6","4,6","3,6"
2017-01-23 00:00:00,"3,6","8,2","5,9"
2017-01-24 00:00:00,"6,9","14,4","4,9"
2017-01-25 00:00:00,"7,2","8,9","3,9"
2017-01-26 00:00:00,"3,6","7,6","5,9"
2017-01-27 00:00:00,"3,0","10,5","15,4"
2017-01-28 00:00:00,"3,6","8,9","17,7"
2017-01-29 00:00:00,"3,3","7,9","9,2"
2017-01-30 00:00:00,"3,3","8,9","19,4"
2017-01-31 00:00:00,"3,6","6,9","25,3"
2017-02-01 00:00:00,"4,9","9,2","15,1"
2017-02-02 00:00:00,"3,0","18,4","9,2"
2017-02-03 00:00:00,"3,6","13,1","6,2"
2017-02-04 00:00:00,"3,6","3,0","7,2"
2017-02-05 00:00:00,"4,3","3,9","6,2"
2017-02-06 00:00:00,"3,9","4,3","5,3"
2017-02-07 00:00:00,"3,0","2,0","5,3"
2017-02-08 00:00:00,"4,6","2,0","6,6"
2017-02-09 00:00:00,"4,6","3,3","8,5"
2017-02-10 00:00:00,"5,3","4,6","9,5"
2017-02-11 00:00:00,"5,9","2,6","6,6"
2017-02-12 00:00:00,"6,2","1,0","3,9"
2017-02-13 00:00:00,"5,6","13,5","3,3"
2017-02-14 00:00:00,"5,3","23,3","5,3"
2017-02-15 00:00:00,"3,0","10,2","11,2"
2017-02-16 00:00:00,"5,6","19,0","13,1"
2017-02-17 00:00:00,"5,3","15,1","7,6"
2017-02-18 00:00:00,"2,3","11,5","3,9"
2017-02-19 00:00:00,"2,3","8,2","5,3"
2017-02-20 00:00:00,"3,0","10,5","4,6"
2017-02-21 00:00:00,"2,3","4,3","2,6"
2017-02-22 00:00:00,"2,3","5,6","2,6"
2017-02-23 00:00:00,"1,6","5,9","2,6"
2017-02-24 00:00:00,"1,0","3,9","2,0"
2017-02-25 00:00:00,"1,3","5,6","2,6"
2017-02-26 00:00:00,"2,3","5,9","3,6"
2017-02-27 00:00:00,"2,6","7,9","4,9"
2017-02-28 00:00:00,"1,6","5,9","4,6"
2017-03-01 00:00:00,"3,0","7,6","3,6"
2017-03-02 00:00:00,"2,3","4,9","4,6"
2017-03-03 00:00:00,"3,6","7,2","3,9"
2017-03-04 00:00:00,"3,6","5,3","16,4"
2017-03-05 00:00:00,"2,6","6,9","4,9"
2017-03-06 00:00:00,"3,9","5,6","3,9"
2017-03-07 00:00:00,"4,6","9,5","1,6"
2017-03-08 00:00:00,"4,6","5,9","4,6"
2017-03-09 00:00:00,"4,6","11,2","7,9"
2017-03-10 00:00:00,"3,6","10,5","4,6"
2017-03-11 00:00:00,"4,3","5,9","4,6"
2017-03-12 00:00:00,"3,0","3,3","5,9"
2017-03-13 00:00:00,"3,9","5,9","5,9"
2017-03-14 00:00:00,"7,6","5,6","4,9"
2017-03-15 00:00:00,"4,6","5,6","3,6"
2017-03-16 00:00:00,"4,3","8,2","3,9"
2017-03-17 00:00:00,"6,2","7,2","3,9"
2017-03-18 00:00:00,"3,6","3,3","3,6"
2017-03-19 00:00:00,"2,6","3,6","3,9"
2017-03-20 00:00:00,"3,3","8,2","2,6"
2017-03-21 00:00:00,"3,6","7,9","1,6"
2017-03-22 00:00:00,"2,6","6,6","3,3"
2017-03-23 00:00:00,"4,9","3,6","7,6"
2017-03-24 00:00:00,"3,9","8,2","8,9"
2017-03-25 00:00:00,"5,3","4,9","3,9"
2017-03-26 00:00:00,"2,6","4,6","3,9"
2017-03-27 00:00:00,"4,9","6,6","4,6"
2017-03-28 00:00:00,"5,6","9,9","4,3"
2017-03-29 00:00:00,"5,6","5,6","7,9"
2017-03-30 00:00:00,"3,9","6,9","3,6"
2017-03-31 00:00:00,"3,9","9,2","6,2"
2017-04-01 00:00:00,"3,3","5,6","8,5"
