County,Polish name,County seat,Voivodeship,Area,Gminy,Population,Density (per km2)
Aleksandrów County,powiat aleksandrowski,Aleksandrów Kujawski,Kuyavian-Pomeranian,475.61 km2,9,55.195,116
Augustów County,powiat augustowski,Augustów,Podlaskie,1658.27 km2,7,58.966,36
Bartoszyce County,powiat bartoszycki,Bartoszyce,Warmian-Masurian,1308.54 km2,6,61.354,47
Będzin County,powiat będziński,Będzin,Silesian,368.02 km2,8,151.122,411
Bełchatów County,powiat bełchatowski,Bełchatów,Łódź,969.21 km2,8,112.64,116
Biała Podlaska,"",city county,Lublin,"49,40 km2",,58.01,1.174
Biała Podlaska County,powiat bialski,Biała Podlaska,Lublin,2753.67 km2,19,113.764,41
Białobrzegi County,powiat białobrzeski,Białobrzegi,Masovian,639.28 km2,6,33.545,52
Białogard County,powiat białogardzki,Białogard,West Pomeranian,845.36 km2,4,48.241,57
Białystok,"",city county,Podlaskie,"102,12 km2",,295.21,2.891
Białystok County,powiat białostocki,Białystok,Podlaskie,2984.64 km2,15,136.797,46
Bielsk County,powiat bielski,Bielsk Podlaski,Podlaskie,"1385,2 km2",8,60.047,43
Bielsko County,powiat bielski,Bielsko-Biała,Silesian,"457,23 km2",10,150.764,330
Bielsko-Biała,"",city county,Silesian,"124,51 km2",,176.678,1.419
Bieruń-Lędziny County,powiat bieruńsko-lędziński,Bieruń,Silesian,"156,68 km2",5,55.868,357
Bieszczady County,powiat bieszczadzki,Ustrzyki Dolne,Subcarpathian,"1138,17 km2",3,22.213,20
Biłgoraj County,powiat biłgorajski,Biłgoraj,Lublin,"1677,79 km2",14,104.267,62
Bochnia County,powiat bocheński,Bochnia,Lesser Poland,"649,28 km2",9,100.382,155
Bolesławiec County,powiat bolesławiecki,Bolesławiec,Lower Silesian,"1303,26 km2",6,88.343,68
Braniewo County,powiat braniewski,Braniewo,Warmian-Masurian,"1204,54 km2",7,43.781,36
Brodnica County,powiat brodnicki,Brodnica,Kuyavian-Pomeranian,"1038,79 km2",10,75.054,72
Brzeg County,powiat brzeski,Brzeg,Opole,"876,52 km2",6,92.361,105
Brzesko County,powiat brzeski,Brzesko,Lesser Poland,590 km2,7,90.214,153
Brzeziny County,powiat brzeziński,Brzeziny,Łódź,"358,51 km2",5,30.6,85
Brzozów County,powiat brzozowski,Brzozów,Subcarpathian,"540,39 km2",6,65.254,121
Busko County,powiat buski,Busko-Zdrój,Świętokrzyskie,967.39 km2,8,73.94,76
Bydgoszcz,"",city county,Kuyavian-Pomeranian,175 km2,,364.953,2.085
