DATE,BIALOWIEZA_SD,BIALYSTOK_SD,BIEBRZA-PIENCZYKOWEK_SD,BIELSKO-BIALA_SD,BORUSOWA_SD,CHOJNICE_SD,CHORZELOW_SD,CIESZANOW_SD,DRONIOWICE_SD,DYNOW_SD,ELBLAG_SD,ELBLAG-MILEJEWO_SD,FRANKFURT/ODER_SD,GDANSK-REBIECHOWO_SD,GDANSK-SWIBNO_SD,GORZOW WLKP_SD,GORZYN_SD,HEL_SD,JABLONKA_SD,JARCZEW_SD,JELENIA GORA_SD,KALISZ_SD,KASPROWY WIERCH_SD,KATOWICE-MUCHOWIEC_SD,KETRZYN_SD,KIELCE_SD,KLODZKO_SD,KOLOBRZEG-DZWIRZYNO_SD,KOLUDA WIELKA_SD,KOMANCZA_SD,KOSZALIN_SD,KOZIENCE_SD,KRAKOW OBS. ASTRONOMICZNE_SD,KRAKOW-BALICE_SD,KROSCIENKO_SD,KROSNO_SD,KRYNICA_SD,LACKO_SD,LAZY_SD,LEBA_SD,LEBORK_SD,LEGIONOWO_SD,LEGNICA_SD,LESKO_SD,LESZNO_SD,LIDZBARK WARMINSKI_SD,LIMANOWA_SD,LODZ_SD,LUBLIN-RADAWIEC_SD,MIKOLAJKI_SD,MLAWA_SD,MSZANA DOLNA_SD,NOWY SACZ_SD,OLECKO_SD,OLSZTYN_SD,OPOLE_SD,PILA_SD,PIWNICZNA_SD,PLOCK_SD,PORONIN_SD,POZNAN_SD,PSZCZYNA_SD,PUCZNIEW_SD,PULAWY_SD,PULTUSK_SD,RACIBORZ_SD,ROZANYSTOK_SD,RZESZOW JASIONKA_SD,SIEDLCE_SD,SKIERNIEWICE_SD,SLUBICE_SD,SNIEZKA_SD,SOLINA-JAWOR_SD,STASZOW_SD,SULEJOW_SD,SWINOUJSCIE_SD,SZCZECIN_SD,SZEPIETOWO_SD,TARNOW_SD,TERESPOL_SD,TORUN_SD,USTKA_SD,WARSZAWA-BIELANY_SD,WARSZAWA-FILTRY_SD,WARSZAWA-OKECIE_SD,WIELICHOWO_SD,WIELUN_SD,WLODAWA_SD,WROCLAW_SD,ZAKOPANE_SD,ZAMOSC_SD,ZIELONA GORA_SD,mean_SD
2017-01-01,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,102.0,0.0,,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,3.0,14.0,26.0,2.0,0.0,0.0,,,,18.0,,0.0,4.0,0.0,0.0,0.0,0.0,1.0,,0.0,,0.0,,6.0,,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,,6.0,17.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,23.0,,0.0,3.8076923076923075
2017-01-02,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,101.0,0.0,,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,3.0,14.0,26.0,2.0,0.0,0.0,,,,18.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,6.0,,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,,5.0,16.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,22.0,,0.0,3.6375
2017-01-03,0.0,1.0,1.0,4.0,,0.0,5.0,1.0,3.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,3.0,0.0,105.0,2.0,,3.0,4.0,1.0,0.0,42.0,1.0,1.0,3.0,4.0,6.0,16.0,35.0,4.0,4.0,0.0,,,,18.0,3.0,2.0,9.0,0.0,0.0,0.0,1.0,4.0,,6.0,,2.0,,10.0,,20.0,0.0,2.0,0.0,1.0,0.0,,3.0,5.0,1.0,1.0,,13.0,18.0,2.0,,0.0,1.0,1.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,24.0,,3.0,5.493670886075949
2017-01-04,11.0,7.0,4.0,6.0,,4.0,10.0,1.0,14.0,5.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,4.0,0.0,106.0,11.0,,9.0,4.0,0.0,0.0,46.0,0.0,2.0,10.0,6.0,6.0,15.0,33.0,4.0,4.0,0.0,,,,18.0,,3.0,7.0,7.0,8.0,4.0,7.0,9.0,,10.0,1.0,2.0,,9.0,,16.0,0.0,8.0,2.0,6.0,3.0,,5.0,10.0,6.0,3.0,,22.0,18.0,6.0,,0.0,0.0,4.0,8.0,9.0,0.0,0.0,2.0,4.0,4.0,0.0,9.0,4.0,0.0,26.0,,1.0,7.949367088607595
2017-01-05,17.0,16.0,9.0,8.0,,7.0,8.0,3.0,19.0,13.0,15.0,6.0,1.0,10.0,2.0,0.0,0.0,1.0,33.0,4.0,8.0,1.0,111.0,16.0,6.0,16.0,9.0,1.0,1.0,54.0,2.0,2.0,6.0,8.0,11.0,19.0,36.0,8.0,4.0,3.0,,,,21.0,2.0,7.0,11.0,4.0,11.0,8.0,13.0,15.0,3.0,12.0,6.0,4.0,,14.0,,26.0,0.0,9.0,3.0,5.0,4.0,1.0,16.0,15.0,7.0,5.0,,32.0,21.0,6.0,,0.0,2.0,8.0,9.0,13.0,1.0,1.0,5.0,5.0,5.0,1.0,14.0,8.0,0.0,27.0,,4.0,10.578313253012048
2017-01-06,17.0,16.0,9.0,8.0,,6.0,8.0,4.0,19.0,16.0,14.0,7.0,1.0,19.0,6.0,1.0,0.0,11.0,31.0,4.0,9.0,3.0,120.0,18.0,5.0,12.0,9.0,7.0,1.0,54.0,5.0,2.0,5.0,8.0,14.0,,42.0,14.0,8.0,6.0,,,,22.0,,10.0,18.0,4.0,14.0,8.0,13.0,23.0,5.0,12.0,7.0,5.0,,18.0,,31.0,0.0,9.0,3.0,5.0,4.0,,14.0,14.0,7.0,4.0,,35.0,23.0,6.0,,0.0,4.0,8.0,13.0,11.0,3.0,3.0,5.0,5.0,5.0,1.0,14.0,10.0,1.0,35.0,,3.0,12.175
2017-01-07,17.0,15.0,8.0,8.0,,6.0,8.0,4.0,18.0,13.0,13.0,7.0,1.0,18.0,6.0,1.0,0.0,9.0,30.0,4.0,10.0,3.0,114.0,19.0,6.0,11.0,9.0,8.0,1.0,51.0,5.0,2.0,5.0,8.0,14.0,18.0,45.0,14.0,7.0,5.0,,,,22.0,1.0,10.0,17.0,4.0,14.0,7.0,13.0,25.0,4.0,12.0,8.0,5.0,,15.0,,28.0,0.0,8.0,3.0,5.0,4.0,2.0,13.0,14.0,7.0,4.0,,38.0,23.0,6.0,,0.0,6.0,8.0,12.0,10.0,3.0,5.0,5.0,5.0,5.0,1.0,12.0,8.0,1.0,30.0,,3.0,11.650602409638553
2017-01-08,16.0,15.0,8.0,8.0,,7.0,8.0,4.0,18.0,13.0,12.0,6.0,2.0,20.0,7.0,3.0,2.0,9.0,30.0,4.0,12.0,3.0,113.0,19.0,6.0,10.0,10.0,12.0,1.0,50.0,6.0,2.0,5.0,8.0,13.0,17.0,45.0,14.0,7.0,6.0,,,,20.0,6.0,9.0,15.0,4.0,14.0,7.0,10.0,25.0,4.0,10.0,7.0,5.0,2.0,14.0,,25.0,2.0,7.0,3.0,5.0,4.0,2.0,13.0,13.0,7.0,4.0,,43.0,22.0,6.0,,6.0,7.0,8.0,11.0,10.0,3.0,5.0,5.0,4.0,5.0,4.0,12.0,8.0,2.0,29.0,,9.0,11.75
2017-01-09,15.0,13.0,8.0,8.0,,7.0,7.0,4.0,17.0,13.0,11.0,6.0,2.0,17.0,6.0,3.0,1.0,9.0,30.0,4.0,12.0,2.0,111.0,18.0,5.0,10.0,9.0,11.0,1.0,55.0,6.0,2.0,5.0,7.0,13.0,17.0,45.0,14.0,6.0,6.0,,,,26.0,5.0,9.0,15.0,4.0,12.0,7.0,10.0,19.0,1.0,9.0,7.0,4.0,3.0,14.0,,22.0,2.0,7.0,2.0,5.0,4.0,2.0,11.0,13.0,7.0,3.0,,43.0,30.0,5.0,,6.0,7.0,8.0,10.0,10.0,3.0,4.0,5.0,4.0,5.0,3.0,12.0,8.0,1.0,28.0,,8.0,11.416666666666666
2017-01-10,14.0,12.0,8.0,8.0,,7.0,7.0,4.0,15.0,13.0,11.0,6.0,1.0,16.0,5.0,3.0,1.0,8.0,29.0,4.0,11.0,2.0,110.0,18.0,6.0,9.0,8.0,9.0,1.0,54.0,5.0,2.0,5.0,7.0,12.0,16.0,44.0,14.0,6.0,4.0,,,,28.0,5.0,9.0,14.0,4.0,12.0,7.0,10.0,19.0,5.0,8.0,7.0,4.0,2.0,14.0,,20.0,2.0,7.0,2.0,5.0,4.0,2.0,11.0,12.0,7.0,3.0,,43.0,31.0,5.0,,5.0,6.0,8.0,10.0,10.0,3.0,3.0,4.0,4.0,4.0,3.0,13.0,8.0,1.0,28.0,,8.0,11.130952380952381
