Year,Voivodeship,Zone code,Zone name,Station code,Indicator,Averaging time,Mean [µg/m3],Min [µg/m3],Max [µg/m3],Number of measurements,Completeness [%],Summer/Winter Number
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWybCon,C6H6,1g,0.138756481,0.00014,3.94195,5758,65.73,1.63
2017,dolnośląskie,PL0202,miasto Legnica,DsLegAlRzecz,C6H6,1g,0.607709821,0.0002,13.9136,6149,70.19,1.11
2017,dolnośląskie,PL0203,miasto Wałbrzych,DsWalbrzWyso,C6H6,1g,0.73746688,0,23.7205,6049,69.05,1.01
2017,dolnośląskie,PL0204,strefa dolnośląska,DsJelGorOgin,C6H6,1g,1.473289356,0.05336,18.8056,8016,91.5,1.09
2017,dolnośląskie,PL0204,strefa dolnośląska,DsZgorBohGet,C6H6,1g,1.67779671,0.03668,30.4962,6915,78.93,0.66
2017,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydPlPozna,C6H6,1g,1.21994107,0,43.17,8217,93.8,1.09
2017,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruKaszow,C6H6,1g,0.837782948,0,19.23,7952,90.77,1.06
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpCiechTezni,C6H6,1g,0.5763571,0.02,9.16,8345,95.26,1.11
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,C6H6,1g,1.294706696,0,10.4,5063,57.79,0.41
2017,lubelskie,PL0601,Aglomeracja Lubelska,LbLubObywate,C6H6,1g,1.838072579,0.05,25.3,8322,95,0.97
2017,lubelskie,PL0602,strefa lubelska,LbBiaPodOrze,C6H6,24g,1.755543478,0.2,9.39,184,50.41,1.02
2017,lubelskie,PL0602,strefa lubelska,LbZamoHrubie,C6H6,1g,1.763540197,0.085,26.01,8508,97.12,0.99
2017,lubuskie,PL0801,miasto Gorzów Wielkopolski,LuGorzKosGdy,C6H6,1g,0.669191558,0,47.7142,7896,90.13,1.2
2017,lubuskie,PL0802,miasto Zielona Góra,LuZielKrotka,C6H6,1g,0.681816312,0.02457,7.73987,8311,94.87,1.11
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzGdansk,C6H6,1g,0.667519194,0.06,9.21,6252,71.36,1.2
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzJanPaw,C6H6,1g,0.834315182,0.03,13.01,8484,96.84,1.02
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakAlKras,C6H6,1g,2.276169139,0.11124,29.0966,7940,90.63,1.11
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakBujaka,C6H6,24g,2.452550336,0.19,30.19,149,40.82,1.26
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakBulwar,C6H6,1g,2.015458227,0.13194,21.7423,7463,85.19,0.94
2017,małopolskie,PL1202,miasto Tarnów,MpTarRoSitko,C6H6,24g,2.256136364,0.37,12,132,36.16,1
