Year,Voivodeship,Zone code,Zone name,Station code,Indicator,Averaging Time,Mean [µg/m3],Winter mean [µg/m3],Min [µg/m3],Max [µg/m3],L>350 (S1),25 max (S1) [µg/m3],Perc. 99.7 (S1) [µg/m3],L>125 (S24),4 max (S24) [µg/m3],Perc. 99.2 (S24) [µg/m3],Number of measurements,Completeness [%],Summer/Winter Number
2017,dolnośląskie,PL0204,strefa dolnośląska,DsBoleslaMOB,SO2,1g,6.086864823,11.657027786,0,79.8971,0,46.2559,45.9757,0,31.176483333,31.176483333,8405,95.94,1.07
2017,dolnośląskie,PL0204,strefa dolnośląska,DsCzerStraza,SO2,1g,3.294020926,4.218507095,0,57.8668,0,24.6915,24.574,0,14.434076667,14.434076667,8355,95.37,1.03
2017,dolnośląskie,PL0204,strefa dolnośląska,DsDzialoszyn,SO2,1g,4.45533782,5.884192812,0,116.728,0,40.8335,40.7532,0,17.744666667,17.744666667,8442,96.36,1.03
2017,dolnośląskie,PL0204,strefa dolnośląska,DsDziePilsud,SO2,1g,6.264221803,11.541145406,0,89.7715,0,56.5223,56.2565,0,35.815491667,35.815491667,8676,99.04,1.01
2017,dolnośląskie,PL0204,strefa dolnośląska,DsJelGorOgin,SO2,1g,5.667385591,9.116099261,0,81.2281,0,49.0464,47.3699,0,29.583116667,29.583116667,8642,98.65,1.01
2017,dolnośląskie,PL0204,strefa dolnośląska,DsKlodzSzkol,SO2,1g,8.235562437,12.975273859,0.03665,96.2138,0,54.4143,54.3874,0,33.012891667,33.012891667,8397,95.85,0.97
2017,dolnośląskie,PL0204,strefa dolnośląska,DsKudowaMOB,SO2,1g,4.761249054,11.099141579,0.34097,167.989,0,56.1151,55.8207,0,32.237954167,32.237954167,8290,94.63,1.11
2017,dolnośląskie,PL0202,miasto Legnica,DsLegAlRzecz,SO2,1g,6.964191232,10.955743122,0,195.46,0,63.3113,61.171,0,31.555437083,31.555437083,8701,99.32,1
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOlawZolnAK,SO2,1g,4.69372573,6.709991948,0,61.4925,0,32.4558,31.8371,0,23.833708333,23.833708333,8607,98.25,0.98
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,SO2,1g,4.096737189,5.129169697,-0.00728,36.5368,0,23.9555,23.8909,0,17.352141667,17.352141667,8477,96.76,1.01
2017,dolnośląskie,PL0204,strefa dolnośląska,DsSniezkaObs,SO2,24g,2.252054795,2.3,0.8,6.8,,,,0,5,5,365,100,1.01
2017,dolnośląskie,PL0203,miasto Wałbrzych,DsWalbrzWyso,SO2,1g,6.533690044,9.799542078,0,167.407,0,87.1159,85.6367,0,48.99145,48.99145,8482,96.82,1.02
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWybCon,SO2,1g,4.465317514,6.757795181,0,74.0809,0,37.3129,37.1555,0,24.63265,24.63265,8662,98.88,1.01
2017,dolnośląskie,PL0204,strefa dolnośląska,DsZabkPowWar,SO2,1g,5.608719584,8.033771599,0,88.105,0,32.7993,32.5025,0,24.3054625,24.3054625,8578,97.92,0.99
2017,dolnośląskie,PL0204,strefa dolnośląska,DsZgorBohGet,SO2,1g,7.500277505,11.77789467,0,116.116,0,68.9142,67.0461,0,36.358,36.358,8578,97.92,1.02
2017,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydPlPozna,SO2,1g,3.220298165,5.965796767,0,84.7,0,37.1,36.6,0,23.479166667,23.479166667,8720,99.54,1
2017,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydWarszaw,SO2,1g,4.422862544,7.696328792,0,113.5,0,41,40.9,0,24.754166667,24.754166667,8409,95.99,0.94
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpGrudPilsud,SO2,1g,3.963267083,6.706910473,0,98.3,0,37.3,38.5,0,23.2625,24.291666667,6893,78.68,1.59
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpInowSolank,SO2,1g,2.758664469,3.680631773,0,65.7,0,26.5,25.9,0,16.808333333,16.808333333,8678,99.06,1.01
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpKoniczynka,SO2,1g,2.61360858,4.265568792,0,87,0,40.7,40.3,0,18.891666667,18.891666667,8671,98.98,1.01
2017,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruKaszow,SO2,1g,2.286724714,3.961914358,0,85.9,0,21.4,21.4,0,14.0125,14.0125,8384,95.7,1.07
2017,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruWSikor,SO2,1g,2.675716814,4.744279285,0,83.6,0,27.2,26.7,0,15.6625,15.6625,8475,96.74,1.05
2017,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclChelmMOB,SO2,1g,2.932599374,6.798434442,0,44.2,0,30.3,29.8,0,20.683333333,20.683333333,8629,98.5,1.03
