DATE,BIALOWIEZA_HU,BIALYSTOK_HU,BIEBRZA-PIENCZYKOWEK_HU,BIELSKO-BIALA_HU,CHOJNICE_HU,CHORZELOW_HU,CIESZANOW_HU,CZOSTOCHOWA_HU,DRONIOWICE_HU,ELBLAG_HU,ELBLAG-MILEJEWO_HU,GDANSK-SWIBNO_HU,GORZOW WLKP_HU,GORZYN_HU,HEL_HU,JARCZEW_HU,JELENIA GORA_HU,KALISZ_HU,KASPROWY WIERCH_HU,KATOWICE-MUCHOWIEC_HU,KETRZYN_HU,KIELCE_HU,KLODZKO_HU,KOLO_HU,KOLOBRZEG-DZWIRZYNO_HU,KOMANCZA_HU,KOSZALIN_HU,KOZIENCE_HU,KRAKOW_HU,KRAKOW OBS. ASTRONOMICZNE_HU,KRAKOW-BALICE_HU,KROSNO_HU,KRYNICA_HU,LEBA_HU,LEBORK_HU,LEGNICA_HU,LESKO_HU,LESZNO_HU,LIDZBARK WARMINSKI_HU,LIMANOWA_HU,LODZ_HU,LUBLIN-RADAWIEC_HU,MIKOLAJKI_HU,MLAWA_HU,MSZANA DOLNA_HU,NOWY SACZ_HU,OLSZTYN_HU,OPOLE_HU,PILA_HU,PLOCK_HU,PORONIN_HU,POZNAN_HU,PULAWY_HU,PULTUSK_HU,RACIBORZ_HU,RESKO-SMOLSKO_HU,RZESZOW JASIONKA_HU,SANDOMIERZ_HU,SIEDLCE_HU,SKIERNIEWICE_HU,SLUBICE_HU,SNIEZKA_HU,SULEJOW_HU,SWINOUJSCIE_HU,SZCZECIN_HU,TARNOW_HU,TERESPOL_HU,TORUN_HU,USTKA_HU,WARSZAWA-BIELANY_HU,WARSZAWA-OKECIE_HU,WIELUN_HU,WLODAWA_HU,WROCLAW_HU,ZAKOPANE_HU,ZAMOSC_HU,ZIELONA GORA_HU,mean_HU
2017-01-01,99.0,,95.0,,,73.0,70.0,,85.0,,,,,,,91.0,,,,,,,,,,90.0,,,,73.0,,,92.0,,,,,,95.0,50.0,,,,,59.0,,,,,,78.0,,85.0,94.0,,,,,,84.0,,,,,,,,,,91.0,,,,,,,,82.58823529411765
2017-01-02,86.0,89.0,98.0,62.0,92.0,79.0,81.0,82.0,95.0,94.0,94.0,82.0,88.0,,81.0,86.0,90.0,87.0,57.0,78.0,92.0,89.0,80.0,82.0,76.0,92.0,80.0,75.0,,82.0,84.0,86.0,90.0,81.0,88.0,84.0,76.0,87.0,91.0,76.0,81.0,82.0,89.0,91.0,62.0,81.0,89.0,87.0,89.0,84.0,80.0,84.0,82.0,86.0,,,81.0,80.0,80.0,75.0,87.0,85.0,80.0,89.0,85.0,76.0,78.0,93.0,79.0,79.0,79.0,83.0,77.0,84.0,74.0,80.0,93.0,83.23287671232876
2017-01-03,83.0,,98.0,,,91.0,81.0,,91.0,,,,,,,88.0,,,,,,,,,,83.0,,,,84.0,,,75.0,,,,,,86.0,80.0,,,,,90.0,,,,,,81.0,,94.0,94.0,,,,,,87.0,,,,,,,,,,92.0,,,,,,,,86.94117647058823
2017-01-04,93.0,93.0,97.0,82.0,93.0,89.0,94.0,93.0,91.0,92.0,96.0,86.0,84.0,,85.0,91.0,83.0,90.0,91.0,92.0,92.0,89.0,83.0,85.0,76.0,91.0,77.0,87.0,,87.0,86.0,84.0,84.0,74.0,87.0,84.0,81.0,88.0,90.0,86.0,87.0,87.0,91.0,95.0,87.0,71.0,90.0,81.0,85.0,88.0,83.0,84.0,83.0,92.0,77.0,,83.0,84.0,92.0,88.0,85.0,97.0,90.0,81.0,82.0,74.0,91.0,88.0,80.0,91.0,88.0,94.0,92.0,84.0,69.0,90.0,95.0,86.82432432432432
2017-01-05,82.0,,87.0,,,80.0,79.0,,93.0,,,,,,,72.0,,,,,,,,,,89.0,,,,72.0,,,78.0,,,,,,79.0,86.0,,,,,85.0,,,,,,83.0,,77.0,86.0,,,,,,72.0,,,,,,,,,,71.0,,,,,,,,80.6470588235294
2017-01-06,76.0,74.0,86.0,74.0,87.0,74.0,75.0,73.0,80.0,77.0,78.0,79.0,87.0,,75.0,50.0,83.0,79.0,77.0,72.0,75.0,72.0,74.0,72.0,77.0,76.0,79.0,68.0,,70.0,73.0,77.0,75.0,74.0,85.0,80.0,78.0,79.0,70.0,84.0,66.0,77.0,71.0,75.0,73.0,72.0,71.0,75.0,80.0,69.0,76.0,78.0,86.0,76.0,71.0,,72.0,67.0,76.0,61.0,89.0,87.0,71.0,70.0,88.0,72.0,78.0,77.0,82.0,73.0,66.0,77.0,77.0,72.0,74.0,77.0,86.0,75.70270270270271
2017-01-07,77.0,,87.0,,,73.0,77.0,,80.0,,,,,,,47.0,,,,,,,,,,79.0,,,,78.0,,,71.0,,,,,,79.0,73.0,,,,,76.0,,,,,,70.0,,69.0,88.0,,,,,,62.0,,,,,,,,,,83.0,,,,,,,,74.6470588235294
2017-01-08,89.0,82.0,91.0,71.0,91.0,77.0,81.0,74.0,77.0,81.0,88.0,87.0,92.0,,83.0,55.0,84.0,67.0,63.0,78.0,82.0,75.0,81.0,70.0,86.0,80.0,87.0,72.0,,78.0,79.0,79.0,74.0,92.0,89.0,80.0,84.0,76.0,86.0,76.0,73.0,77.0,81.0,81.0,78.0,75.0,81.0,67.0,89.0,76.0,73.0,78.0,74.0,85.0,72.0,,76.0,72.0,79.0,63.0,90.0,94.0,75.0,97.0,87.0,76.0,83.0,72.0,88.0,81.0,75.0,70.0,82.0,67.0,76.0,84.0,93.0,79.41891891891892
2017-01-09,89.0,,93.0,,,79.0,80.0,,76.0,,,,,,,69.0,,,,,,,,,,87.0,,,,63.0,,,77.0,,,,,,86.0,74.0,,,,,75.0,,,,,,79.0,,86.0,84.0,,,,,,66.0,,,,,,,,,,86.0,,,,,,,,79.3529411764706
2017-01-10,95.0,88.0,95.0,76.0,82.0,69.0,81.0,75.0,81.0,87.0,85.0,82.0,83.0,,81.0,63.0,83.0,76.0,70.0,81.0,85.0,81.0,74.0,74.0,76.0,70.0,75.0,84.0,,75.0,80.0,76.0,75.0,79.0,77.0,73.0,84.0,74.0,81.0,79.0,76.0,79.0,84.0,88.0,80.0,73.0,79.0,69.0,79.0,82.0,76.0,75.0,78.0,94.0,73.0,,83.0,76.0,88.0,66.0,77.0,49.0,79.0,84.0,76.0,74.0,86.0,78.0,78.0,82.0,85.0,74.0,85.0,72.0,82.0,84.0,88.0,78.86486486486487
