DATE,BIALYSTOK_CC,BIEBRZA-PIENCZYKOWEK_CC,BIELSKO-BIALA_CC,BORUSOWA_CC,CHOJNICE_CC,CHORZELOW_CC,CIESZANOW_CC,CZOSTOCHOWA_CC,DRONIOWICE_CC,DYNOW_CC,ELBLAG_CC,ELBLAG-MILEJEWO_CC,GDANSK-REBIECHOWO_CC,GDANSK-SWIBNO_CC,GORZOW WLKP_CC,GORZYN_CC,HEL_CC,JABLONKA_CC,JARCZEW_CC,JELENIA GORA_CC,KALISZ_CC,KASPROWY WIERCH_CC,KATOWICE_CC,KATOWICE-MUCHOWIEC_CC,KETRZYN_CC,KIELCE_CC,KLODZKO_CC,KOLO_CC,KOLOBRZEG-DZWIRZYNO_CC,KOLUDA WIELKA_CC,KOMANCZA_CC,KOSZALIN_CC,KOZIENCE_CC,KOZIENICE_CC,KRAKOW_CC,KRAKOW OBS. ASTRONOMICZNE_CC,KRAKOW-BALICE_CC,KROSCIENKO_CC,KROSNO_CC,KRYNICA_CC,LACKO_CC,LAZY_CC,LEBA_CC,LEBORK_CC,LEGNICA_CC,LESKO_CC,LESZNO_CC,LIDZBARK WARMINSKI_CC,LIMANOWA_CC,LODZ_CC,LUBLIN RADAWIEC_CC,LUBLIN-RADAWIEC_CC,MIKOLAJKI_CC,MLAWA_CC,MSZANA DOLNA_CC,NOWY SACZ_CC,OLECKO_CC,OLSZTYN_CC,OPOLE_CC,PILA_CC,PIWNICZNA_CC,PLOCK_CC,PORONIN_CC,POZNAN_CC,PSZCZYNA_CC,PULAWY_CC,PULTUSK_CC,RACIBORZ_CC,RESKO-SMOLSKO_CC,ROZANYSTOK_CC,RZESZOW JASIONKA_CC,SANDOMIERZ_CC,SIEDLCE_CC,SKIERNIEWICE_CC,SLUBICE_CC,SNIEZKA_CC,SOLINA-JAWOR_CC,STASZOW_CC,SULEJOW_CC,SWINOUJSCIE_CC,SZCZECIN_CC,SZEPIETOWO_CC,TARNOW_CC,TERESPOL_CC,TORUN_CC,USTKA_CC,WARSZAWA-BIELANY_CC,WARSZAWA-FILTRY_CC,WARSZAWA-OKECIE_CC,WIELICHOWO_CC,WIELUN_CC,WLODAWA_CC,WROCLAW_CC,ZAKOPANE_CC,ZAMOSC_CC,ZIELONA GORA_CC,mean_CC
2017-01-01,8.0,8.0,0.0,,8.0,0.0,6.0,0.0,5.0,0.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,0.0,8.0,0.0,4.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,8.0,5.0,,,0.0,0.0,0.0,0.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,,4.0,8.0,8.0,1.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,4.0,8.0,0.0,,8.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,8.0,0.0,6.0,7.0,8.0,8.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,4.0,3.235955056179775
2017-01-02,7.0,8.0,4.0,,4.0,6.0,8.0,0.0,8.0,4.0,7.0,6.0,7.0,6.0,5.0,5.0,6.0,4.0,5.0,6.0,6.0,4.0,,5.0,0.0,5.0,6.0,0.0,0.0,,8.0,4.0,7.0,,,5.0,5.0,5.0,0.0,8.0,5.0,6.0,6.0,0.0,0.0,3.0,0.0,7.0,5.0,7.0,,5.0,6.0,6.0,5.0,0.0,7.0,0.0,6.0,0.0,8.0,0.0,4.0,6.0,5.0,6.0,8.0,0.0,,7.0,3.0,0.0,7.0,7.0,0.0,6.0,4.0,6.0,0.0,3.0,5.0,8.0,0.0,7.0,6.0,5.0,8.0,8.0,7.0,6.0,0.0,6.0,5.0,3.0,0.0,7.0,4.595505617977528
2017-01-03,7.0,6.0,7.0,,6.0,8.0,7.0,0.0,8.0,8.0,7.0,5.0,7.0,5.0,7.0,7.0,5.0,6.0,8.0,7.0,7.0,6.0,,6.0,0.0,7.0,6.0,0.0,0.0,,8.0,7.0,7.0,,,6.0,7.0,5.0,0.0,4.0,5.0,6.0,6.0,0.0,0.0,7.0,0.0,6.0,7.0,7.0,,6.0,5.0,6.0,7.0,0.0,8.0,0.0,6.0,0.0,8.0,0.0,4.0,7.0,6.0,6.0,8.0,0.0,,5.0,6.0,0.0,7.0,6.0,0.0,7.0,8.0,8.0,0.0,6.0,7.0,6.0,0.0,6.0,6.0,6.0,8.0,6.0,6.0,8.0,0.0,5.0,7.0,7.0,0.0,7.0,5.123595505617978
2017-01-04,8.0,8.0,8.0,,7.0,7.0,8.0,0.0,8.0,8.0,7.0,7.0,6.0,6.0,7.0,7.0,5.0,8.0,8.0,7.0,7.0,7.0,,7.0,0.0,7.0,7.0,0.0,0.0,,8.0,7.0,7.0,,,6.0,7.0,7.0,0.0,8.0,8.0,7.0,6.0,0.0,0.0,7.0,0.0,6.0,7.0,7.0,,7.0,7.0,7.0,8.0,0.0,8.0,0.0,7.0,0.0,8.0,0.0,8.0,7.0,8.0,7.0,8.0,0.0,,8.0,7.0,0.0,7.0,7.0,0.0,8.0,8.0,8.0,0.0,5.0,6.0,7.0,0.0,7.0,7.0,6.0,7.0,8.0,7.0,5.0,0.0,7.0,7.0,7.0,0.0,7.0,5.606741573033708
2017-01-05,6.0,3.0,7.0,,4.0,3.0,8.0,0.0,7.0,8.0,4.0,6.0,6.0,6.0,4.0,3.0,6.0,7.0,8.0,6.0,6.0,8.0,,6.0,0.0,6.0,6.0,0.0,0.0,,8.0,4.0,7.0,,,4.0,6.0,8.0,0.0,8.0,8.0,6.0,6.0,0.0,0.0,8.0,0.0,5.0,7.0,5.0,,7.0,6.0,4.0,8.0,0.0,5.0,0.0,6.0,0.0,8.0,0.0,7.0,4.0,5.0,5.0,8.0,0.0,,5.0,7.0,0.0,6.0,6.0,0.0,8.0,8.0,5.0,0.0,4.0,5.0,5.0,0.0,6.0,4.0,6.0,7.0,5.0,6.0,2.0,0.0,7.0,5.0,7.0,0.0,4.0,4.662921348314606
2017-01-06,1.0,1.0,6.0,,2.0,2.0,6.0,0.0,5.0,4.0,0.0,3.0,6.0,5.0,2.0,2.0,6.0,7.0,2.0,6.0,3.0,3.0,,3.0,0.0,4.0,5.0,0.0,0.0,,8.0,6.0,3.0,,,2.0,3.0,7.0,0.0,5.0,8.0,6.0,6.0,0.0,0.0,6.0,0.0,0.0,7.0,1.0,,1.0,1.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,5.0,1.0,1.0,2.0,1.0,0.0,,0.0,4.0,0.0,1.0,3.0,0.0,8.0,8.0,5.0,0.0,3.0,6.0,1.0,0.0,2.0,2.0,6.0,8.0,4.0,2.0,4.0,0.0,2.0,3.0,6.0,0.0,3.0,2.966292134831461
2017-01-07,2.0,2.0,3.0,,7.0,0.0,4.0,0.0,6.0,5.0,4.0,7.0,7.0,7.0,7.0,5.0,7.0,0.0,2.0,5.0,5.0,0.0,,3.0,0.0,3.0,4.0,0.0,0.0,,2.0,8.0,1.0,,,0.0,0.0,0.0,0.0,0.0,2.0,5.0,7.0,0.0,0.0,4.0,0.0,7.0,0.0,4.0,,1.0,4.0,4.0,1.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0,0.0,6.0,4.0,2.0,3.0,0.0,,3.0,1.0,0.0,2.0,3.0,0.0,6.0,6.0,0.0,0.0,6.0,6.0,4.0,0.0,0.0,6.0,7.0,7.0,4.0,2.0,7.0,0.0,0.0,4.0,0.0,0.0,7.0,2.808988764044944
2017-01-08,6.0,3.0,1.0,,8.0,4.0,7.0,0.0,5.0,5.0,5.0,3.0,7.0,3.0,6.0,4.0,7.0,4.0,2.0,7.0,2.0,1.0,,1.0,0.0,1.0,4.0,0.0,0.0,,7.0,7.0,2.0,,,4.0,2.0,6.0,0.0,4.0,8.0,7.0,6.0,0.0,0.0,7.0,0.0,2.0,7.0,1.0,,4.0,2.0,0.0,7.0,0.0,6.0,0.0,2.0,0.0,7.0,0.0,2.0,4.0,1.0,4.0,2.0,0.0,,6.0,6.0,0.0,3.0,0.0,0.0,5.0,8.0,2.0,0.0,7.0,8.0,6.0,0.0,6.0,2.0,7.0,6.0,3.0,0.0,3.0,0.0,4.0,3.0,1.0,0.0,7.0,3.3707865168539324
2017-01-09,8.0,5.0,5.0,,7.0,7.0,8.0,0.0,5.0,8.0,4.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,8.0,7.0,4.0,,2.0,0.0,5.0,8.0,0.0,0.0,,8.0,7.0,5.0,,,7.0,6.0,8.0,0.0,8.0,7.0,8.0,7.0,0.0,0.0,6.0,0.0,8.0,8.0,2.0,,6.0,3.0,3.0,8.0,0.0,5.0,0.0,5.0,0.0,8.0,0.0,7.0,8.0,6.0,3.0,2.0,0.0,,8.0,8.0,0.0,6.0,1.0,0.0,4.0,5.0,7.0,0.0,6.0,7.0,8.0,0.0,2.0,8.0,7.0,6.0,1.0,2.0,8.0,0.0,6.0,7.0,7.0,0.0,8.0,4.831460674157303
2017-01-10,5.0,1.0,0.0,,3.0,4.0,7.0,0.0,5.0,2.0,5.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,8.0,1.0,0.0,2.0,,2.0,0.0,4.0,3.0,0.0,0.0,,2.0,3.0,5.0,,,1.0,2.0,1.0,0.0,3.0,1.0,5.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,,6.0,1.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,1.0,5.0,8.0,0.0,,6.0,4.0,0.0,6.0,4.0,0.0,0.0,2.0,5.0,0.0,2.0,2.0,7.0,0.0,4.0,2.0,3.0,8.0,5.0,6.0,2.0,0.0,4.0,1.0,3.0,0.0,3.0,2.539325842696629
