DATE,BABICE_FG,BIALOWIEZA_FG,BIALYSTOK_FG,BIEBRZA-PIENCZYKOWEK_FG,BIELSKO-BIALA_FG,BORUSOWA_FG,BUKOWINA TATRZANSKA_FG,CHOJNICE_FG,CHORZELOW_FG,CIESZANOW_FG,CZOSTOCHOWA_FG,DRONIOWICE_FG,DYNOW_FG,ELBLAG_FG,ELBLAG-MILEJEWO_FG,GDANSK-REBIECHOWO_FG,GDANSK-SWIBNO_FG,GORZOW WLKP_FG,GORZYN_FG,GOZOW WLKP._FG,HEL_FG,JABLONKA_FG,JARCZEW_FG,JELENIA GORA_FG,KALISZ_FG,KASPROWY WIERCH_FG,KATOWICE_FG,KATOWICE-MUCHOWIEC_FG,KETRZYN_FG,KIELCE_FG,KLODZKO_FG,KOLO_FG,KOLOBRZEG-DZWIRZYNO_FG,KOMANCZA_FG,KOSZALIN_FG,KOZIENCE_FG,KOZIENICE_FG,KRAKOW_FG,KRAKOW OBS. ASTRONOMICZNE_FG,KRAKOW-BALICE_FG,KROSCIENKO_FG,KROSNO_FG,KRYNICA_FG,LACKO_FG,LAZY_FG,LEBA_FG,LEBORK_FG,LEGIONOWO_FG,LEGNICA_FG,LESKO_FG,LESZNO_FG,LIDZBARK WARMINSKI_FG,LIESEK_FG,LIMANOWA_FG,LODZ_FG,LUBLIN RADAWIEC_FG,LUBLIN-RADAWIEC_FG,LUBLINEK_FG,MIKOLAJKI_FG,MLAWA_FG,MSZANA DOLNA_FG,NOWY SACZ_FG,OLSZTYN_FG,OPOLE_FG,PILA_FG,PIWNICZNA_FG,PLOCK_FG,PORONIN_FG,POZNAN_FG,PSZCZYNA_FG,PULAWY_FG,PULTUSK_FG,RACIBORZ_FG,RESKO_FG,RESKO-SMOLSKO_FG,RZESZOW JASIONKA_FG,RZESZOW-JASIONKA_FG,SANDOMIERZ_FG,SIEDLCE_FG,SKIERNIEWICE_FG,SLUBICE_FG,SNIEZKA_FG,SOLINA-JAWOR_FG,STASZOW_FG,SULEJOW_FG,SWINOUJSCIE_FG,SZCZECIN_FG,SZCZECINEK_FG,TARNOW_FG,TERESPOL_FG,TORUN_FG,USTKA_FG,WARSZAWA-BIELANY_FG,WARSZAWA-FILTRY_FG,WARSZAWA-OKECIE_FG,WIELUN_FG,WLODAWA_FG,WROCLAW_FG,WROCLAW II_FG,ZAKOPANE_FG,ZAMOSC_FG,ZIELONA GORA_FG,mean_FG
2017-01-01,26.0,33.0,0.0,50.0,0.0,,,0.0,20.0,23.0,0.0,30.0,27.0,0.0,0.0,60.0,0.0,0.0,23.0,32.0,0.0,,50.0,0.0,40.0,0.0,,0.0,0.0,0.0,0.0,17.5,0.0,20.0,0.0,0.0,,,13.0,0.0,13.0,27.5,17.0,7.0,27.0,0.0,27.0,37.0,0.0,0.0,0.0,43.0,45.0,33.0,0.0,,0.0,32.0,19.0,0.0,30.0,0.0,0.0,7.5,0.0,47.0,0.0,,0.0,10.0,7.0,,0.0,56.0,,0.0,,0.0,0.0,33.0,0.0,70.33333333333333,,20.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,12.768199233716475
2017-01-02,51.0,37.0,35.0,43.0,40.0,,,42.0,20.0,50.0,25.0,40.0,37.0,44.0,50.0,57.0,,,20.0,29.0,54.0,,53.0,39.0,51.0,81.0,47.0,,46.0,25.0,29.0,41.0,35.0,23.0,41.0,36.0,,42.0,33.0,,20.0,42.0,13.0,7.0,30.0,44.0,35.0,40.0,45.0,27.0,47.0,33.0,60.0,30.0,,37.0,,55.0,41.0,52.0,23.0,15.0,40.0,23.0,22.0,17.0,50.0,,,23.0,27.0,,0.0,42.0,,65.0,,45.0,46.0,27.0,36.0,194.33333333333334,,27.0,52.0,37.0,37.0,29.0,17.0,34.0,20.0,77.0,,,45.0,42.0,66.0,,42.0,22.0,68.0,35.0,39.75100401606426
2017-01-03,30.0,37.0,0.0,43.0,0.0,,,0.0,30.0,53.0,0.0,60.0,40.0,0.0,0.0,53.0,0.0,,27.0,39.0,0.0,,60.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,21.5,0.0,17.0,0.0,0.0,,,30.0,0.0,23.0,22.5,17.0,33.0,43.0,0.0,49.0,40.0,0.0,0.0,0.0,37.0,40.0,47.0,0.0,,0.0,63.0,23.5,0.0,57.0,0.0,0.0,18.5,0.0,10.0,0.0,,0.0,33.0,23.0,,0.0,59.0,,0.0,,0.0,0.0,27.0,0.0,78.33333333333333,,37.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,15.864341085271317
2017-01-04,67.0,37.0,32.0,47.0,85.0,,,77.0,37.0,93.0,50.0,73.0,43.0,53.0,90.0,93.0,,,93.0,55.0,82.0,,63.0,73.0,97.0,133.0,80.0,,60.0,80.0,81.0,77.0,64.0,40.0,83.0,69.0,,95.0,43.0,,20.0,62.0,33.0,43.0,60.0,93.0,66.0,63.0,82.0,66.0,92.0,47.0,82.0,80.0,,62.0,,98.0,56.0,82.0,83.0,62.0,60.0,60.0,52.0,20.0,75.0,,,50.0,33.0,,91.0,80.0,,91.0,,71.0,67.0,43.0,77.0,263.3333333333333,,57.0,100.0,82.0,62.0,65.0,27.0,49.0,42.0,147.0,,,55.0,80.0,95.0,,92.0,50.0,96.0,60.0,70.714859437751
2017-01-05,82.0,50.0,0.0,70.0,0.0,,,0.0,43.0,53.0,0.0,50.0,53.0,0.0,0.0,70.0,0.0,0.0,37.0,40.0,0.0,,53.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,24.5,0.0,23.0,0.0,0.0,,,30.0,0.0,50.0,29.0,60.0,37.0,53.0,0.0,27.5,43.0,0.0,0.0,0.0,63.0,35.0,57.0,0.0,,0.0,54.0,33.5,0.0,40.0,0.0,0.0,18.5,0.0,47.0,0.0,,0.0,10.0,67.0,,0.0,47.0,,0.0,,0.0,0.0,40.0,0.0,64.0,,33.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,18.482758620689655
2017-01-06,35.0,33.0,25.0,37.0,17.0,,,25.0,27.0,43.0,36.0,23.0,43.0,36.0,38.0,33.0,,,10.0,23.0,41.0,,60.0,28.0,42.0,95.0,20.0,,24.0,32.0,38.0,28.0,28.0,30.0,21.0,33.0,,17.0,17.0,,33.0,42.0,47.0,40.0,33.0,47.0,16.0,27.0,37.0,31.0,43.0,30.0,42.0,50.0,,35.0,,30.0,42.0,20.0,33.0,26.0,30.0,27.0,23.0,53.0,37.0,,,0.0,30.0,,45.0,17.0,,39.0,,40.0,35.0,30.0,25.0,182.66666666666666,,23.0,35.0,55.0,22.0,13.0,0.0,34.0,15.0,65.0,,,55.0,25.0,45.0,,22.0,16.0,59.0,22.0,34.47791164658634
2017-01-07,12.0,20.0,0.0,13.0,0.0,,,0.0,17.0,43.0,0.0,10.0,30.0,0.0,0.0,37.0,0.0,0.0,13.0,25.0,0.0,,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,0.0,13.0,0.0,0.0,,,20.0,0.0,13.0,20.0,27.0,23.0,27.0,0.0,17.0,20.0,0.0,0.0,0.0,20.0,22.0,20.0,0.0,,0.0,13.0,10.5,0.0,20.0,0.0,0.0,9.0,0.0,7.0,0.0,,0.0,0.0,10.0,,0.0,37.0,,0.0,,0.0,0.0,10.0,0.0,32.666666666666664,,13.0,0.0,0.0,0.0,26.0,10.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,8.277777777777777
2017-01-08,16.0,20.0,10.0,27.0,27.0,,,25.0,20.0,40.0,13.0,7.0,30.0,15.0,34.0,30.0,,,3.0,15.0,22.0,,60.0,8.0,21.0,90.0,7.0,,12.0,17.0,13.0,16.0,20.0,23.0,22.0,24.0,,7.0,10.0,,17.0,35.0,27.0,17.0,27.0,33.0,19.0,3.0,20.0,25.0,20.0,7.0,37.0,17.0,,35.0,,10.0,15.0,5.0,17.0,13.0,17.0,14.0,10.0,0.0,17.0,,,0.0,17.0,,20.0,16.0,,41.0,,43.0,21.0,10.0,17.0,68.0,,17.0,15.0,12.0,17.0,17.0,0.0,30.0,12.0,35.0,,,10.0,17.0,42.0,,35.0,12.0,54.0,17.0,21.156626506024097
2017-01-09,6.0,10.0,0.0,17.0,0.0,,,0.0,23.0,17.0,0.0,0.0,10.0,0.0,0.0,27.0,0.0,0.0,3.0,14.0,0.0,,67.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,9.0,0.0,13.0,0.0,0.0,,,10.0,0.0,17.0,17.5,43.0,17.0,20.0,0.0,14.0,10.0,0.0,0.0,0.0,27.0,40.0,20.0,0.0,,0.0,10.0,12.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,,0.0,0.0,10.0,,0.0,30.0,,0.0,,0.0,0.0,17.0,0.0,28.333333333333332,,17.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,7.044061302681992
2017-01-10,25.0,10.0,15.0,23.0,15.0,,,42.0,13.0,23.0,20.0,27.0,7.0,20.0,44.0,30.0,,,17.0,31.0,58.0,,50.0,15.0,32.0,48.0,2.0,,36.0,20.0,64.0,34.0,35.0,7.0,41.0,19.0,,10.0,10.0,,10.0,16.5,10.0,10.0,17.0,59.0,41.0,17.0,45.0,16.0,35.0,20.0,17.0,23.0,,17.0,,23.0,34.0,17.0,23.0,13.0,25.0,35.0,22.0,20.0,17.0,,,0.0,13.0,,35.0,33.0,,21.0,,25.0,20.0,17.0,38.0,109.33333333333333,0.0,10.0,19.0,25.0,75.0,42.0,12.0,16.0,27.0,45.0,,,25.0,35.0,21.0,,40.0,10.0,19.0,25.0,25.986111111111107
