EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : wind speed in 0.1 m/s
23-27 Q_FG : Quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, SOLINA-JAWOR (STAID: 24921).
Blended and updated with sources: 223310 237506 240679 912690 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
240679,19790101,    0,    0
240679,19790102,   34,    0
240679,19790103,    0,    0
223310,19790104,   56,    0
240679,19790105,    0,    0
240679,19790106,   54,    0
240679,19790107,    0,    0
240679,19790108,  104,    0
240679,19790109,    0,    0
223310,19790110,   27,    0
240679,19790111,    0,    0
240679,19790112,   25,    0
240679,19790113,    0,    0
240679,19790114,   83,    0
240679,19790115,    0,    0
240679,19790116,    5,    0
240679,19790117,    0,    0
240679,19790118,   21,    0
240679,19790119,    0,    0
223310,19790120,   30,    0
240679,19790121,    0,    0
240679,19790122,   15,    0
240679,19790123,    0,    0
240679,19790124,   21,    0
240679,19790125,    0,    0
240679,19790126,   26,    0
240679,19790127,    0,    0
240679,19790128,  120,    0
240679,19790129,    0,    0
240679,19790130,   53,    0
240679,19790131,    0,    0
240679,19790201,   63,    0
240679,19790202,    0,    0
223310,19790203,   35,    0
240679,19790204,    0,    0
240679,19790205,   15,    0
240679,19790206,    0,    0
240679,19790207,   13,    0
240679,19790208,    0,    0
240679,19790209,   51,    0
240679,19790210,    0,    0
223310,19790211,    8,    0
240679,19790212,    0,    0
223310,19790213,   36,    0
240679,19790214,    0,    0
240679,19790215,   43,    0
240679,19790216,    0,    0
223310,19790217,   38,    0
240679,19790218,    0,    0
240679,19790219,   73,    0
240679,19790220,    0,    0
240679,19790221,   29,    0
240679,19790222,    0,    0
223310,19790223,   12,    0
240679,19790224,    0,    0
223310,19790225,   19,    0
240679,19790226,    0,    0
223310,19790227,   14,    0
240679,19790228,    0,    0
223310,19790301,  134,    0
240679,19790302,    0,    0
223310,19790303,   28,    0
240679,19790304,    0,    0
223310,19790305,    8,    0
240679,19790306,    0,    0
223310,19790307,   25,    0
240679,19790308,    0,    0
223310,19790309,   20,    0
240679,19790310,    0,    0
240679,19790311,   24,    0
240679,19790312,    0,    0
240679,19790313,   55,    0
240679,19790314,    0,    0
240679,19790315,   19,    0
240679,19790316,    0,    0
223310,19790317,   54,    0
240679,19790318,    0,    0
240679,19790319,   28,    0
240679,19790320,    0,    0
240679,19790321,   71,    0
240679,19790322,    0,    0
223310,19790323,   12,    0
240679,19790324,    0,    0
240679,19790325,   24,    0
240679,19790326,    0,    0
223310,19790327,    5,    0
240679,19790328,    0,    0
240679,19790329,   31,    0
240679,19790330,    0,    0
223310,19790331,   56,    0
240679,19790401,    0,    0
240679,19790402,   21,    0
240679,19790403,    0,    0
223310,19790404,   36,    0
240679,19790405,    0,    0
240679,19790406,   31,    0
240679,19790407,    0,    0
240679,19790408,   29,    0
240679,19790409,    0,    0
240679,19790410,   39,    0
240679,19790411,    0,    0
240679,19790412,   38,    0
240679,19790413,    0,    0
223310,19790414,   38,    0
240679,19790415,    0,    0
240679,19790416,   23,    0
240679,19790417,    0,    0
223310,19790418,   33,    0
240679,19790419,    0,    0
223310,19790420,   19,    0
240679,19790421,    0,    0
223310,19790422,   34,    0
240679,19790423,    0,    0
240679,19790424,  120,    0
240679,19790425,    0,    0
240679,19790426,   54,    0
240679,19790427,    0,    0
223310,19790428,    4,    0
