Unnamed: 0,STAID,STANAME,CN,LAT,LON,HGHT,county,state
23,24958,LUBLINIEC                               ,PL,50.68333333333333,18.7,266,powiat lubliniecki,województwo śląskie
24,24972,BORUSOWA                                ,PL,50.28333333333333,20.8,176,powiat dąbrowski,województwo małopolskie
25,24974,WIELICZKA                               ,PL,50.0,20.05,218,powiat wielicki,województwo małopolskie
26,24977,STASZOW                                 ,PL,50.6,21.183333333333334,249,powiat staszowski,województwo świętokrzyskie
27,24978,CHORZELOW                               ,PL,50.35,21.45,161,powiat mielecki,województwo podkarpackie
28,24991,NOWY LUBLINIEC                          ,PL,50.26666666666666,23.1,231,powiat lubaczowski,województwo podkarpackie
29,24992,CIESZANOW                               ,PL,50.23361111111111,23.118055555555557,231,powiat lubaczowski,województwo podkarpackie
30,24993,LUBACZOW                                ,PL,50.15,23.13333333333333,227,powiat lubaczowski,województwo podkarpackie
31,25004,ZYBISZOW                                ,PL,51.06666666666667,16.916666666666668,121,powiat wrocławski,województwo dolnośląskie
32,25012,PUCZNIEW                                ,PL,51.78333333333333,19.08333333333333,148,powiat pabianicki,województwo łódzkie
33,25015,SKIERNIEWICE                            ,PL,51.96666666666667,20.166666666666668,130,,województwo łódzkie
34,25018,JARCZEW                                 ,PL,51.81666666666667,21.98333333333333,181,powiat łukowski,województwo lubelskie
35,25031,GORZYN                                  ,PL,52.56666666666667,15.9,79,powiat międzychodzki,województwo wielkopolskie
36,25038,WIELICHOWO                              ,PL,52.11666666666667,16.35,72,powiat grodziski,województwo wielkopolskie
37,25044,KOLUDA WIELKA                           ,PL,52.73333333333333,18.15,76,powiat inowrocławski,województwo kujawsko-pomorskie
38,25052,LEGIONOWO                               ,PL,52.4,20.966666666666665,71,powiat legionowski,województwo mazowieckie
39,25053,WARSZAWA-BIELANY                        ,PL,52.28333333333333,20.966666666666665,91,,województwo mazowieckie
40,25054,WARSZAWA-FILTRY                         ,PL,52.219444444444456,20.999166666666667,91,,województwo mazowieckie
41,25060,PULTUSK                                 ,PL,52.06777777777778,21.001666666666665,109,powiat piaseczyński,województwo mazowieckie
42,25064,SZEPIETOWO                              ,PL,52.85,22.55,152,powiat wysokomazowiecki,województwo podlaskie
43,25066,BIALOWIEZA                              ,PL,52.7,23.85,170,powiat hajnowski,województwo podlaskie
44,25076,NOWA WIES UJSKA                         ,PL,53.03333333333333,16.75,74,powiat pilski,województwo wielkopolskie
45,25095,BIEBRZA-PIENCZYKOWEK                    ,PL,53.65,22.6,128,powiat grajewski,województwo podlaskie
46,25101,ROZANYSTOK                              ,PL,53.63333333333333,23.4,152,powiat sokólski,województwo podlaskie
47,25115,GDANSK-REBIECHOWO                       ,PL,54.38333333333333,18.466666666666665,145,,województwo pomorskie
48,25116,GDANSK-SWIBNO                           ,PL,54.33333333333334,18.933333333333334,0,,województwo pomorskie
49,25122,LIDZBARK WARMINSKI                      ,PL,54.13333333333333,20.6,99,powiat lidzbarski,województwo warmińsko-mazurskie
50,25125,OLECKO                                  ,PL,54.05,22.48333333333333,173,powiat olecki,województwo warmińsko-mazurskie
51,25126,KASPROWY WIERCH                         ,PL,49.2325,19.981944444444444,1348,powiat tatrzański,województwo małopolskie
52,25128,JELENIA GORA                            ,PL,50.900277777777774,15.788888888888891,427,,województwo dolnośląskie
53,25129,SNIEZKA                                 ,PL,50.736111111111114,15.739444444444445,958,powiat karkonoski,województwo dolnośląskie
54,25130,OPOLE                                   ,PL,50.626944444444455,17.968888888888888,163,,województwo opolskie
55,25131,CZOSTOCHOWA                             ,PL,50.8125,19.0925,266,,województwo śląskie
56,25132,KATOWICE-MUCHOWIEC                      ,PL,50.24055555555557,19.032777777777774,281,,województwo śląskie
57,25133,KRAKOW-BALICE                           ,PL,50.08027777777777,19.801944444444445,234,powiat krakowski,województwo małopolskie
58,25134,TARNOW                                  ,PL,50.03,20.98444444444445,207,,województwo małopolskie
59,25135,SANDOMIERZ                              ,PL,50.69666666666666,21.71583333333333,143,powiat sandomierski,województwo świętokrzyskie
60,25136,ZAMOSC                                  ,PL,50.69777777777777,23.20638888888889,258,powiat zamojski,województwo lubelskie
61,25138,LEGNICA                                 ,PL,51.1925,16.2075,134,powiat legnicki,województwo dolnośląskie
62,25139,LUBLIN-RADAWIEC                         ,PL,51.21694444444446,22.393611111111113,228,powiat lubelski,województwo lubelskie
63,25140,KOLO                                    ,PL,52.20027777777778,18.661388888888887,113,powiat kolski,województwo wielkopolskie
64,25141,PLOCK                                   ,PL,52.58833333333334,19.725833333333327,87,powiat płocki,województwo mazowieckie
65,25142,RESKO-SMOLSKO                           ,PL,53.77166666666667,15.414722222222224,66,powiat łobeski,województwo zachodniopomorskie
66,25145,MIKOLAJKI                               ,PL,53.789444444444435,21.588611111111113,144,powiat mrągowski,województwo warmińsko-mazurskie
67,25147,KOLOBRZEG-DZWIRZYNO                     ,PL,54.15833333333333,15.388888888888891,1,powiat kołobrzeski,województwo zachodniopomorskie
68,25148,USTKA                                   ,PL,54.58833333333334,16.854166666666668,18,powiat słupski,województwo pomorskie
69,25149,LEBORK                                  ,PL,54.553055555555545,17.723611111111108,45,powiat lęborski,województwo pomorskie
70,25150,GDANSK-REBIECHOWO_OLD                   ,PL,54.38333333333333,18.466666666666665,145,,województwo pomorskie
71,25151,ELBLAG-MILEJEWO                         ,PL,54.22305555555555,19.543611111111108,151,powiat elbląski,województwo warmińsko-mazurskie
72,25152,WARSZAWA-OBSERWATORIUM II               ,PL,52.21666666666667,21.03333333333333,110,,województwo mazowieckie
73,2022,KOSZALIN                                ,PL,54.204444444444455,16.155277777777773,33,,województwo zachodniopomorskie
74,8943,PILA                                    ,PL,53.13,16.75,72,powiat pilski,województwo wielkopolskie
75,2023,KETRZYN                                 ,PL,54.07,21.37,108,powiat kętrzyński,województwo warmińsko-mazurskie
76,8959,KOZIENCE                                ,PL,51.56472222222222,21.542777777777783,123,powiat kozienicki,województwo mazowieckie
77,25156,KROSNO                                  ,PL,49.70694444444445,21.76916666666667,326,,województwo podkarpackie
78,9161,KROSCIENKO                              ,PL,49.45,20.43,452,powiat nowotarski,województwo małopolskie
79,8969,KROSNO                                  ,PL,49.72,21.77,326,powiat krośnieński,województwo podkarpackie
80,9113,KRAKOW OBS. ASTRONOMICZNE               ,PL,50.07,19.97,206,,województwo małopolskie
81,1207,PULAWY                                  ,PL,51.41666666666666,21.966666666666665,142,powiat puławski,województwo lubelskie
82,9040,WARSZAWA OBS.ASTR.                      ,PL,52.22,21.03,110,,województwo mazowieckie
83,930,BIELSKO-BIALA                           ,PL,49.80722222222222,19.000277777777782,396,,województwo śląskie
84,1383,ZAKOPANE                                ,PL,49.3,19.95,857,powiat tatrzański,województwo małopolskie
85,932,NOWY SACZ                               ,PL,49.62722222222222,20.688611111111108,292,,województwo małopolskie
86,933,LESKO                                   ,PL,49.46638888888889,22.341666666666665,420,powiat leski,województwo podkarpackie
87,2036,KLODZKO                                 ,PL,50.436944444444435,16.61416666666667,356,powiat kłodzki,województwo dolnośląskie
88,928,RACIBORZ                                ,PL,50.06111111111111,18.190833333333334,206,powiat raciborski,województwo śląskie
89,2038,KIELCE                                  ,PL,50.810555555555545,20.692222222222227,260,powiat kielecki,województwo świętokrzyskie
90,207,RZESZOW JASIONKA                        ,PL,50.11083333333333,22.04222222222223,206,powiat rzeszowski,województwo podkarpackie
91,2031,ZIELONA GORA                            ,PL,51.93,15.524722222222223,192,,województwo lubuskie
92,923,LESZNO                                  ,PL,51.835555555555565,16.534722222222225,91,powiat leszczyński,województwo wielkopolskie
93,210,WROCLAW                                 ,PL,51.10333333333333,16.9,120,,województwo dolnośląskie
94,2032,KALISZ                                  ,PL,51.73,18.08,140,,województwo wielkopolskie
95,924,WIELUN                                  ,PL,51.210277777777776,18.556666666666672,199,powiat wieluński,województwo łódzkie
96,2033,LODZ                                    ,PL,51.73,19.4,187,,województwo łódzkie
97,926,SULEJOW                                 ,PL,51.35333333333333,19.866388888888885,188,powiat piotrkowski,województwo łódzkie
98,927,WLODAWA                                 ,PL,51.55333333333333,23.529444444444447,177,powiat włodawski,województwo lubelskie
99,779,SLUBICE                                 ,PL,52.348611111111104,14.619722222222224,53,powiat słubicki,województwo lubuskie
100,2029,GORZOW WLKP                             ,PL,52.74111111111111,15.277222222222226,71,,województwo lubuskie
101,206,POZNAN                                  ,PL,52.19972222222222,18.660277777777775,115,powiat kolski,województwo wielkopolskie
102,209,WARSZAWA-OKECIE                         ,PL,52.16277777777778,20.961111111111116,107,,województwo mazowieckie
103,333,SIEDLCE                                 ,PL,52.18111111111111,22.24472222222223,152,,województwo mazowieckie
104,922,TERESPOL                                ,PL,52.078611111111115,23.621944444444445,133,powiat bialski,województwo lubelskie
105,696,SWINOUJSCIE                             ,PL,53.92333333333333,14.242222222222221,5,,województwo zachodniopomorskie
106,208,SZCZECIN                                ,PL,53.39527777777778,14.622777777777774,1,,województwo zachodniopomorskie
107,2026,CHOJNICE                                ,PL,53.71527777777778,17.5325,164,powiat chojnicki,województwo pomorskie
108,2027,TORUN                                   ,PL,53.04194444444444,18.595555555555556,69,,województwo kujawsko-pomorskie
109,2028,MLAWA                                   ,PL,53.10416666666667,20.361111111111114,147,powiat mławski,województwo mazowieckie
110,752,OLSZTYN                                 ,PL,53.768611111111106,20.42138888888889,133,,województwo warmińsko-mazurskie
111,204,BIALYSTOK                               ,PL,53.10722222222223,23.16222222222222,148,,województwo podlaskie
112,332,LEBA                                    ,PL,54.753611111111105,17.534722222222225,2,powiat lęborski,województwo pomorskie
113,205,HEL                                     ,PL,54.603611111111114,18.81194444444445,1,powiat pucki,województwo pomorskie
114,396,ELBLAG                                  ,PL,54.223333333333336,19.543611111111108,189,powiat elbląski,województwo warmińsko-mazurskie
115,2021,KOLOBRZEG                               ,PL,54.18,15.58,3,powiat kołobrzeski,województwo zachodniopomorskie
116,8945,MIKOLAJKI                               ,PL,53.78,21.58,127,powiat mrągowski,województwo warmińsko-mazurskie
117,4108,FRANKFURT/ODER                          ,DE,52.36527777777778,14.537777777777777,48,,Brandenburg
118,2024,SUWALKI                                 ,PL,54.13083333333334,22.948888888888888,184,,województwo podlaskie
119,2037,KATOWICE                                ,PL,50.24055555555557,19.032777777777774,278,,województwo śląskie
120,929,KRAKOW                                  ,PL,50.077777777777776,19.795,237,powiat krakowski,województwo małopolskie
121,25055,WARSZAWA-BABICE                         ,PL,52.266944444444434,20.905833333333327,91,,województwo mazowieckie
122,23808,BABICE                                  ,PL,52.26777777777777,20.910833333333333,107,,województwo mazowieckie
123,23829,LUBLINEK                                ,PL,51.71694444444446,19.4,184,,województwo łódzkie
124,23864,KOLO                                    ,PL,52.2,18.66694444444445,117,powiat kolski,województwo wielkopolskie
125,8935,LEBORK                                  ,PL,54.55,17.75,38,powiat lęborski,województwo pomorskie
126,8934,USTKA                                   ,PL,54.58000000000001,16.87,6,powiat słupski,województwo pomorskie
127,8980,GDANSK-SWIBNO                           ,PL,54.33000000000001,18.93,7,,województwo pomorskie
128,8941,RESKO                                   ,PL,53.77,15.42,52,powiat łobeski,województwo zachodniopomorskie
129,8942,SZCZECINEK                              ,PL,53.72,16.68,137,powiat szczecinecki,województwo zachodniopomorskie
130,8947,GOZOW WLKP.                             ,PL,52.75,15.28,72,,województwo lubuskie
131,2035,SNIEZKA                                 ,PL,50.73,15.73,1603,Královéhradecký kraj,Severovýchod
132,8962,OPOLE                                   ,PL,50.63,17.97,165,,województwo opolskie
133,25143,SZCZECINEK                              ,PL,53.71472222222222,16.746666666666666,138,powiat szczecinecki,województwo zachodniopomorskie
