DATE,BIALOWIEZA_RR,BIALYSTOK_RR,BIEBRZA-PIENCZYKOWEK_RR,BIELSKO-BIALA_RR,BORUSOWA_RR,CHOJNICE_RR,CHORZELOW_RR,CIESZANOW_RR,CZOSTOCHOWA_RR,DRONIOWICE_RR,DYNOW_RR,ELBLAG_RR,ELBLAG-MILEJEWO_RR,GDANSK-REBIECHOWO_RR,GDANSK-SWIBNO_RR,GORZOW WLKP_RR,GORZYN_RR,HEL_RR,JABLONKA_RR,JARCZEW_RR,JELENIA GORA_RR,KASPROWY WIERCH_RR,KATOWICE-MUCHOWIEC_RR,KIELCE_RR,KLODZKO_RR,KOLO_RR,KOLOBRZEG-DZWIRZYNO_RR,KOLUDA WIELKA_RR,KOMANCZA_RR,KOSZALIN_RR,KOZIENCE_RR,KRAKOW-BALICE_RR,KROSNO_RR,KRYNICA_RR,LACKO_RR,LAZY_RR,LEBA_RR,LEBORK_RR,LEGIONOWO_RR,LEGNICA_RR,LESKO_RR,LESZNO_RR,LIDZBARK WARMINSKI_RR,LIMANOWA_RR,LODZ_RR,LUBLIN-RADAWIEC_RR,MIKOLAJKI_RR,MLAWA_RR,MSZANA DOLNA_RR,NOWY SACZ_RR,OLECKO_RR,OLSZTYN_RR,OPOLE_RR,PILA_RR,PIWNICZNA_RR,PLOCK_RR,PORONIN_RR,POZNAN_RR,PSZCZYNA_RR,PUCZNIEW_RR,PULTUSK_RR,RACIBORZ_RR,RESKO_RR,RESKO-SMOLSKO_RR,ROZANYSTOK_RR,RZESZOW JASIONKA_RR,SANDOMIERZ_RR,SIEDLCE_RR,SKIERNIEWICE_RR,SLUBICE_RR,SNIEZKA_RR,SOLINA-JAWOR_RR,STASZOW_RR,SULEJOW_RR,SUWALKI_RR,SWINOUJSCIE_RR,SZCZECIN_RR,SZEPIETOWO_RR,TARNOW_RR,TERESPOL_RR,TORUN_RR,USTKA_RR,WARSZAWA-BIELANY_RR,WARSZAWA-FILTRY_RR,WARSZAWA-OKECIE_RR,WIELICHOWO_RR,WIELUN_RR,WLODAWA_RR,WROCLAW_RR,ZAKOPANE_RR,ZAMOSC_RR,ZIELONA GORA_RR,mean_RR
2017-01-01,0.0,0.0,11.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9666666666666666
2017-01-02,7.0,15.0,6.0,19.0,,3.0,16.0,1.0,10.0,13.0,5.0,37.0,24.0,1.0,0.0,6.0,2.0,7.0,8.0,1.0,15.0,33.0,8.0,8.0,15.0,0.0,47.0,1.0,4.0,9.0,1.0,17.0,7.0,23.0,9.0,3.0,0.0,5.0,3.0,3.0,5.0,0.0,32.0,20.0,4.0,4.0,9.0,10.0,18.0,4.0,35.0,2.0,13.0,0.0,23.0,0.0,15.0,0.0,28.0,0.0,5.0,9.0,0.0,,30.0,10.0,0.0,4.0,6.0,1.0,99.0,7.0,11.0,1.0,40.0,0.0,5.0,3.0,16.0,31.0,6.0,2.0,6.0,10.0,8.0,4.0,6.0,1.0,7.0,11.0,1.0,22.0,10.844444444444445
2017-01-03,86.0,0.0,43.0,0.0,,0.0,35.0,1.0,0.0,39.0,17.0,0.0,0.0,37.0,0.0,0.0,81.0,0.0,51.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,32.0,0.0,0.0,0.0,0.0,10.0,2.0,4.0,0.0,0.0,35.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,32.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,15.0,82.0,70.0,0.0,120.0,,26.0,0.0,0.0,0.0,63.0,0.0,0.0,2.0,32.0,0.0,46.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,89.0,78.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,14.755555555555556
2017-01-04,45.0,50.0,11.0,13.0,,27.0,8.0,5.0,54.0,30.0,46.0,62.0,27.0,92.0,44.0,26.0,40.0,82.0,69.0,15.0,42.0,90.0,38.0,39.0,20.0,18.0,23.0,10.0,64.0,69.0,22.0,8.0,10.0,35.0,14.0,1.0,42.0,83.0,13.0,7.0,27.0,25.0,72.0,19.0,20.0,26.0,44.0,38.0,26.0,10.0,39.0,66.0,29.0,30.0,27.0,18.0,29.0,23.0,3.0,17.0,22.0,0.0,50.0,,46.0,10.0,8.0,37.0,40.0,28.0,146.0,17.0,9.0,2.0,60.0,17.0,18.0,32.0,7.0,52.0,19.0,24.0,22.0,39.0,54.0,40.0,41.0,30.0,9.0,25.0,2.0,61.0,32.766666666666666
2017-01-05,3.0,0.0,0.0,0.0,,0.0,2.0,1.0,0.0,3.0,18.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,31.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9101123595505616
2017-01-06,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,40.0,0.0,8.0,9.0,0.0,1.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,35.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0555555555555554
2017-01-07,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
2017-01-08,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9777777777777777
2017-01-09,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2017-01-10,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
