No,Station code,International code,Station name,Old station code,Launching date,Closing date,Station type,Region type,Station model,Voivodeship,City,Address,WGS84 φ N,WGS84 λ E,county,STANAME,isUrban
1,DsBialka,,Białka,DsBialka,1990-01-03,2005-12-31,industrial,suburban,container,dolnośląskie,Białka,,51.197783,16.11739,powiat legnicki,BIALKA,0
2,DsBielGrot,,Bielawa - ul. Grota Roweckiego,DsBielGrot,1994-01-02,2003-12-31,background,urban,in-house,dolnośląskie,Bielawa,ul. Grota Roweckiego 6,50.68251,16.617348,powiat dzierżoniowski,BIELAWA,0
3,DsBogatFrancMOB,PL0602A,Bogatynia Mobil,DsBogatMob,2015-01-01,2015-12-31,background,urban,mobile,dolnośląskie,Bogatynia,ul. Francuska/Kręta,50.940998,14.91679,powiat zgorzelecki,BOGATYNIA,0
4,DsBogChop,PL0315A,Bogatynia - Chopina,DsBogChop,1996-01-01,2013-12-31,industrial,urban,container,dolnośląskie,Bogatynia,ul. Chopina 35,50.905856,14.967175,powiat zgorzelecki,BOGATYNIA,0
5,DsBogZatonieMob,PL0576A,Bogatynia - Mobil,DsBogZatonieMob,2012-01-01,2012-12-31,industrial,urban,mobile,dolnośląskie,Bogatynia,"ul. Konrada, Zatonie",50.943245000000005,14.913327,powiat zgorzelecki,BOGATYNIA,0
6,DsBoleslaMOB,PL0658A,Bolesławiec,DsBoleslaMOB,2017-01-01,2018-01-02,background,urban,mobile,dolnośląskie,Bolesławiec,Juliusza Słowackiego 2,51.263245,15.570354,powiat bolesławiecki,BOLESLAWIEC,0
7,DsBrzegGlog,,Brzeg Głogowski,DsBrzegGlog,1980-01-01,2003-12-31,industrial,nonurban,in-house,dolnośląskie,Brzeg Głogowski,,51.691438,15.91784,powiat głogowski,BRZEG GLOGOWSKI,0
8,DsChojnowKil,PL0185A,"Chojnów,ul.Kilińskiego",DsChojnowKil,2004-01-06,2005-12-31,background,urban,container,dolnośląskie,Chojnów,ul. Kilińskiego,51.268889,15.940278,powiat legnicki,CHOJNOW,0
9,DsCzar07,PL0186A,Czarna Góra,DsCzar07,1996-12-01,2008-09-30,background,nonurban,container,dolnośląskie,Czarna Góra,,50.255072,16.801641,powiat kłodzki,CZARNA GORA,0
10,DsCzerStraza,PL0028A,Czerniawa,,1996-07-01,,background,nonurban,container,dolnośląskie,Czerniawa,ul. Strażacka 7,50.912475,15.31219,powiat lubański,CZERNIAWA,0
11,DsCzLasMob,PL0599A,Czarny Las - Mobil Mercedes,DsCzLasMob,2013-01-01,2013-12-31,background,nonurban,mobile,dolnośląskie,Czarny Las,,51.541658,16.937064000000003,powiat trzebnicki,CZARNY LAS,0
12,DsDusznikMOB,PL0733A,Duszniki-Zdrój,DsDusznikMOB,2019-01-01,2019-12-31,background,urban,mobile,dolnośląskie,Duszniki-Zdrój,Sportowa 2a,50.402645,16.393319,powiat kłodzki,DUSZNIKI-ZDROJ,0
13,DsDuszZiel,,Duszniki Zdrój - ul. Zielona,DsDuszZiel,1993-01-02,2003-12-31,background,urban,in-house,dolnośląskie,Duszniki-Zdrój,ul. Zielona 23,50.393396,16.38247,powiat kłodzki,DUSZNIKI-ZDROJ,0
14,DsDzialoszyn,PL0054A,Działoszyn,,1996-07-01,,industrial,nonurban,container,dolnośląskie,Działoszyn,bez ulicy,50.972167,14.941319,powiat zgorzelecki,DZIALOSZYN,0
15,DsDziePilsud,PL0187A,"Dzierżoniów, ul. Piłsudskiego",,2005-01-01,,background,urban,container,dolnośląskie,Dzierżoniów,ul. Piłsudskiego 26,50.732817,16.64805,powiat dzierżoniowski,DZIERZONIOW,0
16,DsDzierKras,,Dzierżoniów - ul. Krasickiego,DsDzierKras,1986-01-02,2003-12-31,background,urban,in-house,dolnośląskie,Dzierżoniów,ul. Krasickiego 36,50.726338,16.647285999999998,powiat dzierżoniowski,DZIERZONIOW,0
17,DsGlogMob,PL0625A,Głogów - Wita Stwosza - mobil,DsGlogMob,2014-01-01,2014-12-31,background,urban,mobile,dolnośląskie,Głogów,ul. Wita Stwosza,51.657022,16.097822,powiat głogowski,GLOGOW,0
18,DsGlogNorw,PL0188A,Głogów - Norwida,DsGlogNorw,2011-01-01,2014-12-31,background,urban,dust collector,dolnośląskie,Głogów,ul. Norwida 3,51.65713,16.086188,powiat głogowski,GLOGOW,0
19,DsGlogNorwArch,,Głogów - Norwida Arch,DsGlogNorwArch,1994-01-01,2009-12-31,background,urban,dust collector,dolnośląskie,Głogów,ul. Norwida 3,51.657152,16.086183,powiat głogowski,GLOGOW,0
