No,Station code,International code,Station name,Old station code,Launching date,Closing date,Station type,Region type,Station model,Voivodeship,City,Address,WGS84 φ N,WGS84 λ E,county
1,DsBialka,,Białka,DsBialka,1990-01-03,2005-12-31,industrial,suburban,container,DOLNOŚLĄSKIE,Białka,,51.197783,16.11739,powiat legnicki
2,DsBielGrot,,Bielawa - ul. Grota Roweckiego,DsBielGrot,1994-01-02,2003-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Bielawa,ul. Grota Roweckiego 6,50.68251,16.617348,powiat dzierżoniowski
3,DsBogatFrancMOB,PL0602A,Bogatynia Mobil,DsBogatMob,2015-01-01,2015-12-31,background,urban,mobile,DOLNOŚLĄSKIE,Bogatynia,ul. Francuska/Kręta,50.940998,14.916789999999999,powiat zgorzelecki
4,DsBogChop,PL0315A,Bogatynia - Chopina,DsBogChop,1996-01-01,2013-12-31,industrial,urban,container,DOLNOŚLĄSKIE,Bogatynia,ul. Chopina 35,50.905856,14.967175,powiat zgorzelecki
5,DsBogZatonieMob,PL0576A,Bogatynia - Mobil,DsBogZatonieMob,2012-01-01,2012-12-31,industrial,urban,mobile,DOLNOŚLĄSKIE,Bogatynia,"ul. Konrada, Zatonie",50.943245000000005,14.913326999999999,powiat zgorzelecki
6,DsBoleslaMOB,PL0658A,Bolesławiec,DsBoleslaMOB,2017-01-01,2018-01-02,background,urban,mobile,DOLNOŚLĄSKIE,Bolesławiec,Juliusza Słowackiego 2,51.263245,15.570354,powiat bolesławiecki
7,DsBrzegGlog,,Brzeg Głogowski,DsBrzegGlog,1980-01-01,2003-12-31,industrial,nonurban,in-house,DOLNOŚLĄSKIE,Brzeg Głogowski,,51.691438,15.91784,powiat głogowski
8,DsChojnowKil,PL0185A,"Chojnów,ul.Kilińskiego",DsChojnowKil,2004-01-06,2005-12-31,background,urban,container,DOLNOŚLĄSKIE,Chojnów,ul. Kilińskiego,51.268889,15.940278,powiat legnicki
9,DsCzar07,PL0186A,Czarna Góra,DsCzar07,1996-12-01,2008-09-30,background,nonurban,container,DOLNOŚLĄSKIE,Czarna Góra,,50.255072,16.801641,powiat kłodzki
10,DsCzerStraza,PL0028A,Czerniawa,,1996-07-01,,background,nonurban,container,DOLNOŚLĄSKIE,Czerniawa,ul. Strażacka 7,50.912475,15.31219,powiat lubański
11,DsCzLasMob,PL0599A,Czarny Las - Mobil Mercedes,DsCzLasMob,2013-01-01,2013-12-31,background,nonurban,mobile,DOLNOŚLĄSKIE,Czarny Las,,51.541658,16.937064000000003,powiat trzebnicki
12,DsDusznikMOB,PL0733A,Duszniki-Zdrój,DsDusznikMOB,2019-01-01,2019-12-31,background,urban,mobile,DOLNOŚLĄSKIE,Duszniki-Zdrój,Sportowa 2a,50.402645,16.393319,powiat kłodzki
13,DsDuszZiel,,Duszniki Zdrój - ul. Zielona,DsDuszZiel,1993-01-02,2003-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Duszniki-Zdrój,ul. Zielona 23,50.393396,16.38247,powiat kłodzki
14,DsDzialoszyn,PL0054A,Działoszyn,,1996-07-01,,industrial,nonurban,container,DOLNOŚLĄSKIE,Działoszyn,bez ulicy,50.972167,14.941319,powiat zgorzelecki
15,DsDziePilsud,PL0187A,"Dzierżoniów, ul. Piłsudskiego",,2005-01-01,,background,urban,container,DOLNOŚLĄSKIE,Dzierżoniów,ul. Piłsudskiego 26,50.732817,16.64805,powiat dzierżoniowski
16,DsDzierKras,,Dzierżoniów - ul. Krasickiego,DsDzierKras,1986-01-02,2003-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Dzierżoniów,ul. Krasickiego 36,50.726338,16.647285999999998,powiat dzierżoniowski
17,DsGlogMob,PL0625A,Głogów - Wita Stwosza - mobil,DsGlogMob,2014-01-01,2014-12-31,background,urban,mobile,DOLNOŚLĄSKIE,Głogów,ul. Wita Stwosza,51.657022,16.097822,powiat głogowski
18,DsGlogNorw,PL0188A,Głogów - Norwida,DsGlogNorw,2011-01-01,2014-12-31,background,urban,dust collector,DOLNOŚLĄSKIE,Głogów,ul. Norwida 3,51.65713,16.086188,powiat głogowski
19,DsGlogNorwArch,,Głogów - Norwida Arch,DsGlogNorwArch,1994-01-01,2009-12-31,background,urban,dust collector,DOLNOŚLĄSKIE,Głogów,ul. Norwida 3,51.657152,16.086183,powiat głogowski
20,DsGlogOrzech,,"Głogów, ul. Orzechowa",DsGlogOrzech,1980-01-01,2003-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Głogów,ul. Orzechowa,51.648546,16.092285999999998,powiat głogowski
21,DsGlogowko,,Głogówko,DsGlogowko,1980-01-01,2003-12-31,industrial,nonurban,in-house,DOLNOŚLĄSKIE,Głogówko,,51.731823999999996,16.097768,powiat głogowski
22,DsGlogSikor,PL0260A,"Głogów, ul. Sikorskiego",DsGlogSikor,2003-10-01,2013-12-31,industrial,suburban,container,DOLNOŚLĄSKIE,Głogów,ul. Żukowicka 1,51.664508000000005,16.040822,powiat głogowski
23,DsGlogWiStwo,PL0603A,"Głogów, ul. Wita Stwosza",,2015-01-01,,background,urban,dust collector,DOLNOŚLĄSKIE,Głogów,ul. Wita Stwosza 3,51.657022,16.097822,powiat głogowski
24,DsGrodziec,,Grodziec Mały,DsGrodziec,1980-01-01,2003-12-31,industrial,nonurban,in-house,DOLNOŚLĄSKIE,Grodziec Mały,,51.687496,16.073213,powiat głogowski
25,DsJasnaSport,PL0316A,Jasna Góra - Sportowa,DsJasnaSport,1996-01-01,2013-12-31,industrial,nonurban,container,DOLNOŚLĄSKIE,Jasna Góra,ul. Sportowa 13,50.873692,14.954235999999998,powiat zgorzelecki
26,DsJawDmow,,Jawor - Dmowskiego,DsJawDmow,1994-01-03,2003-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Jawor,ul. Dmowskiego 8,51.057121,16.179854000000002,powiat jaworski
27,DsJaworMOB,PL0734A,Jawor,DsJaworMOB,2019-01-01,2019-12-31,background,urban,mobile,DOLNOŚLĄSKIE,Jawor,Armii Krajowej 9,51.049212,16.202317,powiat jaworski
28,DsJedlZdroj,,Jedlina Zdrój - Plac Zdrojowy,DsJedlZdroj,1993-01-02,2003-12-31,background,urban,in-house,DOLNOŚLĄSKIE,Jedlina-Zdrój,pl. Zdrojowy 1,50.728378,16.345481,powiat wałbrzyski
