,DATE,CC,Q_CC,FG,Q_FG,HU,Q_HU,RR,Q_RR,SD,Q_SD,TG,Q_TG
0,2022-01-01,7,0,0,0,86,0,0,0,0,0,79,0
1,2022-01-02,7,0,0,0,89,0,5,0,0,0,68,0
2,2022-01-03,6,0,0,0,85,0,43,0,0,0,79,0
3,2022-01-04,6,0,0,0,93,0,35,0,0,0,62,0
4,2022-01-05,7,0,0,0,91,0,25,0,0,0,42,0
5,2022-01-06,6,0,0,0,83,0,22,0,0,0,8,0
6,2022-01-07,4,0,0,0,73,0,0,0,3,0,-20,0
7,2022-01-08,6,0,0,0,69,0,0,0,2,0,-22,0
8,2022-01-09,3,0,0,0,80,0,0,0,2,0,-14,0
9,2022-01-10,4,0,0,0,85,0,0,0,1,0,-29,0
10,2022-01-11,5,0,0,0,86,0,0,0,1,0,-42,0
11,2022-01-12,7,0,0,0,76,0,0,0,1,0,-21,0
12,2022-01-13,7,0,0,0,94,0,2,0,1,0,14,0
13,2022-01-14,5,0,0,0,88,0,21,0,0,0,40,0
14,2022-01-15,3,0,0,0,83,0,0,0,0,0,4,0
15,2022-01-16,7,0,0,0,87,0,0,0,0,0,-5,0
16,2022-01-17,5,0,0,0,77,0,15,0,0,0,21,0
17,2022-01-18,4,0,0,0,80,0,0,0,0,0,0,0
18,2022-01-19,7,0,0,0,88,0,0,0,0,0,7,0
19,2022-01-20,6,0,0,0,77,0,7,0,0,0,3,0
20,2022-01-21,5,0,0,0,67,0,0,0,1,0,-11,0
21,2022-01-22,5,0,0,0,76,0,2,0,1,0,-17,0
22,2022-01-23,4,0,0,0,72,0,0,0,2,0,-18,0
23,2022-01-24,6,0,0,0,76,0,0,0,1,0,-27,0
24,2022-01-25,8,0,0,0,96,0,1,0,1,0,16,0
25,2022-01-26,7,0,0,0,94,0,13,0,0,0,22,0
26,2022-01-27,8,0,0,0,90,0,12,0,0,0,19,0
27,2022-01-28,7,0,0,0,83,0,19,0,0,0,27,0
28,2022-01-29,5,0,0,0,86,0,8,0,0,0,10,0
29,2022-01-30,7,0,0,0,83,0,37,0,0,0,33,0
30,2022-01-31,6,0,0,0,76,0,0,0,0,0,4,0
