,DATE,cloud_cover,Q_cloud_cover,humidity,Q_humidity,precipitation,Q_precipitation,snow_depth,Q_snow_depth,temperature,Q_temperature,wind_speed,Q_wind_speed,powiat_voivod
0,2022-01-01,7,0,86,0,0,0,0,0,7.9,0,33,0,"powiat warszawa, mazowieckie"
1,2022-01-02,7,0,89,0,5,0,0,0,6.8,0,37,0,"powiat warszawa, mazowieckie"
2,2022-01-03,6,0,85,0,43,0,0,0,7.9,0,47,0,"powiat warszawa, mazowieckie"
3,2022-01-04,6,0,93,0,35,0,0,0,6.2,0,17,0,"powiat warszawa, mazowieckie"
4,2022-01-05,7,0,91,0,25,0,0,0,4.2,0,27,0,"powiat warszawa, mazowieckie"
5,2022-01-06,6,0,83,0,22,0,0,0,0.8,0,53,0,"powiat warszawa, mazowieckie"
6,2022-01-07,4,0,73,0,0,0,3,0,-2.0,0,23,0,"powiat warszawa, mazowieckie"
7,2022-01-08,6,0,69,0,0,0,2,0,-2.2,0,20,0,"powiat warszawa, mazowieckie"
8,2022-01-09,3,0,80,0,0,0,2,0,-1.4,0,17,0,"powiat warszawa, mazowieckie"
9,2022-01-10,4,0,85,0,0,0,1,0,-2.9,0,7,0,"powiat warszawa, mazowieckie"
10,2022-01-11,5,0,86,0,0,0,1,0,-4.2,0,7,0,"powiat warszawa, mazowieckie"
11,2022-01-12,7,0,76,0,0,0,1,0,-2.1,0,23,0,"powiat warszawa, mazowieckie"
12,2022-01-13,7,0,94,0,2,0,1,0,1.4,0,60,0,"powiat warszawa, mazowieckie"
13,2022-01-14,5,0,88,0,21,0,0,0,4.0,0,73,0,"powiat warszawa, mazowieckie"
14,2022-01-15,3,0,83,0,0,0,0,0,0.4,0,30,0,"powiat warszawa, mazowieckie"
15,2022-01-16,7,0,87,0,0,0,0,0,-0.5,0,33,0,"powiat warszawa, mazowieckie"
16,2022-01-17,5,0,77,0,15,0,0,0,2.1,0,83,0,"powiat warszawa, mazowieckie"
17,2022-01-18,4,0,80,0,0,0,0,0,0.0,0,37,0,"powiat warszawa, mazowieckie"
18,2022-01-19,7,0,88,0,0,0,0,0,0.7,0,37,0,"powiat warszawa, mazowieckie"
19,2022-01-20,6,0,77,0,7,0,0,0,0.3,0,70,0,"powiat warszawa, mazowieckie"
20,2022-01-21,5,0,67,0,0,0,1,0,-1.1,0,70,0,"powiat warszawa, mazowieckie"
21,2022-01-22,5,0,76,0,2,0,1,0,-1.7,0,40,0,"powiat warszawa, mazowieckie"
22,2022-01-23,4,0,72,0,0,0,2,0,-1.8,0,7,0,"powiat warszawa, mazowieckie"
23,2022-01-24,6,0,76,0,0,0,1,0,-2.7,0,17,0,"powiat warszawa, mazowieckie"
24,2022-01-25,8,0,96,0,1,0,1,0,1.6,0,37,0,"powiat warszawa, mazowieckie"
25,2022-01-26,7,0,94,0,13,0,0,0,2.2,0,30,0,"powiat warszawa, mazowieckie"
26,2022-01-27,8,0,90,0,12,0,0,0,1.9,0,63,0,"powiat warszawa, mazowieckie"
27,2022-01-28,7,0,83,0,19,0,0,0,2.7,0,67,0,"powiat warszawa, mazowieckie"
28,2022-01-29,5,0,86,0,8,0,0,0,1.0,0,40,0,"powiat warszawa, mazowieckie"
29,2022-01-30,7,0,83,0,37,0,0,0,3.3,0,77,0,"powiat warszawa, mazowieckie"
30,2022-01-31,6,0,76,0,0,0,0,0,0.4,0,47,0,"powiat warszawa, mazowieckie"
31,2022-02-01,7,0,84,0,8,0,0,0,-1.1,0,33,0,"powiat warszawa, mazowieckie"
32,2022-02-02,7,0,91,0,9,0,1,0,1.1,0,43,0,"powiat warszawa, mazowieckie"
33,2022-02-03,7,0,85,0,0,0,0,0,0.5,0,20,0,"powiat warszawa, mazowieckie"
34,2022-02-04,7,0,93,0,1,0,0,0,2.8,0,17,0,"powiat warszawa, mazowieckie"
35,2022-02-05,6,0,78,0,2,0,0,0,3.6,0,73,0,"powiat warszawa, mazowieckie"
36,2022-02-06,7,0,79,0,0,0,0,0,3.5,0,53,0,"powiat warszawa, mazowieckie"
37,2022-02-07,7,0,89,0,76,0,0,0,2.1,0,37,0,"powiat warszawa, mazowieckie"
