powiat_en,powiat_pl,type,voivodship_en,voivodship_pl
Aleksandrów County,powiat aleksandrowski,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Augustów County,powiat augustowski,county,Podlaskie,podlaskie
Bartoszyce County,powiat bartoszycki,county,Warmian-Masurian,warmińsko-mazurskie
Będzin County,powiat będziński,county,Silesian,śląskie
Bełchatów County,powiat bełchatowski,county,Łódź,łódzkie
Biała Podlaska,Biała Podlaska,city county,Lublin,lubelskie
Biała Podlaska County,powiat bialski,county,Lublin,lubelskie
Białobrzegi County,powiat białobrzeski,county,Masovian,mazowieckie
Białogard County,powiat białogardzki,county,West Pomeranian,zachodniopomorskie
Białystok,Białystok,city county,Podlaskie,podlaskie
Białystok County,powiat białostocki,county,Podlaskie,podlaskie
Bielsk County,powiat bielski,county,Podlaskie,podlaskie
Bielsko County,powiat bielski,county,Silesian,podlaskie
Bielsko-Biała,Bielsko-Biała,city county,Silesian,śląskie
Bieruń-Lędziny County,powiat bieruńsko-lędziński,county,Silesian,śląskie
Bieszczady County,powiat bieszczadzki,county,Subcarpathian,podkarpackie
Biłgoraj County,powiat biłgorajski,county,Lublin,lubelskie
Bochnia County,powiat bocheński,county,Lesser Poland,małopolskie
Bolesławiec County,powiat bolesławiecki,county,Lower Silesian,dolnośląskie
Braniewo County,powiat braniewski,county,Warmian-Masurian,warmińsko-mazurskie
Brodnica County,powiat brodnicki,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Brzeg County,powiat brzeski,county,Opole,małopolskie
Brzesko County,powiat brzeski,county,Lesser Poland,małopolskie
Brzeziny County,powiat brzeziński,county,Łódź,łódzkie
Brzozów County,powiat brzozowski,county,Subcarpathian,podkarpackie
Busko County,powiat buski,county,Świętokrzyskie,świętokrzyskie
Bydgoszcz,Bydgoszcz,city county,Kuyavian-Pomeranian,kujawsko-pomorskie
Bydgoszcz County,powiat bydgoski,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Bytom,Bytom,city county,Silesian,śląskie
Bytów County,powiat bytowski,county,Pomeranian,pomorskie
Chełm,Chełm,city county,Lublin,lubelskie
Chełm County,powiat chełmski,county,Lublin,lubelskie
Chełmno County,powiat chełmiński,county,Kuyavian-Pomeranian,kujawsko-pomorskie
Chodzież County,powiat chodzieski,county,Greater Poland,wielkopolskie
Chojnice County,powiat chojnicki,county,Pomeranian,pomorskie
Chorzów,Chorzów,city county,Silesian,śląskie
Choszczno County,powiat choszczeński,county,West Pomeranian,zachodniopomorskie
Chrzanów County,powiat chrzanowski,county,Lesser Poland,małopolskie
Ciechanów County,powiat ciechanowski,county,Masovian,mazowieckie
Cieszyn County,powiat cieszyński,county,Silesian,śląskie
Czarnków-Trzcianka County,powiat czarnkowsko-trzcianecki,county,Greater Poland,wielkopolskie
Częstochowa,Częstochowa,city county,Silesian,śląskie
Częstochowa County,powiat częstochowski,county,Silesian,śląskie
Człuchów County,powiat człuchowski,county,Pomeranian,pomorskie
Dąbrowa County,powiat dąbrowski,county,Lesser Poland,małopolskie
Dąbrowa Górnicza,Dąbrowa Górnicza,city county,Silesian,śląskie
Dębica County,powiat dębicki,county,Subcarpathian,podkarpackie
Drawsko County,powiat drawski,county,West Pomeranian,zachodniopomorskie
Działdowo County,powiat działdowski,county,Warmian-Masurian,warmińsko-mazurskie
Dzierżoniów County,powiat dzierżoniowski,county,Lower Silesian,dolnośląskie
Elbląg,Elbląg,city county,Warmian-Masurian,warmińsko-mazurskie
Elbląg County,powiat elbląski,county,Warmian-Masurian,warmińsko-mazurskie
Ełk County,powiat ełcki,county,Warmian-Masurian,warmińsko-mazurskie
Garwolin County,powiat garwoliński,county,Masovian,mazowieckie
Gdańsk,Gdańsk,city county,Pomeranian,pomorskie
Gdańsk County,powiat gdański,county,Pomeranian,pomorskie
Gdynia,Gdynia,city county,Pomeranian,pomorskie
Giżycko County,powiat giżycki,county,Warmian-Masurian,warmińsko-mazurskie
Gliwice,Gliwice,city county,Silesian,śląskie
Gliwice County,powiat gliwicki,county,Silesian,śląskie
Głogów County,powiat głogowski,county,Lower Silesian,dolnośląskie
Głubczyce County,powiat głubczycki,county,Opole,opolskie
Gniezno County,powiat gnieźnieński,county,Greater Poland,wielkopolskie
