SOUID,DATE,HU,STAID,SOUNAME,CN,LAT,LON,HGHT,ELEI,BEGIN,END,PARID,PARNAME
237121,2017,78.27123287671233,24889,LIMANOWA,PL,+49:41:00,+020:26:00,587, HU2,1952-01-01,2022-08-31,26,Miroslaw Mietus
237121,2018,76.86849315068493,24889,LIMANOWA,PL,+49:41:00,+020:26:00,587, HU2,1952-01-01,2022-08-31,26,Miroslaw Mietus
237121,2019,74.1972602739726,24889,LIMANOWA,PL,+49:41:00,+020:26:00,587, HU2,1952-01-01,2022-08-31,26,Miroslaw Mietus
237121,2020,74.51092896174863,24889,LIMANOWA,PL,+49:41:00,+020:26:00,587, HU2,1952-01-01,2022-08-31,26,Miroslaw Mietus
237121,2021,76.72602739726027,24889,LIMANOWA,PL,+49:41:00,+020:26:00,587, HU2,1952-01-01,2022-08-31,26,Miroslaw Mietus
237205,2017,83.85205479452055,24896,KRYNICA,PL,+49:25:00,+020:58:00,702, HU2,1961-01-01,2022-08-31,26,Miroslaw Mietus
237205,2017,83.85205479452055,24907,KRYNICA,PL,+49:25:00,+020:58:00,702, HU2,1961-01-01,2022-08-31,26,Miroslaw Mietus
237205,2018,82.37808219178082,24896,KRYNICA,PL,+49:25:00,+020:58:00,702, HU2,1961-01-01,2022-08-31,26,Miroslaw Mietus
237205,2018,82.37808219178082,24907,KRYNICA,PL,+49:25:00,+020:58:00,702, HU2,1961-01-01,2022-08-31,26,Miroslaw Mietus
237205,2019,79.4876712328767,24896,KRYNICA,PL,+49:25:00,+020:58:00,702, HU2,1961-01-01,2022-08-31,26,Miroslaw Mietus
237205,2019,79.4876712328767,24907,KRYNICA,PL,+49:25:00,+020:58:00,702, HU2,1961-01-01,2022-08-31,26,Miroslaw Mietus
237205,2020,79.56557377049181,24896,KRYNICA,PL,+49:25:00,+020:58:00,702, HU2,1961-01-01,2022-08-31,26,Miroslaw Mietus
237205,2020,79.56557377049181,24907,KRYNICA,PL,+49:25:00,+020:58:00,702, HU2,1961-01-01,2022-08-31,26,Miroslaw Mietus
237205,2021,81.76712328767124,24896,KRYNICA,PL,+49:25:00,+020:58:00,702, HU2,1961-01-01,2022-08-31,26,Miroslaw Mietus
237205,2021,81.76712328767124,24907,KRYNICA,PL,+49:25:00,+020:58:00,702, HU2,1961-01-01,2022-08-31,26,Miroslaw Mietus
237289,2017,78.43347050754458,24880,PORONIN,PL,+49:19:49,+020:02:06,848, HU2,2010-01-01,2022-08-31,26,Miroslaw Mietus
237289,2017,78.43347050754458,24897,PORONIN,PL,+49:19:49,+020:02:06,848, HU2,2010-01-01,2022-08-31,26,Miroslaw Mietus
237289,2017,78.43347050754458,24903,PORONIN,PL,+49:19:49,+020:02:06,848, HU2,2010-01-01,2022-08-31,26,Miroslaw Mietus
237289,2017,78.43347050754458,1383,PORONIN,PL,+49:19:49,+020:02:06,848, HU2,2010-01-01,2022-08-31,26,Miroslaw Mietus
237289,2018,80.57338820301783,24880,PORONIN,PL,+49:19:49,+020:02:06,848, HU2,2010-01-01,2022-08-31,26,Miroslaw Mietus
237289,2018,80.57338820301783,24897,PORONIN,PL,+49:19:49,+020:02:06,848, HU2,2010-01-01,2022-08-31,26,Miroslaw Mietus
237289,2018,80.57338820301783,24903,PORONIN,PL,+49:19:49,+020:02:06,848, HU2,2010-01-01,2022-08-31,26,Miroslaw Mietus
237289,2018,80.57338820301783,1383,PORONIN,PL,+49:19:49,+020:02:06,848, HU2,2010-01-01,2022-08-31,26,Miroslaw Mietus
237289,2019,80.22633744855968,24880,PORONIN,PL,+49:19:49,+020:02:06,848, HU2,2010-01-01,2022-08-31,26,Miroslaw Mietus
237289,2019,80.22633744855968,24897,PORONIN,PL,+49:19:49,+020:02:06,848, HU2,2010-01-01,2022-08-31,26,Miroslaw Mietus
237289,2019,80.22633744855968,24903,PORONIN,PL,+49:19:49,+020:02:06,848, HU2,2010-01-01,2022-08-31,26,Miroslaw Mietus
237289,2019,80.22633744855968,1383,PORONIN,PL,+49:19:49,+020:02:06,848, HU2,2010-01-01,2022-08-31,26,Miroslaw Mietus
237289,2020,78.85792349726776,24880,PORONIN,PL,+49:19:49,+020:02:06,848, HU2,2010-01-01,2022-08-31,26,Miroslaw Mietus
237289,2020,78.85792349726776,24897,PORONIN,PL,+49:19:49,+020:02:06,848, HU2,2010-01-01,2022-08-31,26,Miroslaw Mietus
237289,2020,78.85792349726776,24903,PORONIN,PL,+49:19:49,+020:02:06,848, HU2,2010-01-01,2022-08-31,26,Miroslaw Mietus
237289,2020,78.85792349726776,1383,PORONIN,PL,+49:19:49,+020:02:06,848, HU2,2010-01-01,2022-08-31,26,Miroslaw Mietus
237289,2021,77.79698216735254,24880,PORONIN,PL,+49:19:49,+020:02:06,848, HU2,2010-01-01,2022-08-31,26,Miroslaw Mietus
237289,2021,77.79698216735254,24897,PORONIN,PL,+49:19:49,+020:02:06,848, HU2,2010-01-01,2022-08-31,26,Miroslaw Mietus
237289,2021,77.79698216735254,24903,PORONIN,PL,+49:19:49,+020:02:06,848, HU2,2010-01-01,2022-08-31,26,Miroslaw Mietus
237289,2021,77.79698216735254,1383,PORONIN,PL,+49:19:49,+020:02:06,848, HU2,2010-01-01,2022-08-31,26,Miroslaw Mietus
237301,2017,78.58904109589041,24904,MSZANA DOLNA,PL,+49:39:49,+020:03:16,537, HU2,2013-01-01,2022-08-31,26,Miroslaw Mietus
237301,2017,78.58904109589041,24908,MSZANA DOLNA,PL,+49:39:49,+020:03:16,537, HU2,2013-01-01,2022-08-31,26,Miroslaw Mietus
237301,2018,80.51506849315068,24904,MSZANA DOLNA,PL,+49:39:49,+020:03:16,537, HU2,2013-01-01,2022-08-31,26,Miroslaw Mietus
237301,2018,80.51506849315068,24908,MSZANA DOLNA,PL,+49:39:49,+020:03:16,537, HU2,2013-01-01,2022-08-31,26,Miroslaw Mietus
237301,2019,77.35342465753425,24904,MSZANA DOLNA,PL,+49:39:49,+020:03:16,537, HU2,2013-01-01,2022-08-31,26,Miroslaw Mietus
237301,2019,77.35342465753425,24908,MSZANA DOLNA,PL,+49:39:49,+020:03:16,537, HU2,2013-01-01,2022-08-31,26,Miroslaw Mietus
237301,2020,76.98087431693989,24904,MSZANA DOLNA,PL,+49:39:49,+020:03:16,537, HU2,2013-01-01,2022-08-31,26,Miroslaw Mietus
237301,2020,76.98087431693989,24908,MSZANA DOLNA,PL,+49:39:49,+020:03:16,537, HU2,2013-01-01,2022-08-31,26,Miroslaw Mietus
237301,2021,76.9041095890411,24904,MSZANA DOLNA,PL,+49:39:49,+020:03:16,537, HU2,2013-01-01,2022-08-31,26,Miroslaw Mietus
237301,2021,76.9041095890411,24908,MSZANA DOLNA,PL,+49:39:49,+020:03:16,537, HU2,2013-01-01,2022-08-31,26,Miroslaw Mietus
237517,2017,82.71780821917808,24922,KOMANCZA,PL,+49:20:00,+022:04:00,569, HU2,1956-01-01,2022-08-31,26,Miroslaw Mietus
237517,2018,82.86849315068493,24922,KOMANCZA,PL,+49:20:00,+022:04:00,569, HU2,1956-01-01,2022-08-31,26,Miroslaw Mietus
237517,2019,81.47945205479452,24922,KOMANCZA,PL,+49:20:00,+022:04:00,569, HU2,1956-01-01,2022-08-31,26,Miroslaw Mietus
237517,2020,82.12021857923497,24922,KOMANCZA,PL,+49:20:00,+022:04:00,569, HU2,1956-01-01,2022-08-31,26,Miroslaw Mietus
237517,2021,81.83835616438355,24922,KOMANCZA,PL,+49:20:00,+022:04:00,569, HU2,1956-01-01,2022-08-31,26,Miroslaw Mietus
237925,2017,79.97534246575343,24956,DRONIOWICE,PL,+50:41:46,+018:48:32,284, HU2,2003-11-01,2022-08-31,26,Miroslaw Mietus
237925,2017,79.97534246575343,24958,DRONIOWICE,PL,+50:41:46,+018:48:32,284, HU2,2003-11-01,2022-08-31,26,Miroslaw Mietus
237925,2018,77.78630136986301,24956,DRONIOWICE,PL,+50:41:46,+018:48:32,284, HU2,2003-11-01,2022-08-31,26,Miroslaw Mietus
237925,2018,77.78630136986301,24958,DRONIOWICE,PL,+50:41:46,+018:48:32,284, HU2,2003-11-01,2022-08-31,26,Miroslaw Mietus
237925,2019,77.32876712328768,24956,DRONIOWICE,PL,+50:41:46,+018:48:32,284, HU2,2003-11-01,2022-08-31,26,Miroslaw Mietus
237925,2019,77.32876712328768,24958,DRONIOWICE,PL,+50:41:46,+018:48:32,284, HU2,2003-11-01,2022-08-31,26,Miroslaw Mietus
237925,2020,78.40983606557377,24956,DRONIOWICE,PL,+50:41:46,+018:48:32,284, HU2,2003-11-01,2022-08-31,26,Miroslaw Mietus
237925,2020,78.40983606557377,24958,DRONIOWICE,PL,+50:41:46,+018:48:32,284, HU2,2003-11-01,2022-08-31,26,Miroslaw Mietus
237925,2021,81.10958904109589,24956,DRONIOWICE,PL,+50:41:46,+018:48:32,284, HU2,2003-11-01,2022-08-31,26,Miroslaw Mietus
237925,2021,81.10958904109589,24958,DRONIOWICE,PL,+50:41:46,+018:48:32,284, HU2,2003-11-01,2022-08-31,26,Miroslaw Mietus
238189,2017,77.2,24978,CHORZELOW,PL,+50:21:00,+021:27:00,161, HU2,1974-02-21,2022-08-31,26,Miroslaw Mietus
238189,2018,76.72328767123288,24978,CHORZELOW,PL,+50:21:00,+021:27:00,161, HU2,1974-02-21,2022-08-31,26,Miroslaw Mietus
238189,2019,76.04109589041096,24978,CHORZELOW,PL,+50:21:00,+021:27:00,161, HU2,1974-02-21,2022-08-31,26,Miroslaw Mietus
238189,2020,76.80601092896175,24978,CHORZELOW,PL,+50:21:00,+021:27:00,161, HU2,1974-02-21,2022-08-31,26,Miroslaw Mietus
238189,2021,78.13972602739726,24978,CHORZELOW,PL,+50:21:00,+021:27:00,161, HU2,1974-02-21,2022-08-31,26,Miroslaw Mietus
