SOUID,DATE,SS,STAID,SOUNAME,CN,LAT,LON,HGHT,ELEI,BEGIN,END,PARID,PARNAME
239968,2017,40.19178082191781,25126,KASPROWY WIERCH,PL,+49:13:57,+019:58:55,1348, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
239968,2018,42.52602739726027,25126,KASPROWY WIERCH,PL,+49:13:57,+019:58:55,1348, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
239968,2019,42.48219178082192,25126,KASPROWY WIERCH,PL,+49:13:57,+019:58:55,1348, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
239968,2020,47.37978142076503,25126,KASPROWY WIERCH,PL,+49:13:57,+019:58:55,1348, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
239968,2021,43.44931506849315,25126,KASPROWY WIERCH,PL,+49:13:57,+019:58:55,1348, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
239992,2017,53.13223140495868,25128,JELENIA GORA,PL,+50:54:01,+015:47:20,427, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
239992,2018,63.6958904109589,25128,JELENIA GORA,PL,+50:54:01,+015:47:20,427, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
239992,2019,61.63013698630137,25128,JELENIA GORA,PL,+50:54:01,+015:47:20,427, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
239992,2020,60.18306010928962,25128,JELENIA GORA,PL,+50:54:01,+015:47:20,427, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
239992,2021,53.59452054794521,25128,JELENIA GORA,PL,+50:54:01,+015:47:20,427, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240004,2017,39.893150684931506,25129,SNIEZKA,PL,+50:44:10,+015:44:22,958, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240004,2018,48.320547945205476,25129,SNIEZKA,PL,+50:44:10,+015:44:22,958, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240004,2019,45.912328767123284,25129,SNIEZKA,PL,+50:44:10,+015:44:22,958, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240004,2020,47.87978142076503,25129,SNIEZKA,PL,+50:44:10,+015:44:22,958, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240004,2021,39.945205479452056,25129,SNIEZKA,PL,+50:44:10,+015:44:22,958, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240016,2017,49.686980609418285,25130,OPOLE,PL,+50:37:37,+017:58:08,163, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240016,2018,59.66575342465753,25130,OPOLE,PL,+50:37:37,+017:58:08,163, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240016,2019,58.25824175824176,25130,OPOLE,PL,+50:37:37,+017:58:08,163, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240016,2020,57.505464480874316,25130,OPOLE,PL,+50:37:37,+017:58:08,163, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240016,2021,54.64931506849315,25130,OPOLE,PL,+50:37:37,+017:58:08,163, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240028,2017,47.76519337016575,25131,CZOSTOCHOWA,PL,+50:48:45,+019:05:33,266, SS3,1972-06-01,2022-09-30,26,Miroslaw Mietus
240028,2018,54.762569832402235,25131,CZOSTOCHOWA,PL,+50:48:45,+019:05:33,266, SS3,1972-06-01,2022-09-30,26,Miroslaw Mietus
240028,2019,53.82093663911846,25131,CZOSTOCHOWA,PL,+50:48:45,+019:05:33,266, SS3,1972-06-01,2022-09-30,26,Miroslaw Mietus
240028,2020,53.865753424657534,25131,CZOSTOCHOWA,PL,+50:48:45,+019:05:33,266, SS3,1972-06-01,2022-09-30,26,Miroslaw Mietus
240028,2021,50.86760563380282,25131,CZOSTOCHOWA,PL,+50:48:45,+019:05:33,266, SS3,1972-06-01,2022-09-30,26,Miroslaw Mietus
240040,2017,46.93150684931507,25132,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240040,2018,53.73076923076923,25132,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
240040,2019,54.01939058171745,25132,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281, SS3,1966-01-01,2022-09-30,26,Miroslaw Mietus
