SOUID,DATE,SD,STAID,SOUNAME,CN,LAT,LON,HGHT,ELEI,BEGIN,END,PARID,PARNAME
122387,2017,0.6166666666666667,4108,FRANKFURT/ODER,DE,+52:21:55,+014:32:16,48, SD3,1969-01-01,2022-10-31,11,National Climate Data Center (DWD)
122387,2017,0.6166666666666667,779,FRANKFURT/ODER,DE,+52:21:55,+014:32:16,48, SD3,1969-01-01,2022-10-31,11,National Climate Data Center (DWD)
236772,2017,1.2986301369863014,24860,PSZCZYNA,PL,+50:00:00,+018:55:00,261, SD2,1956-01-01,2022-08-31,26,Miroslaw Mietus
236772,2018,0.7912087912087912,24860,PSZCZYNA,PL,+50:00:00,+018:55:00,261, SD2,1956-01-01,2022-08-31,26,Miroslaw Mietus
236772,2019,1.1972602739726028,24860,PSZCZYNA,PL,+50:00:00,+018:55:00,261, SD2,1956-01-01,2022-08-31,26,Miroslaw Mietus
236772,2020,0.06830601092896176,24860,PSZCZYNA,PL,+50:00:00,+018:55:00,261, SD2,1956-01-01,2022-08-31,26,Miroslaw Mietus
236772,2021,1.2356164383561643,24860,PSZCZYNA,PL,+50:00:00,+018:55:00,261, SD2,1956-01-01,2022-08-31,26,Miroslaw Mietus
236964,2017,4.936986301369863,24876,JABLONKA,PL,+49:28:00,+019:42:00,671, SD2,1961-01-01,2022-08-31,26,Miroslaw Mietus
236964,2018,1.8054794520547945,24876,JABLONKA,PL,+49:28:00,+019:42:00,671, SD2,1961-01-01,2022-08-31,26,Miroslaw Mietus
236964,2019,5.8712328767123285,24876,JABLONKA,PL,+49:28:00,+019:42:00,671, SD2,1961-01-01,2022-08-31,26,Miroslaw Mietus
236964,2020,0.9207650273224044,24876,JABLONKA,PL,+49:28:00,+019:42:00,671, SD2,1961-01-01,2022-08-31,26,Miroslaw Mietus
236964,2021,2.8328767123287673,24876,JABLONKA,PL,+49:28:00,+019:42:00,671, SD2,1961-01-01,2022-08-31,26,Miroslaw Mietus
237072,2017,0.5452054794520548,24885,LAZY,PL,+49:58:00,+020:30:00,251, SD2,1989-01-01,2022-08-31,26,Miroslaw Mietus
237072,2017,0.5452054794520548,24911,LAZY,PL,+49:58:00,+020:30:00,251, SD2,1989-01-01,2022-08-31,26,Miroslaw Mietus
237072,2018,0.6876712328767123,24885,LAZY,PL,+49:58:00,+020:30:00,251, SD2,1989-01-01,2022-08-31,26,Miroslaw Mietus
237072,2018,0.6876712328767123,24911,LAZY,PL,+49:58:00,+020:30:00,251, SD2,1989-01-01,2022-08-31,26,Miroslaw Mietus
237072,2019,0.32602739726027397,24885,LAZY,PL,+49:58:00,+020:30:00,251, SD2,1989-01-01,2022-08-31,26,Miroslaw Mietus
237072,2019,0.32602739726027397,24911,LAZY,PL,+49:58:00,+020:30:00,251, SD2,1989-01-01,2022-08-31,26,Miroslaw Mietus
237072,2020,0.06284153005464481,24885,LAZY,PL,+49:58:00,+020:30:00,251, SD2,1989-01-01,2022-08-31,26,Miroslaw Mietus
237072,2020,0.06284153005464481,24911,LAZY,PL,+49:58:00,+020:30:00,251, SD2,1989-01-01,2022-08-31,26,Miroslaw Mietus
237120,2017,1.9671232876712328,24889,LIMANOWA,PL,+49:41:00,+020:26:00,587, SD2,1952-01-01,2022-08-31,26,Miroslaw Mietus
