SOUID,DATE,CC,STAID,SOUNAME,CN,LAT,LON,HGHT,ELEI,BEGIN,END,PARID,PARNAME
236775,2017,4.876712328767123,24860,PSZCZYNA,PL,+50:00:00,+018:55:00,261, CC3,1956-01-01,2022-08-31,26,Miroslaw Mietus
236775,2018,4.564383561643836,24860,PSZCZYNA,PL,+50:00:00,+018:55:00,261, CC3,1956-01-01,2022-08-31,26,Miroslaw Mietus
236775,2019,4.526027397260274,24860,PSZCZYNA,PL,+50:00:00,+018:55:00,261, CC3,1956-01-01,2022-08-31,26,Miroslaw Mietus
236775,2020,4.459016393442623,24860,PSZCZYNA,PL,+50:00:00,+018:55:00,261, CC3,1956-01-01,2022-08-31,26,Miroslaw Mietus
236775,2021,4.668493150684932,24860,PSZCZYNA,PL,+50:00:00,+018:55:00,261, CC3,1956-01-01,2022-08-31,26,Miroslaw Mietus
236967,2017,5.120547945205479,24876,JABLONKA,PL,+49:28:00,+019:42:00,671, CC3,1961-01-01,2022-08-31,26,Miroslaw Mietus
236967,2018,5.123287671232877,24876,JABLONKA,PL,+49:28:00,+019:42:00,671, CC3,1961-01-01,2022-08-31,26,Miroslaw Mietus
236967,2019,4.942465753424657,24876,JABLONKA,PL,+49:28:00,+019:42:00,671, CC3,1961-01-01,2022-08-31,26,Miroslaw Mietus
236967,2020,4.73224043715847,24876,JABLONKA,PL,+49:28:00,+019:42:00,671, CC3,1961-01-01,2022-08-31,26,Miroslaw Mietus
236967,2021,5.002739726027397,24876,JABLONKA,PL,+49:28:00,+019:42:00,671, CC3,1961-01-01,2022-08-31,26,Miroslaw Mietus
237075,2017,5.553424657534246,24885,LAZY,PL,+49:58:00,+020:30:00,251, CC3,1989-01-01,2022-08-31,26,Miroslaw Mietus
237075,2017,5.553424657534246,24911,LAZY,PL,+49:58:00,+020:30:00,251, CC3,1989-01-01,2022-08-31,26,Miroslaw Mietus
237075,2018,5.298630136986302,24885,LAZY,PL,+49:58:00,+020:30:00,251, CC3,1989-01-01,2022-08-31,26,Miroslaw Mietus
237075,2018,5.298630136986302,24911,LAZY,PL,+49:58:00,+020:30:00,251, CC3,1989-01-01,2022-08-31,26,Miroslaw Mietus
237075,2019,5.208219178082191,24885,LAZY,PL,+49:58:00,+020:30:00,251, CC3,1989-01-01,2022-08-31,26,Miroslaw Mietus
237075,2019,5.208219178082191,24911,LAZY,PL,+49:58:00,+020:30:00,251, CC3,1989-01-01,2022-08-31,26,Miroslaw Mietus
237075,2020,5.0109289617486334,24885,LAZY,PL,+49:58:00,+020:30:00,251, CC3,1989-01-01,2022-08-31,26,Miroslaw Mietus
237075,2020,5.0109289617486334,24911,LAZY,PL,+49:58:00,+020:30:00,251, CC3,1989-01-01,2022-08-31,26,Miroslaw Mietus
237123,2017,5.287671232876712,24889,LIMANOWA,PL,+49:41:00,+020:26:00,587, CC3,1952-01-01,2022-08-31,26,Miroslaw Mietus
237123,2018,5.112328767123287,24889,LIMANOWA,PL,+49:41:00,+020:26:00,587, CC3,1952-01-01,2022-08-31,26,Miroslaw Mietus
237123,2019,4.96986301369863,24889,LIMANOWA,PL,+49:41:00,+020:26:00,587, CC3,1952-01-01,2022-08-31,26,Miroslaw Mietus
237123,2020,4.8497267759562845,24889,LIMANOWA,PL,+49:41:00,+020:26:00,587, CC3,1952-01-01,2022-08-31,26,Miroslaw Mietus
237123,2021,5.213698630136986,24889,LIMANOWA,PL,+49:41:00,+020:26:00,587, CC3,1952-01-01,2022-08-31,26,Miroslaw Mietus
237147,2017,4.764383561643836,24891,LACKO,PL,+49:33:34,+020:26:22,516, CC3,1956-01-01,2022-08-31,26,Miroslaw Mietus
237147,2018,4.627397260273972,24891,LACKO,PL,+49:33:34,+020:26:22,516, CC3,1956-01-01,2022-08-31,26,Miroslaw Mietus
237147,2019,4.265753424657534,24891,LACKO,PL,+49:33:34,+020:26:22,516, CC3,1956-01-01,2022-08-31,26,Miroslaw Mietus
237147,2020,4.0710382513661205,24891,LACKO,PL,+49:33:34,+020:26:22,516, CC3,1956-01-01,2022-08-31,26,Miroslaw Mietus
237147,2021,4.304109589041096,24891,LACKO,PL,+49:33:34,+020:26:22,516, CC3,1956-01-01,2022-08-31,26,Miroslaw Mietus
237207,2017,4.909589041095891,24896,KRYNICA,PL,+49:25:00,+020:58:00,702, CC3,1961-01-01,2022-08-31,26,Miroslaw Mietus
237207,2017,4.909589041095891,24907,KRYNICA,PL,+49:25:00,+020:58:00,702, CC3,1961-01-01,2022-08-31,26,Miroslaw Mietus
237207,2018,4.904109589041096,24896,KRYNICA,PL,+49:25:00,+020:58:00,702, CC3,1961-01-01,2022-08-31,26,Miroslaw Mietus
237207,2018,4.904109589041096,24907,KRYNICA,PL,+49:25:00,+020:58:00,702, CC3,1961-01-01,2022-08-31,26,Miroslaw Mietus
237207,2019,4.739726027397261,24896,KRYNICA,PL,+49:25:00,+020:58:00,702, CC3,1961-01-01,2022-08-31,26,Miroslaw Mietus
237207,2019,4.739726027397261,24907,KRYNICA,PL,+49:25:00,+020:58:00,702, CC3,1961-01-01,2022-08-31,26,Miroslaw Mietus
237207,2020,4.775956284153006,24896,KRYNICA,PL,+49:25:00,+020:58:00,702, CC3,1961-01-01,2022-08-31,26,Miroslaw Mietus
237207,2020,4.775956284153006,24907,KRYNICA,PL,+49:25:00,+020:58:00,702, CC3,1961-01-01,2022-08-31,26,Miroslaw Mietus
237207,2021,4.791780821917809,24896,KRYNICA,PL,+49:25:00,+020:58:00,702, CC3,1961-01-01,2022-08-31,26,Miroslaw Mietus
237207,2021,4.791780821917809,24907,KRYNICA,PL,+49:25:00,+020:58:00,702, CC3,1961-01-01,2022-08-31,26,Miroslaw Mietus
237279,2017,4.991780821917808,24894,PIWNICZNA,PL,+49:25:31,+020:43:23,684, CC3,2008-07-01,2022-08-31,26,Miroslaw Mietus
237279,2017,4.991780821917808,24902,PIWNICZNA,PL,+49:25:31,+020:43:23,684, CC3,2008-07-01,2022-08-31,26,Miroslaw Mietus
237279,2018,4.580821917808219,24894,PIWNICZNA,PL,+49:25:31,+020:43:23,684, CC3,2008-07-01,2022-08-31,26,Miroslaw Mietus
237279,2018,4.580821917808219,24902,PIWNICZNA,PL,+49:25:31,+020:43:23,684, CC3,2008-07-01,2022-08-31,26,Miroslaw Mietus
237279,2019,4.06027397260274,24894,PIWNICZNA,PL,+49:25:31,+020:43:23,684, CC3,2008-07-01,2022-08-31,26,Miroslaw Mietus
237279,2019,4.06027397260274,24902,PIWNICZNA,PL,+49:25:31,+020:43:23,684, CC3,2008-07-01,2022-08-31,26,Miroslaw Mietus
237279,2020,4.226775956284153,24894,PIWNICZNA,PL,+49:25:31,+020:43:23,684, CC3,2008-07-01,2022-08-31,26,Miroslaw Mietus
237279,2020,4.226775956284153,24902,PIWNICZNA,PL,+49:25:31,+020:43:23,684, CC3,2008-07-01,2022-08-31,26,Miroslaw Mietus
237279,2021,4.380821917808219,24894,PIWNICZNA,PL,+49:25:31,+020:43:23,684, CC3,2008-07-01,2022-08-31,26,Miroslaw Mietus
237279,2021,4.380821917808219,24902,PIWNICZNA,PL,+49:25:31,+020:43:23,684, CC3,2008-07-01,2022-08-31,26,Miroslaw Mietus
237291,2017,4.8295165394402035,24880,PORONIN,PL,+49:19:49,+020:02:06,848, CC3,2010-01-01,2022-08-31,26,Miroslaw Mietus
237291,2017,4.8295165394402035,24903,PORONIN,PL,+49:19:49,+020:02:06,848, CC3,2010-01-01,2022-08-31,26,Miroslaw Mietus
237291,2017,4.8295165394402035,1383,PORONIN,PL,+49:19:49,+020:02:06,848, CC3,2010-01-01,2022-08-31,26,Miroslaw Mietus
237291,2018,4.942558746736292,24880,PORONIN,PL,+49:19:49,+020:02:06,848, CC3,2010-01-01,2022-08-31,26,Miroslaw Mietus
237291,2018,4.942558746736292,24903,PORONIN,PL,+49:19:49,+020:02:06,848, CC3,2010-01-01,2022-08-31,26,Miroslaw Mietus
237291,2018,4.942558746736292,1383,PORONIN,PL,+49:19:49,+020:02:06,848, CC3,2010-01-01,2022-08-31,26,Miroslaw Mietus
237291,2019,4.551724137931035,24880,PORONIN,PL,+49:19:49,+020:02:06,848, CC3,2010-01-01,2022-08-31,26,Miroslaw Mietus
237291,2019,4.551724137931035,24903,PORONIN,PL,+49:19:49,+020:02:06,848, CC3,2010-01-01,2022-08-31,26,Miroslaw Mietus
237291,2019,4.551724137931035,1383,PORONIN,PL,+49:19:49,+020:02:06,848, CC3,2010-01-01,2022-08-31,26,Miroslaw Mietus
237291,2020,4.536649214659686,24880,PORONIN,PL,+49:19:49,+020:02:06,848, CC3,2010-01-01,2022-08-31,26,Miroslaw Mietus
237291,2020,4.536649214659686,24903,PORONIN,PL,+49:19:49,+020:02:06,848, CC3,2010-01-01,2022-08-31,26,Miroslaw Mietus
237291,2020,4.536649214659686,1383,PORONIN,PL,+49:19:49,+020:02:06,848, CC3,2010-01-01,2022-08-31,26,Miroslaw Mietus
237291,2021,4.765333333333333,24880,PORONIN,PL,+49:19:49,+020:02:06,848, CC3,2010-01-01,2022-08-31,26,Miroslaw Mietus
237291,2021,4.765333333333333,24903,PORONIN,PL,+49:19:49,+020:02:06,848, CC3,2010-01-01,2022-08-31,26,Miroslaw Mietus
237291,2021,4.765333333333333,1383,PORONIN,PL,+49:19:49,+020:02:06,848, CC3,2010-01-01,2022-08-31,26,Miroslaw Mietus
237303,2017,5.553424657534246,24904,MSZANA DOLNA,PL,+49:39:49,+020:03:16,537, CC3,2013-01-01,2022-08-31,26,Miroslaw Mietus
237303,2017,5.553424657534246,24908,MSZANA DOLNA,PL,+49:39:49,+020:03:16,537, CC3,2013-01-01,2022-08-31,26,Miroslaw Mietus
237303,2018,5.178082191780822,24904,MSZANA DOLNA,PL,+49:39:49,+020:03:16,537, CC3,2013-01-01,2022-08-31,26,Miroslaw Mietus
