SOUID,DATE,QQ,STAID,SOUNAME,CN,LAT,LON,HGHT,ELEI,BEGIN,END,PARID,PARNAME
190975,2017,115.45833333333333,2021,KOLOBRZEG,PL,+54:10:48,+015:34:48,3, QQ5,1964-01-04,2017-12-31,72,Anatoly V. Tsvetkov
190978,2017,117.68553459119497,209,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, QQ5,1964-01-01,2019-12-29,72,Anatoly V. Tsvetkov
190978,2018,112.5909090909091,209,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, QQ5,1964-01-01,2019-12-29,72,Anatoly V. Tsvetkov
190978,2019,125.74924471299094,209,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, QQ5,1964-01-01,2019-12-29,72,Anatoly V. Tsvetkov
190981,2017,114.04571428571428,1383,ZAKOPANE,PL,+49:18:00,+019:57:00,857, QQ5,1964-01-01,2019-12-31,72,Anatoly V. Tsvetkov
190981,2018,117.35774647887324,1383,ZAKOPANE,PL,+49:18:00,+019:57:00,857, QQ5,1964-01-01,2019-12-31,72,Anatoly V. Tsvetkov
190981,2019,116.85797101449275,1383,ZAKOPANE,PL,+49:18:00,+019:57:00,857, QQ5,1964-01-01,2019-12-31,72,Anatoly V. Tsvetkov
219105,2019,121.5210355987055,2022,KOSZALIN,PL,+54:12:16,+016:09:19,33, QQ5,2019-01-03,2019-12-31,72,Anatoly V. Tsvetkov
239969,2017,112.20547945205479,25126,KASPROWY WIERCH,PL,+49:13:57,+019:58:55,1348, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
239969,2018,116.96986301369863,25126,KASPROWY WIERCH,PL,+49:13:57,+019:58:55,1348, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
239969,2019,116.66575342465754,25126,KASPROWY WIERCH,PL,+49:13:57,+019:58:55,1348, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
239969,2020,120.3360655737705,25126,KASPROWY WIERCH,PL,+49:13:57,+019:58:55,1348, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
239969,2021,65.21739130434783,25126,KASPROWY WIERCH,PL,+49:13:57,+019:58:55,1348, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
239993,2017,134.44077134986225,25128,JELENIA GORA,PL,+50:54:01,+015:47:20,427, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
239993,2018,147.93698630136987,25128,JELENIA GORA,PL,+50:54:01,+015:47:20,427, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
239993,2019,145.04931506849314,25128,JELENIA GORA,PL,+50:54:01,+015:47:20,427, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
239993,2020,142.06830601092895,25128,JELENIA GORA,PL,+50:54:01,+015:47:20,427, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
239993,2021,56.53260869565217,25128,JELENIA GORA,PL,+50:54:01,+015:47:20,427, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240005,2017,116.08219178082192,25129,SNIEZKA,PL,+50:44:10,+015:44:22,958, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240005,2018,128.4986301369863,25129,SNIEZKA,PL,+50:44:10,+015:44:22,958, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240005,2019,124.63287671232877,25129,SNIEZKA,PL,+50:44:10,+015:44:22,958, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240005,2020,124.85245901639344,25129,SNIEZKA,PL,+50:44:10,+015:44:22,958, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240005,2021,50.79347826086956,25129,SNIEZKA,PL,+50:44:10,+015:44:22,958, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240017,2017,129.54293628808864,25130,OPOLE,PL,+50:37:37,+017:58:08,163, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240017,2018,143.8876712328767,25130,OPOLE,PL,+50:37:37,+017:58:08,163, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240017,2019,141.0,25130,OPOLE,PL,+50:37:37,+017:58:08,163, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240017,2020,138.9016393442623,25130,OPOLE,PL,+50:37:37,+017:58:08,163, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
240017,2021,56.57608695652174,25130,OPOLE,PL,+50:37:37,+017:58:08,163, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
