SOUID,DATE,TG,STAID,SOUNAME,CN,LAT,LON,HGHT,ELEI,BEGIN,END,PARID,PARNAME
100637,2017,79.45753424657535,204,BIALYSTOK,PL,+53:06:26,+023:09:44,148, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100637,2018,87.55342465753425,204,BIALYSTOK,PL,+53:06:26,+023:09:44,148, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100637,2019,92.5095890410959,204,BIALYSTOK,PL,+53:06:26,+023:09:44,148, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100637,2020,92.20491803278688,204,BIALYSTOK,PL,+53:06:26,+023:09:44,148, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100637,2021,75.74246575342465,204,BIALYSTOK,PL,+53:06:26,+023:09:44,148, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100641,2017,90.47945205479452,205,HEL,PL,+54:36:13,+018:48:43,1, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100641,2018,98.06575342465753,205,HEL,PL,+54:36:13,+018:48:43,1, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100641,2019,100.88767123287671,205,HEL,PL,+54:36:13,+018:48:43,1, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100641,2020,103.20765027322405,205,HEL,PL,+54:36:13,+018:48:43,1, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100641,2021,92.9972602739726,205,HEL,PL,+54:36:13,+018:48:43,1, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100645,2017,97.1775956284153,206,POZNAN,PL,+52:11:59,+018:39:37,115, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100645,2017,97.1775956284153,25140,POZNAN,PL,+52:11:59,+018:39:37,115, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100645,2018,108.84840425531915,206,POZNAN,PL,+52:11:59,+018:39:37,115, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100645,2018,108.84840425531915,25140,POZNAN,PL,+52:11:59,+018:39:37,115, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100645,2019,111.20821917808219,206,POZNAN,PL,+52:11:59,+018:39:37,115, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100645,2019,111.20821917808219,25140,POZNAN,PL,+52:11:59,+018:39:37,115, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100645,2020,108.38005390835579,206,POZNAN,PL,+52:11:59,+018:39:37,115, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100645,2020,108.38005390835579,25140,POZNAN,PL,+52:11:59,+018:39:37,115, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100645,2021,95.32876712328768,206,POZNAN,PL,+52:11:59,+018:39:37,115, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100645,2021,95.32876712328768,25140,POZNAN,PL,+52:11:59,+018:39:37,115, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100649,2017,93.27945205479452,207,RZESZOW JASIONKA,PL,+50:06:39,+022:02:32,206, TG7,1952-01-01,2022-09-30,26,Miroslaw Mietus
100649,2018,99.55068493150685,207,RZESZOW JASIONKA,PL,+50:06:39,+022:02:32,206, TG7,1952-01-01,2022-09-30,26,Miroslaw Mietus
100649,2019,105.12602739726027,207,RZESZOW JASIONKA,PL,+50:06:39,+022:02:32,206, TG7,1952-01-01,2022-09-30,26,Miroslaw Mietus
100649,2020,101.0464480874317,207,RZESZOW JASIONKA,PL,+50:06:39,+022:02:32,206, TG7,1952-01-01,2022-09-30,26,Miroslaw Mietus
100649,2021,88.2986301369863,207,RZESZOW JASIONKA,PL,+50:06:39,+022:02:32,206, TG7,1952-01-01,2022-09-30,26,Miroslaw Mietus
100653,2017,97.37808219178082,208,SZCZECIN,PL,+53:23:43,+014:37:22,1, TG7,1920-12-01,2022-09-30,26,Miroslaw Mietus
100653,2018,103.31232876712329,208,SZCZECIN,PL,+53:23:43,+014:37:22,1, TG7,1920-12-01,2022-09-30,26,Miroslaw Mietus
100653,2019,108.75068493150685,208,SZCZECIN,PL,+53:23:43,+014:37:22,1, TG7,1920-12-01,2022-09-30,26,Miroslaw Mietus
100653,2020,107.37158469945355,208,SZCZECIN,PL,+53:23:43,+014:37:22,1, TG7,1920-12-01,2022-09-30,26,Miroslaw Mietus
100653,2021,96.21917808219177,208,SZCZECIN,PL,+53:23:43,+014:37:22,1, TG7,1920-12-01,2022-09-30,26,Miroslaw Mietus
100657,2017,94.48219178082192,209,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2017,94.48219178082192,25054,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2017,94.48219178082192,25055,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2017,94.48219178082192,25060,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2017,94.48219178082192,25152,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2018,105.12602739726027,209,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2018,105.12602739726027,25054,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2018,105.12602739726027,25055,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2018,105.12602739726027,25060,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2018,105.12602739726027,25152,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2019,109.27397260273973,209,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2019,109.27397260273973,25054,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2019,109.27397260273973,25055,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2019,109.27397260273973,25060,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2019,109.27397260273973,25152,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2020,105.23224043715847,209,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2020,105.23224043715847,25054,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2020,105.23224043715847,25055,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2020,105.23224043715847,25060,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2020,105.23224043715847,25152,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
100657,2021,89.8082191780822,209,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, TG7,1951-01-01,2022-09-30,26,Miroslaw Mietus
