SOUID,DATE,FG,STAID,SOUNAME,CN,LAT,LON,HGHT,ELEI,BEGIN,END,PARID,PARNAME
222810,2017,33.484375,23808,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2017,33.484375,25053,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2017,33.484375,25054,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2017,33.484375,25055,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2017,33.484375,9040,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2017,33.484375,209,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2018,31.362137578169413,23808,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2018,31.362137578169413,25053,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2018,31.362137578169413,25054,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2018,31.362137578169413,25055,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2018,31.362137578169413,9040,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2018,31.362137578169413,209,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2019,32.27452054794521,23808,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2019,32.27452054794521,25053,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2019,32.27452054794521,25054,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2019,32.27452054794521,25055,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2019,32.27452054794521,9040,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2019,32.27452054794521,209,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2020,30.9449081803005,23808,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2020,30.9449081803005,25053,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2020,30.9449081803005,25054,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2020,30.9449081803005,25055,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2020,30.9449081803005,9040,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2020,30.9449081803005,209,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2021,29.18798955613577,23808,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2021,29.18798955613577,25053,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2021,29.18798955613577,25054,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2021,29.18798955613577,25055,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2021,29.18798955613577,9040,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222810,2021,29.18798955613577,209,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
222831,2017,36.90710382513661,23829,LUBLINEK,PL,+51:43:01,+019:24:00,184,FG17,2004-08-10,2021-11-23,83,GSOD
222831,2017,36.90710382513661,2033,LUBLINEK,PL,+51:43:01,+019:24:00,184,FG17,2004-08-10,2021-11-23,83,GSOD
222831,2018,33.51459854014598,23829,LUBLINEK,PL,+51:43:01,+019:24:00,184,FG17,2004-08-10,2021-11-23,83,GSOD
222831,2018,33.51459854014598,2033,LUBLINEK,PL,+51:43:01,+019:24:00,184,FG17,2004-08-10,2021-11-23,83,GSOD
222831,2019,34.5391621129326,23829,LUBLINEK,PL,+51:43:01,+019:24:00,184,FG17,2004-08-10,2021-11-23,83,GSOD
222831,2019,34.5391621129326,2033,LUBLINEK,PL,+51:43:01,+019:24:00,184,FG17,2004-08-10,2021-11-23,83,GSOD
222831,2020,32.74,23829,LUBLINEK,PL,+51:43:01,+019:24:00,184,FG17,2004-08-10,2021-11-23,83,GSOD
