EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SS   : sunshine in 0.1 Hours
23-27 Q_SS : Quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, TERESPOL (STAID: 922).
Blended and updated with sources: 240781 912399 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SS, Q_SS
240781,19790101,    0,    0
240781,19790102,   24,    0
240781,19790103,   32,    0
240781,19790104,    0,    0
240781,19790105,    0,    0
240781,19790106,    0,    0
240781,19790107,   24,    0
240781,19790108,    0,    0
240781,19790109,    0,    0
240781,19790110,    0,    0
240781,19790111,    0,    0
240781,19790112,    0,    0
240781,19790113,   34,    0
240781,19790114,    0,    0
240781,19790115,    0,    0
240781,19790116,    0,    0
240781,19790117,    1,    0
240781,19790118,    2,    0
240781,19790119,    0,    0
240781,19790120,    0,    0
240781,19790121,   49,    0
240781,19790122,    0,    0
240781,19790123,   13,    0
240781,19790124,    0,    0
240781,19790125,    0,    0
240781,19790126,    0,    0
240781,19790127,   10,    0
240781,19790128,    0,    0
240781,19790129,    0,    0
240781,19790130,    0,    0
240781,19790131,    3,    0
240781,19790201,    0,    0
240781,19790202,    0,    0
240781,19790203,    0,    0
240781,19790204,   35,    0
240781,19790205,   29,    0
240781,19790206,   39,    0
240781,19790207,   14,    0
240781,19790208,   32,    0
240781,19790209,   44,    0
240781,19790210,   61,    0
240781,19790211,   80,    0
240781,19790212,    0,    0
240781,19790213,    0,    0
240781,19790214,    0,    0
240781,19790215,    0,    0
240781,19790216,   79,    0
240781,19790217,    0,    0
240781,19790218,    0,    0
240781,19790219,   26,    0
240781,19790220,   26,    0
240781,19790221,   92,    0
240781,19790222,   93,    0
240781,19790223,   91,    0
240781,19790224,   79,    0
240781,19790225,   26,    0
240781,19790226,   19,    0
240781,19790227,   78,    0
240781,19790228,   81,    0
240781,19790301,   48,    0
240781,19790302,    0,    0
240781,19790303,    4,    0
240781,19790304,   21,    0
240781,19790305,   27,    0
240781,19790306,    0,    0
240781,19790307,    0,    0
240781,19790308,    0,    0
240781,19790309,    0,    0
240781,19790310,    0,    0
240781,19790311,   13,    0
240781,19790312,   38,    0
240781,19790313,    0,    0
240781,19790314,    3,    0
240781,19790315,   79,    0
240781,19790316,    0,    0
240781,19790317,    0,    0
240781,19790318,    0,    0
240781,19790319,   28,    0
240781,19790320,   26,    0
240781,19790321,   34,    0
240781,19790322,   64,    0
240781,19790323,   12,    0
240781,19790324,   60,    0
240781,19790325,   91,    0
240781,19790326,   41,    0
240781,19790327,    0,    0
240781,19790328,    0,    0
240781,19790329,    0,    0
240781,19790330,   88,    0
240781,19790331,    2,    0
240781,19790401,    3,    0
240781,19790402,    8,    0
240781,19790403,   52,    0
240781,19790404,   45,    0
240781,19790405,    0,    0
240781,19790406,    1,    0
240781,19790407,    0,    0
240781,19790408,    0,    0
240781,19790409,   88,    0
240781,19790410,  121,    0
240781,19790411,   54,    0
240781,19790412,  102,    0
240781,19790413,  112,    0
240781,19790414,  104,    0
240781,19790415,   85,    0
240781,19790416,  113,    0
240781,19790417,  121,    0
240781,19790418,   49,    0
240781,19790419,   72,    0
240781,19790420,   14,    0
240781,19790421,   29,    0
240781,19790422,   63,    0
240781,19790423,   57,    0
240781,19790424,   58,    0
240781,19790425,   47,    0
240781,19790426,    3,    0
240781,19790427,    0,    0
240781,19790428,    0,    0
240781,19790429,    0,    0
240781,19790430,   86,    0
240781,19790501,   40,    0
240781,19790502,   70,    0
240781,19790503,    0,    0
240781,19790504,   28,    0
240781,19790505,   74,    0
240781,19790506,    5,    0
240781,19790507,   99,    0
240781,19790508,   98,    0
240781,19790509,    0,    0
240781,19790510,    5,    0
240781,19790511,  143,    0
240781,19790512,  144,    0
240781,19790513,  142,    0
240781,19790514,  124,    0
240781,19790515,  133,    0
240781,19790516,  138,    0
240781,19790517,  140,    0
240781,19790518,  139,    0
240781,19790519,  131,    0
240781,19790520,  131,    0
240781,19790521,  103,    0
240781,19790522,  135,    0
240781,19790523,  128,    0
240781,19790524,  142,    0
240781,19790525,  130,    0
240781,19790526,   48,    0
240781,19790527,  101,    0
240781,19790528,  101,    0
240781,19790529,   73,    0
240781,19790530,   94,    0
240781,19790531,  129,    0
240781,19790601,  125,    0
240781,19790602,  136,    0
240781,19790603,  126,    0
240781,19790604,  151,    0
240781,19790605,  147,    0
240781,19790606,  142,    0
240781,19790607,  140,    0
240781,19790608,  106,    0
240781,19790609,  137,    0
240781,19790610,  112,    0
240781,19790611,  146,    0
240781,19790612,  127,    0
240781,19790613,   73,    0
240781,19790614,  102,    0
240781,19790615,   70,    0
240781,19790616,   51,    0
240781,19790617,   53,    0
240781,19790618,   24,    0
240781,19790619,  109,    0
240781,19790620,  128,    0
240781,19790621,   89,    0
240781,19790622,   81,    0
240781,19790623,  114,    0
240781,19790624,  134,    0
240781,19790625,  129,    0
240781,19790626,   87,    0
240781,19790627,  112,    0
240781,19790628,   58,    0
240781,19790629,   31,    0
240781,19790630,   59,    0
240781,19790701,  100,    0
240781,19790702,   84,    0
240781,19790703,  105,    0
240781,19790704,   69,    0
240781,19790705,  108,    0
240781,19790706,   74,    0
240781,19790707,   43,    0
240781,19790708,    9,    0
240781,19790709,   18,    0
240781,19790710,    7,    0
240781,19790711,   22,    0
240781,19790712,   37,    0
240781,19790713,  141,    0
240781,19790714,  146,    0
240781,19790715,  121,    0
240781,19790716,   40,    0
240781,19790717,   87,    0
240781,19790718,   60,    0
240781,19790719,   18,    0
240781,19790720,   68,    0
240781,19790721,   84,    0
240781,19790722,   43,    0
