EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SS   : sunshine in 0.1 Hours
23-27 Q_SS : Quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, WROCLAW (STAID: 210).
Blended and updated with sources: 240770 912424 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SS, Q_SS
240770,19790101,    4,    0
240770,19790102,   11,    0
240770,19790103,   13,    0
240770,19790104,    2,    0
240770,19790105,   14,    0
240770,19790106,   44,    0
240770,19790107,   51,    0
240770,19790108,    0,    0
240770,19790109,    3,    0
240770,19790110,   30,    0
240770,19790111,    5,    0
240770,19790112,   31,    0
240770,19790113,    0,    0
240770,19790114,    9,    0
240770,19790115,    0,    0
240770,19790116,    0,    0
240770,19790117,    0,    0
240770,19790118,    0,    0
240770,19790119,    0,    0
240770,19790120,    0,    0
240770,19790121,    0,    0
240770,19790122,    0,    0
240770,19790123,    0,    0
240770,19790124,    0,    0
240770,19790125,   70,    0
240770,19790126,   51,    0
240770,19790127,    1,    0
240770,19790128,    0,    0
240770,19790129,    0,    0
240770,19790130,    2,    0
240770,19790131,    9,    0
240770,19790201,   21,    0
240770,19790202,    0,    0
240770,19790203,   62,    0
240770,19790204,   36,    0
240770,19790205,    2,    0
240770,19790206,    5,    0
240770,19790207,   49,    0
240770,19790208,    7,    0
240770,19790209,   76,    0
240770,19790210,   17,    0
240770,19790211,   15,    0
240770,19790212,    0,    0
240770,19790213,    0,    0
240770,19790214,    0,    0
240770,19790215,    0,    0
240770,19790216,    0,    0
240770,19790217,    0,    0
240770,19790218,    0,    0
240770,19790219,    7,    0
240770,19790220,   62,    0
240770,19790221,    8,    0
240770,19790222,   75,    0
240770,19790223,   47,    0
240770,19790224,    0,    0
240770,19790225,    1,    0
240770,19790226,   81,    0
240770,19790227,   92,    0
240770,19790228,   67,    0
240770,19790301,   42,    0
240770,19790302,   84,    0
240770,19790303,   30,    0
240770,19790304,   29,    0
240770,19790305,    2,    0
240770,19790306,    0,    0
240770,19790307,   47,    0
240770,19790308,   38,    0
240770,19790309,   82,    0
240770,19790310,   18,    0
240770,19790311,   71,    0
240770,19790312,    4,    0
240770,19790313,    3,    0
240770,19790314,    0,    0
240770,19790315,    0,    0
240770,19790316,    0,    0
240770,19790317,    0,    0
240770,19790318,   81,    0
240770,19790319,    0,    0
240770,19790320,   20,    0
240770,19790321,   54,    0
240770,19790322,   58,    0
240770,19790323,   44,    0
240770,19790324,   71,    0
240770,19790325,   88,    0
240770,19790326,   18,    0
240770,19790327,   48,    0
240770,19790328,   67,    0
240770,19790329,   44,    0
240770,19790330,    0,    0
240770,19790331,    0,    0
240770,19790401,    9,    0
240770,19790402,   34,    0
240770,19790403,  107,    0
240770,19790404,   32,    0
240770,19790405,   22,    0
240770,19790406,    0,    0
240770,19790407,    0,    0
240770,19790408,    0,    0
240770,19790409,    0,    0
240770,19790410,  111,    0
240770,19790411,  106,    0
240770,19790412,  119,    0
240770,19790413,   94,    0
