EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SD   : snow depth in 1 cm
23-27 Q_SD : Quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, BOCHNIA (STAID: 24911).
Blended and updated with sources: 237072 237384 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SD, Q_SD
237384,19790101,    2,    0
237384,19790102,    4,    0
237384,19790103,    4,    0
237384,19790104,    4,    0
237384,19790105,    7,    0
237384,19790106,    7,    0
237384,19790107,    7,    0
237384,19790108,    7,    0
237384,19790109,    7,    0
237384,19790110,   10,    0
237384,19790111,   12,    0
237384,19790112,   11,    0
237384,19790113,   11,    0
237384,19790114,   11,    0
237384,19790115,   22,    0
237384,19790116,   30,    0
237384,19790117,   30,    0
237384,19790118,   30,    0
237384,19790119,   30,    0
237384,19790120,   30,    0
237384,19790121,   29,    0
237384,19790122,   32,    0
237384,19790123,   32,    0
237384,19790124,   30,    0
237384,19790125,   21,    0
237384,19790126,   18,    0
237384,19790127,   18,    0
237384,19790128,   17,    0
237384,19790129,   13,    0
237384,19790130,   30,    0
237384,19790131,   33,    0
237384,19790201,   33,    0
237384,19790202,   32,    0
237384,19790203,   22,    0
237384,19790204,   20,    0
237384,19790205,   20,    0
237384,19790206,   23,    0
237384,19790207,   23,    0
237384,19790208,   22,    0
237384,19790209,   20,    0
237384,19790210,   20,    0
237384,19790211,   20,    0
237384,19790212,   20,    0
237384,19790213,   23,    0
237384,19790214,   20,    0
237384,19790215,   20,    0
237384,19790216,   22,    0
237384,19790217,   22,    0
237384,19790218,   22,    0
237384,19790219,   22,    0
237384,19790220,   20,    0
237384,19790221,   20,    0
237384,19790222,   20,    0
237384,19790223,   20,    0
237384,19790224,   20,    0
237384,19790225,   20,    0
237384,19790226,   21,    0
237384,19790227,   20,    0
237384,19790228,   19,    0
237384,19790301,   18,    0
237384,19790302,   17,    0
237384,19790303,   16,    0
237384,19790304,   14,    0
237384,19790305,    8,    0
237384,19790306,    6,    0
237384,19790307,    4,    0
237384,19790308,    0,    0
237384,19790309,    1,    0
237384,19790310,    0,    0
237384,19790311,    0,    0
237384,19790312,    0,    0
237384,19790313,    0,    0
237384,19790314,    0,    0
237384,19790315,    0,    0
237384,19790316,    0,    0
237384,19790317,    0,    0
237384,19790318,    0,    0
237384,19790319,    0,    0
237384,19790320,    0,    0
237384,19790321,    0,    0
237384,19790322,    0,    0
237384,19790323,    1,    0
237384,19790324,    0,    0
237384,19790325,    0,    0
237384,19790326,    0,    0
237384,19790327,    0,    0
237384,19790328,    0,    0
237384,19790329,    0,    0
237384,19790330,    0,    0
237384,19790331,    0,    0
237384,19790401,    0,    0
237384,19790402,    0,    0
237384,19790403,    0,    0
237384,19790404,    0,    0
237384,19790405,    0,    0
237384,19790406,    0,    0
237384,19790407,    0,    0
237384,19790408,    0,    0
237384,19790409,    0,    0
237384,19790410,    0,    0
237384,19790411,    0,    0
237384,19790412,    0,    0
237384,19790413,    0,    0
237384,19790414,    0,    0
237384,19790415,    0,    0
237384,19790416,    0,    0
237384,19790417,    0,    0
237384,19790418,    0,    0
237384,19790419,    0,    0
237384,19790420,    0,    0
237384,19790421,    0,    0
237384,19790422,    0,    0
237384,19790423,    0,    0
237384,19790424,    0,    0
237384,19790425,    0,    0
237384,19790426,    0,    0
237384,19790427,    0,    0
237384,19790428,    0,    0
237384,19790429,    0,    0
237384,19790430,    0,    0
237384,19790501,    0,    0
237384,19790502,    0,    0
237384,19790503,    0,    0
237384,19790504,    0,    0
237384,19790505,    0,    0
237384,19790506,    0,    0
237384,19790507,    0,    0
237384,19790508,    0,    0
237384,19790509,    0,    0
237384,19790510,    0,    0
237384,19790511,    0,    0
237384,19790512,    0,    0
237384,19790513,    0,    0
237384,19790514,    0,    0
237384,19790515,    0,    0
237384,19790516,    0,    0
237384,19790517,    0,    0
237384,19790518,    0,    0
237384,19790519,    0,    0
237384,19790520,    0,    0
237384,19790521,    0,    0
237384,19790522,    0,    0
237384,19790523,    0,    0
237384,19790524,    0,    0
237384,19790525,    0,    0
237384,19790526,    0,    0
237384,19790527,    0,    0
237384,19790528,    0,    0
237384,19790529,    0,    0
237384,19790530,    0,    0
237384,19790531,    0,    0
237384,19790601,    0,    0
237384,19790602,    0,    0
237384,19790603,    0,    0
237384,19790604,    0,    0
237384,19790605,    0,    0
237384,19790606,    0,    0
237384,19790607,    0,    0
237384,19790608,    0,    0
237384,19790609,    0,    0
237384,19790610,    0,    0
237384,19790611,    0,    0
237384,19790612,    0,    0
237384,19790613,    0,    0
237384,19790614,    0,    0
237384,19790615,    0,    0
237384,19790616,    0,    0
237384,19790617,    0,    0
237384,19790618,    0,    0
237384,19790619,    0,    0
237384,19790620,    0,    0
237384,19790621,    0,    0
237384,19790622,    0,    0
237384,19790623,    0,    0
237384,19790624,    0,    0
237384,19790625,    0,    0
237384,19790626,    0,    0
237384,19790627,    0,    0
237384,19790628,    0,    0
237384,19790629,    0,    0
237384,19790630,    0,    0
237384,19790701,    0,    0
237384,19790702,    0,    0
237384,19790703,    0,    0
237384,19790704,    0,    0
237384,19790705,    0,    0
237384,19790706,    0,    0
237384,19790707,    0,    0
237384,19790708,    0,    0
237384,19790709,    0,    0
237384,19790710,    0,    0
237384,19790711,    0,    0
237384,19790712,    0,    0
237384,19790713,    0,    0
237384,19790714,    0,    0
237384,19790715,    0,    0
237384,19790716,    0,    0
237384,19790717,    0,    0
237384,19790718,    0,    0
237384,19790719,    0,    0
237384,19790720,    0,    0
237384,19790721,    0,    0
237384,19790722,    0,    0
237384,19790723,    0,    0
237384,19790724,    0,    0
237384,19790725,    0,    0
237384,19790726,    0,    0
237384,19790727,    0,    0
237384,19790728,    0,    0
237384,19790729,    0,    0
237384,19790730,    0,    0
237384,19790731,    0,    0
237384,19790801,    0,    0
237384,19790802,    0,    0
237384,19790803,    0,    0
237384,19790804,    0,    0
237384,19790805,    0,    0
237384,19790806,    0,    0
237384,19790807,    0,    0
237384,19790808,    0,    0
237384,19790809,    0,    0
237384,19790810,    0,    0
237384,19790811,    0,    0
237384,19790812,    0,    0
237384,19790813,    0,    0
237384,19790814,    0,    0
237384,19790815,    0,    0
237384,19790816,    0,    0
237384,19790817,    0,    0
237384,19790818,    0,    0
237384,19790819,    0,    0
237384,19790820,    0,    0
237384,19790821,    0,    0
237384,19790822,    0,    0
237384,19790823,    0,    0
237384,19790824,    0,    0
237384,19790825,    0,    0
237384,19790826,    0,    0
237384,19790827,    0,    0
237384,19790828,    0,    0
237384,19790829,    0,    0
237384,19790830,    0,    0
237384,19790831,    0,    0
237384,19790901,    0,    0
237384,19790902,    0,    0
237384,19790903,    0,    0
237384,19790904,    0,    0
237384,19790905,    0,    0
237384,19790906,    0,    0
237384,19790907,    0,    0
237384,19790908,    0,    0
237384,19790909,    0,    0
