STAID,SOUID,SOUNAME,CN,LAT,LON,HGHT,ELEI,BEGIN,END,PARID,PARNAME
4108,122391,FRANKFURT/ODER,DE,+52:21:55,+014:32:16,48, HU3,1947-01-01,1984-12-31,11,National Climate Data Center (DWD)
4108,240650,SLUBICE,PL,+52:20:55,+014:37:11,53, HU2,1951-01-01,2022-09-30,26,Miroslaw Mietus
24880,237013,GUBALOWKA,PL,+49:18:00,+019:56:00,856, HU2,1961-01-01,1985-12-31,26,Miroslaw Mietus
24880,237025,WITOW,PL,+49:20:00,+019:50:00,844, HU2,1977-11-29,1994-12-31,26,Miroslaw Mietus
24880,237289,PORONIN,PL,+49:19:49,+020:02:06,848, HU2,2010-01-01,2022-08-31,26,Miroslaw Mietus
24880,240635,ZAKOPANE,PL,+49:18:00,+019:57:00,857, HU2,1951-01-01,2022-09-30,26,Miroslaw Mietus
24881,237013,GUBALOWKA,PL,+49:18:00,+019:56:00,856, HU2,1961-01-01,1985-12-31,26,Miroslaw Mietus
24881,237025,WITOW,PL,+49:20:00,+019:50:00,844, HU2,1977-11-29,1994-12-31,26,Miroslaw Mietus
24881,240635,ZAKOPANE,PL,+49:18:00,+019:57:00,857, HU2,1951-01-01,2022-09-30,26,Miroslaw Mietus
24889,237121,LIMANOWA,PL,+49:41:00,+020:26:00,587, HU2,1952-01-01,2022-08-31,26,Miroslaw Mietus
24896,237205,KRYNICA,PL,+49:25:00,+020:58:00,702, HU2,1961-01-01,2022-08-31,26,Miroslaw Mietus
24896,237337,KRYNICA-GORA PARKOWA,PL,+49:25:00,+020:58:00,702, HU2,1984-01-01,1985-12-31,26,Miroslaw Mietus
24897,237217,BUKOWINA TATRZANSKA,PL,+49:21:00,+020:07:00,848, HU2,1991-01-01,1999-08-31,26,Miroslaw Mietus
24897,237289,PORONIN,PL,+49:19:49,+020:02:06,848, HU2,2010-01-01,2022-08-31,26,Miroslaw Mietus
24903,237013,GUBALOWKA,PL,+49:18:00,+019:56:00,856, HU2,1961-01-01,1985-12-31,26,Miroslaw Mietus
24903,237217,BUKOWINA TATRZANSKA,PL,+49:21:00,+020:07:00,848, HU2,1991-01-01,1999-08-31,26,Miroslaw Mietus
