STAID,SOUID,SOUNAME,CN,LAT,LON,HGHT,ELEI,BEGIN,END,PARID,PARNAME
4108,122392,FRANKFURT/ODER,DE,+52:21:55,+014:32:16,48, FG7,1964-01-01,1984-12-31,11,National Climate Data Center (DWD)
4108,223289,SLUBICE,PL,+52:20:55,+014:37:11,53,FG17,1952-04-13,2021-11-16,83,GSOD
4108,240692,SLUBICE,PL,+52:20:55,+014:37:11,53,FG17,1951-02-01,2022-06-25,26,Miroslaw Mietus
4108,912310,SLUBICE,PL,+52:21:00,+014:36:00,24, FG5,1980-01-01,2020-02-29,,
23808,222810,BABICE,PL,+52:16:04,+020:54:39,107,FG17,2004-09-07,2021-11-23,83,GSOD
23808,239090,WARSZAWA-BIELANY,PL,+52:17:00,+020:58:00,91,FG17,1951-03-26,2022-07-26,26,Miroslaw Mietus
23808,239102,WARSZAWA-FILTRY,PL,+52:13:10,+020:59:57,91,FG17,2013-11-23,2022-08-10,26,Miroslaw Mietus
23808,240278,WARSZAWA-OBSERWATORIUM II,PL,+52:13:00,+021:02:00,110,FG17,2022-01-01,2022-08-31,26,Miroslaw Mietus
23808,240674,WARSZAWA OBS.ASTR.,PL,+52:13:12,+021:01:48,110,FG17,1951-01-24,1998-09-27,26,Miroslaw Mietus
23808,240695,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107,FG17,1951-03-26,2021-12-29,26,Miroslaw Mietus
23808,912375,WARSZAWA-OKECIE,PL,+52:10:00,+020:58:00,106, FG5,1980-01-01,2020-02-29,,
23829,222831,LUBLINEK,PL,+51:43:01,+019:24:00,184,FG17,2004-08-10,2021-11-23,83,GSOD
23829,240689,LODZ,PL,+51:43:48,+019:24:00,187,FG17,1953-02-15,2021-12-29,26,Miroslaw Mietus
23829,912465,LODZ,PL,+51:44:00,+019:24:00,190, FG5,1980-01-01,2020-02-29,,
23864,222866,KOLO,PL,+52:12:00,+018:40:01,117,FG17,1952-04-10,2021-11-23,83,GSOD
23864,240134,KOLO,PL,+52:12:01,+018:39:41,113,FG17,1951-08-27,2020-12-30,26,Miroslaw Mietus
23864,240694,POZNAN,PL,+52:11:59,+018:39:37,115,FG17,1951-04-23,2021-12-29,26,Miroslaw Mietus
23864,912345,KOLO,PL,+52:12:00,+018:40:00,117, FG5,1980-01-22,2020-02-29,,
2022,223267,KOSZALIN,PL,+54:12:16,+016:09:19,33,FG17,1952-01-02,2021-11-16,83,GSOD
2022,240289,KOSZALIN,PL,+54:12:16,+016:09:19,33,FG17,1952-08-16,2022-09-30,26,Miroslaw Mietus
2022,912105,KOSZALIN,PL,+54:12:00,+016:08:59,34, FG5,1980-01-01,2020-02-29,,
332,223273,LEBA,PL,+54:45:13,+017:32:05,2,FG17,1973-01-01,2021-11-23,83,GSOD
332,240705,LEBA,PL,+54:45:13,+017:32:05,2,FG17,1961-08-01,2021-12-29,26,Miroslaw Mietus
332,912120,LEBA,PL,+54:45:00,+017:32:00,6, FG5,1980-01-01,2020-02-29,,
8935,223274,LEBORK,PL,+54:33:00,+017:45:00,38,FG17,1953-04-22,2021-11-16,83,GSOD
