STAID,SOUID,SOUNAME,CN,LAT,LON,HGHT,ELEI,BEGIN,END,PARID,PARNAME
2021,190975,KOLOBRZEG,PL,+54:10:48,+015:34:48,3, QQ5,1964-01-04,2017-12-31,72,Anatoly V. Tsvetkov
8945,190977,MIKOLAJKI,PL,+53:46:48,+021:34:48,127, QQ5,1966-01-01,1978-12-31,72,Anatoly V. Tsvetkov
8945,240197,MIKOLAJKI,PL,+53:47:22,+021:35:19,144, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
209,190978,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, QQ5,1964-01-01,2019-12-29,72,Anatoly V. Tsvetkov
209,240821,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, QQ6,1982-05-10,2022-09-30,26,Miroslaw Mietus
1383,190981,ZAKOPANE,PL,+49:18:00,+019:57:00,857, QQ5,1964-01-01,2019-12-31,72,Anatoly V. Tsvetkov
1383,240803,ZAKOPANE,PL,+49:18:00,+019:57:00,857, QQ6,1961-01-01,2022-09-30,26,Miroslaw Mietus
1383,912625,ZAKOPANE,PL,+49:18:00,+019:58:00,857, QQ1,2019-09-01,2019-09-02,,
4108,210510,FRANKFURT/ODER,DE,+52:21:55,+014:32:16,48, QQ6,1963-05-01,1977-04-30,11,National Climate Data Center (DWD)
4108,240818,SLUBICE,PL,+52:20:55,+014:37:11,53, QQ6,2015-05-01,2022-09-30,26,Miroslaw Mietus
2022,219105,KOSZALIN,PL,+54:12:16,+016:09:19,33, QQ5,2019-01-03,2019-12-31,72,Anatoly V. Tsvetkov
2022,240292,KOSZALIN,PL,+54:12:16,+016:09:19,33, QQ6,1966-01-04,2022-09-30,26,Miroslaw Mietus
25126,239969,KASPROWY WIERCH,PL,+49:13:57,+019:58:55,1348, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
25128,239993,JELENIA GORA,PL,+50:54:01,+015:47:20,427, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
25129,240005,SNIEZKA,PL,+50:44:10,+015:44:22,958, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
25130,240017,OPOLE,PL,+50:37:37,+017:58:08,163, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
25131,240029,CZOSTOCHOWA,PL,+50:48:45,+019:05:33,266, QQ6,1972-06-01,2022-09-30,26,Miroslaw Mietus
25132,240041,KATOWICE-MUCHOWIEC,PL,+50:14:26,+019:01:58,281, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
25133,240053,KRAKOW-BALICE,PL,+50:04:49,+019:48:07,234, QQ6,1961-01-01,2022-09-30,26,Miroslaw Mietus
25134,240065,TARNOW,PL,+50:01:48,+020:59:04,207, QQ6,1966-01-01,2022-09-30,26,Miroslaw Mietus
25135,240077,SANDOMIERZ,PL,+50:41:48,+021:42:57,143, QQ6,1972-10-08,2022-09-30,26,Miroslaw Mietus
25136,240089,ZAMOSC,PL,+50:41:52,+023:12:23,258, QQ6,1976-06-01,2022-09-30,26,Miroslaw Mietus
