L,Station code,International code,Station name,Old station code,Launching date,Closing date,Station type,Region type,Station model,Voivodeship,City,Address,WGS84 φ N,WGS84 λ E,county
1,DsBialka,,Białka,DsBialka,1/3/1990,12/31/2005,industrial,suburban,container,DOLNOŚLĄSKIE,Białka,,51.197783,16.11739,powiat legnicki
2,DsBielGrot,,Bielawa - ul. Grota Roweckiego,DsBielGrot,1/2/1994,12/31/2003,background,urban,in-house,DOLNOŚLĄSKIE,Bielawa,ul. Grota Roweckiego 6,50.68251,16.617348,powiat dzierżoniowski
3,DsBogatFrancMOB,PL0602A,Bogatynia Mobil,DsBogatMob,1/1/2015,12/31/2015,background,urban,mobile,DOLNOŚLĄSKIE,Bogatynia,ul. Francuska/Kręta,50.940998,14.91679,powiat zgorzelecki
4,DsBogChop,PL0315A,Bogatynia - Chopina,DsBogChop,1/1/1996,12/31/2013,industrial,urban,container,DOLNOŚLĄSKIE,Bogatynia,ul. Chopina 35,50.905856,14.967175,powiat zgorzelecki
5,DsBogZatonieMob,PL0576A,Bogatynia - Mobil,DsBogZatonieMob,1/1/2012,12/31/2012,industrial,urban,mobile,DOLNOŚLĄSKIE,Bogatynia,"ul. Konrada, Zatonie",50.943245,14.913327,powiat zgorzelecki
6,DsBoleslaMOB,PL0658A,Bolesławiec,DsBoleslaMOB,1/1/2017,1/2/2018,background,urban,mobile,DOLNOŚLĄSKIE,Bolesławiec,Juliusza Słowackiego 2,51.263245,15.570354,powiat bolesławiecki
7,DsBrzegGlog,,Brzeg Głogowski,DsBrzegGlog,1/1/1980,12/31/2003,industrial,nonurban,in-house,DOLNOŚLĄSKIE,Brzeg Głogowski,,51.691438,15.91784,powiat głogowski
8,DsChojnowKil,PL0185A,"Chojnów,ul.Kilińskiego",DsChojnowKil,1/6/2004,12/31/2005,background,urban,container,DOLNOŚLĄSKIE,Chojnów,ul. Kilińskiego,51.268889,15.940278,powiat legnicki
9,DsCzar07,PL0186A,Czarna Góra,DsCzar07,12/1/1996,9/30/2008,background,nonurban,container,DOLNOŚLĄSKIE,Czarna Góra,,50.255072,16.801641,powiat kłodzki
10,DsCzerStraza,PL0028A,Czerniawa,,7/1/1996,,background,nonurban,container,DOLNOŚLĄSKIE,Czerniawa,ul. Strażacka 7,50.912475,15.31219,powiat lubański
11,DsCzLasMob,PL0599A,Czarny Las - Mobil Mercedes,DsCzLasMob,1/1/2013,12/31/2013,background,nonurban,mobile,DOLNOŚLĄSKIE,Czarny Las,,51.541658,16.937064,powiat trzebnicki
12,DsDusznikMOB,PL0733A,Duszniki-Zdrój,DsDusznikMOB,1/1/2019,12/31/2019,background,urban,mobile,DOLNOŚLĄSKIE,Duszniki-Zdrój,Sportowa 2a,50.402645,16.393319,powiat kłodzki
13,DsDuszZiel,,Duszniki Zdrój - ul. Zielona,DsDuszZiel,1/2/1993,12/31/2003,background,urban,in-house,DOLNOŚLĄSKIE,Duszniki-Zdrój,ul. Zielona 23,50.393396,16.38247,powiat kłodzki
14,DsDzialoszyn,PL0054A,Działoszyn,,7/1/1996,,industrial,nonurban,container,DOLNOŚLĄSKIE,Działoszyn,bez ulicy,50.972167,14.941319,powiat zgorzelecki
15,DsDziePilsud,PL0187A,"Dzierżoniów, ul. Piłsudskiego",,1/1/2005,,background,urban,container,DOLNOŚLĄSKIE,Dzierżoniów,ul. Piłsudskiego 26,50.732817,16.64805,powiat dzierżoniowski
16,DsDzierKras,,Dzierżoniów - ul. Krasickiego,DsDzierKras,1/2/1986,12/31/2003,background,urban,in-house,DOLNOŚLĄSKIE,Dzierżoniów,ul. Krasickiego 36,50.726338,16.647286,powiat dzierżoniowski
17,DsGlogMob,PL0625A,Głogów - Wita Stwosza - mobil,DsGlogMob,1/1/2014,12/31/2014,background,urban,mobile,DOLNOŚLĄSKIE,Głogów,ul. Wita Stwosza,51.657022,16.097822,powiat głogowski
18,DsGlogNorw,PL0188A,Głogów - Norwida,DsGlogNorw,1/1/2011,12/31/2014,background,urban,dust collector,DOLNOŚLĄSKIE,Głogów,ul. Norwida 3,51.65713,16.086188,powiat głogowski
19,DsGlogNorwArch,,Głogów - Norwida Arch,DsGlogNorwArch,1/1/1994,12/31/2009,background,urban,dust collector,DOLNOŚLĄSKIE,Głogów,ul. Norwida 3,51.657152,16.086183,powiat głogowski
20,DsGlogOrzech,,"Głogów, ul. Orzechowa",DsGlogOrzech,1/1/1980,12/31/2003,background,urban,in-house,DOLNOŚLĄSKIE,Głogów,ul. Orzechowa,51.648546,16.092286,powiat głogowski
21,DsGlogowko,,Głogówko,DsGlogowko,1/1/1980,12/31/2003,industrial,nonurban,in-house,DOLNOŚLĄSKIE,Głogówko,,51.731824,16.097768,powiat głogowski
22,DsGlogSikor,PL0260A,"Głogów, ul. Sikorskiego",DsGlogSikor,10/1/2003,12/31/2013,industrial,suburban,container,DOLNOŚLĄSKIE,Głogów,ul. Żukowicka 1,51.664508,16.040822,powiat głogowski
23,DsGlogWiStwo,PL0603A,"Głogów, ul. Wita Stwosza",,1/1/2015,,background,urban,dust collector,DOLNOŚLĄSKIE,Głogów,ul. Wita Stwosza 3,51.657022,16.097822,powiat głogowski
24,DsGrodziec,,Grodziec Mały,DsGrodziec,1/1/1980,12/31/2003,industrial,nonurban,in-house,DOLNOŚLĄSKIE,Grodziec Mały,,51.687496,16.073213,powiat głogowski
25,DsJasnaSport,PL0316A,Jasna Góra - Sportowa,DsJasnaSport,1/1/1996,12/31/2013,industrial,nonurban,container,DOLNOŚLĄSKIE,Jasna Góra,ul. Sportowa 13,50.873692,14.954236,powiat zgorzelecki
26,DsJawDmow,,Jawor - Dmowskiego,DsJawDmow,1/3/1994,12/31/2003,background,urban,in-house,DOLNOŚLĄSKIE,Jawor,ul. Dmowskiego 8,51.057121,16.179854,powiat jaworski
27,DsJaworMOB,PL0734A,Jawor,DsJaworMOB,1/1/2019,12/31/2019,background,urban,mobile,DOLNOŚLĄSKIE,Jawor,Armii Krajowej 9,51.049212,16.202317,powiat jaworski
28,DsJedlZdroj,,Jedlina Zdrój - Plac Zdrojowy,DsJedlZdroj,1/2/1993,12/31/2003,background,urban,in-house,DOLNOŚLĄSKIE,Jedlina-Zdrój,pl. Zdrojowy 1,50.728378,16.345481,powiat wałbrzyski
29,DsJelGorOgin,PL0585A,"Jelenia Góra, ul. Ogińskiego",,10/20/2014,,background,urban,container,DOLNOŚLĄSKIE,Jelenia Góra,ul. Ogińskiego 6,50.913433,15.765608,Jelenia Góra
30,DsJelGorSoko,PL0586A,"Jelenia Góra, ul. Sokoliki",,1/1/2014,,background,urban,dust collector,DOLNOŚLĄSKIE,Jelenia Góra,ul. Sokoliki 6,50.871214,15.700947,Jelenia Góra
31,DsJelw05,PL0026A,Jeleniów,DsJelw05,7/1/1996,12/31/2009,background,nonurban,container,DOLNOŚLĄSKIE,Jeleniów,,51.224843,15.232984,powiat bolesławiecki
32,DsJgCiep,,Jelenia Góra - Cieplice,DsJgCiep,1/2/1982,12/31/2004,background,urban,container,DOLNOŚLĄSKIE,Jelenia Góra,ul. Park Zdrojowy,50.862966,15.681788,Jelenia Góra
33,DsJgCiepA,PL0189A,Jelenia Góra - Cieplice (AUT),DsJgCiepA,1/1/2005,12/31/2013,background,urban,container,DOLNOŚLĄSKIE,Jelenia Góra,ul. Cervi 14,50.861853,15.678761,Jelenia Góra
34,DsJgGrottgeraPM,PL0055A,Jelenia Góra - Grottgera (PM10),DsJgGrottgeraPM,1/1/2011,12/31/2011,background,urban,dust collector,DOLNOŚLĄSKIE,Jelenia Góra,ul. Grottgera 7,50.897497,15.736629,Jelenia Góra
35,DsJgGrottgeraPMArch,,Jelenia Góra - Grottgera (PM10-Arch),DsJgGrottgeraPMArch,1/5/2004,12/31/2009,background,urban,dust collector,DOLNOŚLĄSKIE,Jelenia Góra,ul. Grottgera 7,50.897497,15.736629,Jelenia Góra
36,DsJgScieg,,Jelenia Góra - Ściegiennego,DsJgScieg,1/11/1995,12/31/2003,background,urban,in-house,DOLNOŚLĄSKIE,Jelenia Góra,ul. Ściegiennego 5/7,50.865874,15.679301,Jelenia Góra
37,DsJgWoln,,Jelenia Góra - Wolności,DsJgWoln,1/3/1993,12/31/2004,background,urban,in-house,DOLNOŚLĄSKIE,Jelenia Góra,ul. Wolności 139,50.885634,15.717597,Jelenia Góra
38,DsJgZabob,,Jelenia Góra - Zabobrze,DsJgZabob,1/4/1992,4/30/2006,background,urban,mobile,DOLNOŚLĄSKIE,Jelenia Góra,ul. Ogińskiego,50.91447,15.764693,Jelenia Góra
39,DsKalinowka,PL0261A,Kalinówka,DsKalinowka,1/1/2003,12/31/2013,industrial,nonurban,container,DOLNOŚLĄSKIE,Kalinowka,,51.5226,16.244147,powiat polkowicki
40,DsKamGoraMOB,PL0730A,Kamienna Góra,DsKamGoraMOB,1/8/2020,12/30/2020,background,urban,mobile,DOLNOŚLĄSKIE,Kamienna Góra,Wałbrzyska 2c,50.788079,16.035122,powiat kamiennogórski
41,DsKawice,,Kawice,DsKawice,1/6/2003,12/31/2003,background,nonurban,container,DOLNOŚLĄSKIE,Kawice,,51.230833,16.428889,powiat legnicki
42,DsKgMob,,Kamienna Góra - Mobil Horiba,DsKgMob,1/1/2008,5/5/2008,background,urban,mobile,DOLNOŚLĄSKIE,Kamienna Góra,ul. Szpitalna,50.786873,16.029129,powiat kamiennogórski
43,DsKgSien,,Kamienna Góra - Sienkiewicza,DsKgSien,1/4/1995,12/31/2003,background,urban,in-house,DOLNOŚLĄSKIE,Kamienna Góra,ul. Sienkiewicza 5,50.781207,16.029155,powiat kamiennogórski
44,DsKlodzOkrz,,Kłodzko - ul. Okrzei,DsKlodzOkrz,1/2/1987,12/31/2005,background,urban,in-house,DOLNOŚLĄSKIE,Kłodzko,ul. Okrzei 16,50.433389,16.650177,powiat kłodzki
45,DsKlodzSzkol,PL0504A,"Kłodzko, ul. Szkolna",,6/5/2009,,background,urban,container,DOLNOŚLĄSKIE,Kłodzko,ul. Szkolna 8,50.433493,16.65366,powiat kłodzki
46,DsKobierz,,Kobierzyce - Robotnicza,DsKobierz,1/30/2003,12/31/2003,background,nonurban,container,DOLNOŚLĄSKIE,Kobierzyce,ul. Robotnicza 19,50.968056,16.928056,powiat wrocławski
47,DsKostrzaMOB,PL0777A,Kostrza,,1/23/2021,12/31/2021,industrial,suburban,container,DOLNOŚLĄSKIE,Kostrza,ul. Żeromskiego 22,50.981906,16.266522,powiat świdnicki
48,DsKowMaj,,Kowary - 1-go Maja,DsKowMaj,1/15/2001,12/31/2002,background,urban,in-house,DOLNOŚLĄSKIE,Kowary,ul. 1 Maja 1,50.793145,15.835843,powiat karkonoski
49,DsKozDoly,,Kozie Doły,DsKozDoly,1/1/1980,12/31/2003,industrial,nonurban,in-house,DOLNOŚLĄSKIE,Kozie Doły,,51.727524,16.025971,powiat głogowski
50,DsKromolin,PL0262A,Kromolin,DsKromolin,10/1/2003,12/31/2013,industrial,nonurban,container,DOLNOŚLĄSKIE,Kromolin,,51.684959,15.894901,powiat głogowski
51,DsKudowaMOB,PL0659A,Kudowa-Zdrój,DsKudowaMOB,1/1/2017,,background,urban,mobile,DOLNOŚLĄSKIE,Kudowa-Zdrój,Tadeusza Kościuszki 16,50.447096,16.238509,powiat kłodzki
52,DsKudSlon,,Kudowa Zdrój - ul. Słoneczna,DsKudSlon,1/2/1999,12/31/2004,background,urban,in-house,DOLNOŚLĄSKIE,Kudowa-Zdrój,ul. Słoneczna 17,50.439976,16.248312,powiat kłodzki
53,DsLadekMOB,PL0686A,Lądek-Zdrój,DsLadekMOB,1/17/2018,12/31/2018,background,urban,mobile,DOLNOŚLĄSKIE,Lądek-Zdrój,Św. Królowej Jadwigi,50.341864,16.889899,powiat kłodzki
54,DsLadekWol,,Lądek Zdrój - ul. Wolności,DsLadekWol,1/2/1992,12/31/2004,background,urban,in-house,DOLNOŚLĄSKIE,Lądek-Zdrój,ul. Wolności 4,50.345683,16.888804,powiat kłodzki
55,DsLegAlRzecz,PL0190A,"Legnica, al. Rzeczypospolitej",,10/1/2004,,background,urban,container,DOLNOŚLĄSKIE,Legnica,al. Rzeczypospolitej 10/12,51.204503,16.180513,Legnica
56,DsLegIwasz,,Legnica - Iwaszkiewicza,DsLegIwasz,1/1/1997,12/31/2003,background,urban,in-house,DOLNOŚLĄSKIE,Legnica,ul. Iwaszkiewicza 5,51.208189,16.216706,Legnica
