Year,Voivodeship,Zone code,Zone name,Station code,Indicator,Averaging Time,Mean [µg/m2/day],Min [µg/m2/day],Max [µg/m2/day],Number of measurements,Completeness [%]
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,As(cdepoz),1m,2.117855069,0.212354666,3.167546096,365,100
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,As(cdepoz),2t,0.579212235,0.00031,3.02857,169,46.3
2017,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmPuszczaBor,As(cdepoz),1m,0.526369863,0.143,1.305,365,100
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,BaA(cdepoz),1m,0.014061163,0.00058339,0.045948573,365,100
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,BaA(cdepoz),2t,0.012344195,0.00091,0.04053,163,44.65
2017,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmPuszczaBor,BaA(cdepoz),1m,0.02051632,0.002,0.11,365,100
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,BaP(cdepoz),1m,0.035136056,0.003510396,0.091974688,365,100
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,BaP(cdepoz),2t,0.012198557,0.00091,0.04074,163,44.65
2017,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmPuszczaBor,BaP(cdepoz),1m,0.021326861,0.004,0.108,365,100
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,BbF(cdepoz),1m,0.058119549,0.00163662,0.130553943,365,100
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,BbF(cdepoz),2t,0.014656577,0.00144,0.04746,163,44.65
2017,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmPuszczaBor,BbF(cdepoz),1m,0.032468493,0.005,0.148,365,100
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,BjF(cdepoz),1m,0.030970957,0.002994736,0.065061915,365,100
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,BjF(cdepoz),2t,0.007135537,0.00031,0.01923,163,44.65
2017,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmPuszczaBor,BjF(cdepoz),1m,0.027138686,0.004,0.111,365,100
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,BkF(cdepoz),1m,0.049069503,0.002669062,0.254730236,365,100
