Year,Voivodeship,Zone code,Zone name,Station code,Indicator,Averaging Time,Mean [ng/m3],Min [ng/m3],Max [ng/m3],Number of measurements,Completeness [%],Summer/Winter Number
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWybCon,Cd(PM10),24g,0.301501401,0.052,1.063,357,97.8,1.02
2017,dolnośląskie,PL0202,miasto Legnica,DsLegAlRzecz,Cd(PM10),24g,0.560156164,0.104,2.048,365,100,1.01
2017,dolnośląskie,PL0203,miasto Wałbrzych,DsWalbrzWyso,Cd(PM10),24g,0.299853107,0.052,1.192,354,96.98,1.02
2017,dolnośląskie,PL0204,strefa dolnośląska,DsGlogWiStwo,Cd(PM10),24g,0.518831492,0.13,2.1,362,99.17,1
2017,dolnośląskie,PL0204,strefa dolnośląska,DsJelGorSoko,Cd(PM10),24g,0.272011364,0.058,1.152,352,96.43,1.08
2017,dolnośląskie,PL0204,strefa dolnośląska,DsNowRudSreb,Cd(PM10),24g,0.36428453,0.052,1.238,362,99.17,1.02
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOlawZolnAK,Cd(PM10),24g,0.306548295,0.052,2.583,352,96.43,0.94
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,Cd(PM10),24g,0.18025788,0.021,0.906,349,95.61,0.92
2017,dolnośląskie,PL0204,strefa dolnośląska,DsPolKasztan,Cd(PM10),24g,0.233553254,0.052,0.829,338,92.6,1.18
2017,dolnośląskie,PL0204,strefa dolnośląska,DsSzczaKolej,Cd(PM10),24g,0.279238889,0.015,1.502,360,98.63,1.01
2017,dolnośląskie,PL0204,strefa dolnośląska,DsZgorBohGet,Cd(PM10),24g,0.262075,0.042,1.252,360,98.63,1.02
2017,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydPlPozna,Cd(PM10),24g,0.39205197,0.065,1.51788305,365,100,1.01
2017,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruDziewu,Cd(PM10),24g,0.287421644,0.065,1.1339,365,100,1.01
2017,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclOkrze,Cd(PM10),24g,0.444081337,0.065,2.59558595,345,94.52,1.01
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpBrodKochan,Cd(PM10),24g,0.353707418,0.065,1.1569,364,99.72,1
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpCiechTezni,Cd(PM10),24g,0.390172715,0.065,2.62288964,360,98.63,1.03
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpGrudSienki,Cd(PM10),24g,0.520312877,0.065,1.5347,365,100,1.01
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpInowSolank,Cd(PM10),24g,0.261961068,0.065,1.0079129,365,100,1.01
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpKoniczynka,Cd(PM10),24g,0.261178356,0.065,1.168,365,100,1.01
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpNaklSkargi,Cd(PM10),24g,0.465199029,0.065,1.53954532,348,95.34,1
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,Cd(PM10),24g,0.121370701,0.025,0.51409566,324,88.76,0.78
2017,lubelskie,PL0601,Aglomeracja Lubelska,LbLubSliwins,Cd(PM10),24g,0.257260274,0.03,0.98,365,100,1.01
2017,lubelskie,PL0602,strefa lubelska,LbZamoHrubie,Cd(PM10),24g,0.272219178,0.03,0.82,365,100,1.01
2017,lubuskie,PL0801,miasto Gorzów Wielkopolski,LuGorzKosGdy,Cd(PM10),24g,0.160385757,0.01,2.1,337,92.32,1.19
2017,lubuskie,PL0801,miasto Gorzów Wielkopolski,LuGorzPilsud,Cd(PM10),24g,0.099857955,0.01,0.51,352,96.43,0.93
2017,lubuskie,PL0802,miasto Zielona Góra,LuZielKrotka,Cd(PM10),24g,0.30122905,0.01,2.4,358,98.08,0.97
2017,lubuskie,PL0803,strefa lubuska,LuSulecDudka,Cd(PM10),24g,0.145675676,0.01,0.52,333,91.23,0.84
2017,lubuskie,PL0803,strefa lubuska,LuWsKaziWiel,Cd(PM10),24g,0.279220056,0,1.79,359,98.35,1.02
2017,lubuskie,PL0803,strefa lubuska,LuZarySzyman,Cd(PM10),24g,0.224027397,0.01,2.04,365,100,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzLegion,Cd(PM10),24g,0.540082192,0.09,2.01,365,100,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzRudzka,Cd(PM10),24g,0.449697802,0.1,1.63,364,99.72,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdPabiKilins,Cd(PM10),24g,0.479069069,0.14,1.69,333,91.23,1.13
2017,łódzkie,PL1002,strefa łódzka,LdPioTrKraPr,Cd(PM10),24g,0.521160221,0.12,1.94,362,99.17,1.02
2017,łódzkie,PL1002,strefa łódzka,LdSieraPolna,Cd(PM10),24g,0.363983516,0.1,1.31,364,99.72,1
2017,łódzkie,PL1002,strefa łódzka,LdSkierKonop,Cd(PM10),24g,0.371978022,0.11,1.12,364,99.72,1
