STAID,SOUID,SOUNAME,CN,LAT,LON,HGHT,ELEI,BEGIN,END,PARID,PARNAME
2022,107333,KOSZALIN,PL,+54:12:16,+016:09:19,33, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
2022,912105,KOSZALIN,PL,+54:12:00,+016:08:59,34,PP11,1980-01-01,2020-02-29,,
332,107334,LEBA,PL,+54:45:13,+017:32:05,2, PP2,1961-08-02,2022-09-30,26,Miroslaw Mietus
332,912120,LEBA,PL,+54:45:00,+017:32:00,6,PP11,1980-01-01,2020-02-29,,
205,107335,HEL,PL,+54:36:13,+018:48:43,1, PP2,1960-01-02,2022-09-30,26,Miroslaw Mietus
205,912135,HEL,PL,+54:36:00,+018:49:00,3,PP11,1980-01-01,2020-02-29,,
396,107336,ELBLAG,PL,+54:13:24,+019:32:37,189, PP2,1961-01-02,2022-09-30,26,Miroslaw Mietus
2024,107337,SUWALKI,PL,+54:07:51,+022:56:56,184, PP2,1966-01-01,2016-12-31,26,Miroslaw Mietus
2024,912195,SUWALKI,PL,+54:08:00,+022:57:00,186,PP11,1980-01-01,2020-02-29,,
696,107338,SWINOUJSCIE,PL,+53:55:24,+014:14:32,5, PP2,1960-01-02,2022-09-30,26,Miroslaw Mietus
696,912200,SWINOUJSCIE,PL,+53:55:00,+014:14:00,5,PP11,1980-01-07,2020-02-29,,
208,107339,SZCZECIN,PL,+53:23:43,+014:37:22,1, PP2,1960-01-02,2022-09-30,26,Miroslaw Mietus
208,912205,SZCZECIN,PL,+53:24:00,+014:37:00,7,PP11,1980-01-01,2020-02-29,,
2026,107340,CHOJNICE,PL,+53:42:55,+017:31:57,164, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
2026,912235,CHOJNICE,PL,+53:43:00,+017:33:00,172,PP11,1980-01-01,2020-02-29,,
2027,107341,TORUN,PL,+53:02:31,+018:35:44,69, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
2027,912250,TORUN,PL,+53:03:00,+018:35:00,72,PP11,1980-01-01,2020-02-29,,
2028,107342,MLAWA,PL,+53:06:15,+020:21:40,147, PP2,1965-11-02,2022-09-30,26,Miroslaw Mietus
2028,912270,MLAWA,PL,+53:06:00,+020:21:00,149,PP11,1980-01-01,2020-02-29,,
752,107343,OLSZTYN,PL,+53:46:07,+020:25:17,133, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
752,912272,OLSZTYN,PL,+53:46:00,+020:25:00,137,PP11,1980-01-22,2020-02-29,,
204,107344,BIALYSTOK,PL,+53:06:26,+023:09:44,148, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
204,912295,BIALYSTOK,PL,+53:06:00,+023:10:00,151,PP11,1980-01-01,2020-02-29,,
2029,107345,GORZOW WLKP,PL,+52:44:28,+015:16:38,71, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
2029,912300,GORZOW WLKP,PL,+52:45:00,+015:17:00,73,PP11,1980-01-01,2020-02-29,,
779,107346,SLUBICE,PL,+52:20:55,+014:37:11,53, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
779,122385,FRANKFURT/ODER,DE,+52:21:55,+014:32:16,48, PP2,1975-07-01,1985-11-30,11,National Climate Data Center (DWD)
206,107347,POZNAN,PL,+52:11:59,+018:39:37,115, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
206,240139,KOLO,PL,+52:12:01,+018:39:41,113, PP2,1966-01-02,2020-12-27,26,Miroslaw Mietus
206,912345,KOLO,PL,+52:12:00,+018:40:00,117,PP11,1980-01-22,2020-02-29,,
209,107348,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107, PP2,1966-01-02,2022-09-30,26,Miroslaw Mietus
