No,Station code,International code,Station name,Old station code,Launching date,Closing date,Station type,Region type,Station model,Voivodeship,City,Address,WGS84 φ N,WGS84 λ E,county,STANAME,matched_LAT,matched_LON,matched_STANAME
1,DsBialka,,Białka,DsBialka,03-01-1990,31-12-2005,industrial,suburban,container,DOLNOŚLĄSKIE,Białka,,51.197783,16.11739,powiat legnicki,BIALKA,51.1925,16.2075,LEGNICA                                 
2,DsBielGrot,,Bielawa - ul. Grota Roweckiego,DsBielGrot,02-01-1994,31-12-2003,background,urban,in-house,DOLNOŚLĄSKIE,Bielawa,ul. Grota Roweckiego 6,50.68251,16.617348,powiat dzierżoniowski,BIELAWA,50.43694444,16.61416667,KLODZKO                                 
3,DsBogatFrancMOB,PL0602A,Bogatynia Mobil,DsBogatMob,01-01-2015,31-12-2015,background,urban,mobile,DOLNOŚLĄSKIE,Bogatynia,ul. Francuska/Kręta,50.940998,14.91679,powiat zgorzelecki,BOGATYNIA,50.90027778,15.78888889,JELENIA GORA                            
4,DsBogChop,PL0315A,Bogatynia - Chopina,DsBogChop,01-01-1996,31-12-2013,industrial,urban,container,DOLNOŚLĄSKIE,Bogatynia,ul. Chopina 35,50.905856,14.967175,powiat zgorzelecki,BOGATYNIA,50.73,15.73,SNIEZKA                                 
5,DsBogZatonieMob,PL0576A,Bogatynia - Mobil,DsBogZatonieMob,01-01-2012,31-12-2012,industrial,urban,mobile,DOLNOŚLĄSKIE,Bogatynia,"ul. Konrada, Zatonie",50.943245,14.913327,powiat zgorzelecki,BOGATYNIA,50.90027778,15.78888889,JELENIA GORA                            
6,DsBoleslaMOB,PL0658A,Bolesławiec,DsBoleslaMOB,01-01-2017,02-01-2018,background,urban,mobile,DOLNOŚLĄSKIE,Bolesławiec,Juliusza Słowackiego 2,51.263245,15.570354,powiat bolesławiecki,BOLESLAWIEC,50.90027778,15.78888889,JELENIA GORA                            
7,DsBrzegGlog,,Brzeg Głogowski,DsBrzegGlog,01-01-1980,31-12-2003,industrial,nonurban,in-house,DOLNOŚLĄSKIE,Brzeg Głogowski,,51.691438,15.91784,powiat głogowski,BRZEG GLOGOWSKI,51.93,15.52472222,ZIELONA GORA                            
8,DsChojnowKil,PL0185A,"Chojnów,ul.Kilińskiego",DsChojnowKil,06-01-2004,31-12-2005,background,urban,container,DOLNOŚLĄSKIE,Chojnów,ul. Kilińskiego,51.268889,15.940278,powiat legnicki,CHOJNOW,51.1925,16.2075,LEGNICA                                 
9,DsCzar07,PL0186A,Czarna Góra,DsCzar07,01-12-1996,30-09-2008,background,nonurban,container,DOLNOŚLĄSKIE,Czarna Góra,,50.255072,16.801641,powiat kłodzki,CZARNA GORA,50.43694444,16.61416667,KLODZKO                                 
10,DsCzerStraza,PL0028A,Czerniawa,,01-07-1996,,background,nonurban,container,DOLNOŚLĄSKIE,Czerniawa,ul. Strażacka 7,50.912475,15.31219,powiat lubański,CZERNIAWA,50.90027778,15.78888889,JELENIA GORA                            
11,DsCzLasMob,PL0599A,Czarny Las - Mobil Mercedes,DsCzLasMob,01-01-2013,31-12-2013,background,nonurban,mobile,DOLNOŚLĄSKIE,Czarny Las,,51.541658,16.937064,powiat trzebnicki,CZARNY LAS,51.83555556,16.53472222,LESZNO                                  
12,DsDusznikMOB,PL0733A,Duszniki-Zdrój,DsDusznikMOB,01-01-2019,31-12-2019,background,urban,mobile,DOLNOŚLĄSKIE,Duszniki-Zdrój,Sportowa 2a,50.402645,16.393319,powiat kłodzki,DUSZNIKI-ZDROJ,50.43694444,16.61416667,KLODZKO                                 
13,DsDuszZiel,,Duszniki Zdrój - ul. Zielona,DsDuszZiel,02-01-1993,31-12-2003,background,urban,in-house,DOLNOŚLĄSKIE,Duszniki-Zdrój,ul. Zielona 23,50.393396,16.38247,powiat kłodzki,DUSZNIKI-ZDROJ,50.43694444,16.61416667,KLODZKO                                 
14,DsDzialoszyn,PL0054A,Działoszyn,,01-07-1996,,industrial,nonurban,container,DOLNOŚLĄSKIE,Działoszyn,bez ulicy,50.972167,14.941319,powiat zgorzelecki,DZIALOSZYN,50.90027778,15.78888889,JELENIA GORA                            
15,DsDziePilsud,PL0187A,"Dzierżoniów, ul. Piłsudskiego",,01-01-2005,,background,urban,container,DOLNOŚLĄSKIE,Dzierżoniów,ul. Piłsudskiego 26,50.732817,16.64805,powiat dzierżoniowski,DZIERZONIOW,50.43694444,16.61416667,KLODZKO                                 
16,DsDzierKras,,Dzierżoniów - ul. Krasickiego,DsDzierKras,02-01-1986,31-12-2003,background,urban,in-house,DOLNOŚLĄSKIE,Dzierżoniów,ul. Krasickiego 36,50.726338,16.647286,powiat dzierżoniowski,DZIERZONIOW,50.43694444,16.61416667,KLODZKO                                 
17,DsGlogMob,PL0625A,Głogów - Wita Stwosza - mobil,DsGlogMob,01-01-2014,31-12-2014,background,urban,mobile,DOLNOŚLĄSKIE,Głogów,ul. Wita Stwosza,51.657022,16.097822,powiat głogowski,GLOGOW,51.83555556,16.53472222,LESZNO                                  
18,DsGlogNorw,PL0188A,Głogów - Norwida,DsGlogNorw,01-01-2011,31-12-2014,background,urban,dust collector,DOLNOŚLĄSKIE,Głogów,ul. Norwida 3,51.65713,16.086188,powiat głogowski,GLOGOW,51.83555556,16.53472222,LESZNO                                  
19,DsGlogNorwArch,,Głogów - Norwida Arch,DsGlogNorwArch,01-01-1994,31-12-2009,background,urban,dust collector,DOLNOŚLĄSKIE,Głogów,ul. Norwida 3,51.657152,16.086183,powiat głogowski,GLOGOW,51.83555556,16.53472222,LESZNO                                  
20,DsGlogOrzech,,"Głogów, ul. Orzechowa",DsGlogOrzech,01-01-1980,31-12-2003,background,urban,in-house,DOLNOŚLĄSKIE,Głogów,ul. Orzechowa,51.648546,16.092286,powiat głogowski,GLOGOW,51.83555556,16.53472222,LESZNO                                  
21,DsGlogowko,,Głogówko,DsGlogowko,01-01-1980,31-12-2003,industrial,nonurban,in-house,DOLNOŚLĄSKIE,Głogówko,,51.731824,16.097768,powiat głogowski,GLOGOWKO,51.83555556,16.53472222,LESZNO                                  
22,DsGlogSikor,PL0260A,"Głogów, ul. Sikorskiego",DsGlogSikor,01-10-2003,31-12-2013,industrial,suburban,container,DOLNOŚLĄSKIE,Głogów,ul. Żukowicka 1,51.664508,16.040822,powiat głogowski,GLOGOW,51.83555556,16.53472222,LESZNO                                  
23,DsGlogWiStwo,PL0603A,"Głogów, ul. Wita Stwosza",,01-01-2015,,background,urban,dust collector,DOLNOŚLĄSKIE,Głogów,ul. Wita Stwosza 3,51.657022,16.097822,powiat głogowski,GLOGOW,51.83555556,16.53472222,LESZNO                                  
24,DsGrodziec,,Grodziec Mały,DsGrodziec,01-01-1980,31-12-2003,industrial,nonurban,in-house,DOLNOŚLĄSKIE,Grodziec Mały,,51.687496,16.073213,powiat głogowski,GRODZIEC MALY,51.83555556,16.53472222,LESZNO                                  
25,DsJasnaSport,PL0316A,Jasna Góra - Sportowa,DsJasnaSport,01-01-1996,31-12-2013,industrial,nonurban,container,DOLNOŚLĄSKIE,Jasna Góra,ul. Sportowa 13,50.873692,14.954236,powiat zgorzelecki,JASNA GORA,50.73,15.73,SNIEZKA                                 
26,DsJawDmow,,Jawor - Dmowskiego,DsJawDmow,03-01-1994,31-12-2003,background,urban,in-house,DOLNOŚLĄSKIE,Jawor,ul. Dmowskiego 8,51.057121,16.179854,powiat jaworski,JAWOR,51.1925,16.2075,LEGNICA                                 
27,DsJaworMOB,PL0734A,Jawor,DsJaworMOB,01-01-2019,31-12-2019,background,urban,mobile,DOLNOŚLĄSKIE,Jawor,Armii Krajowej 9,51.049212,16.202317,powiat jaworski,JAWOR,51.1925,16.2075,LEGNICA                                 
28,DsJedlZdroj,,Jedlina Zdrój - Plac Zdrojowy,DsJedlZdroj,02-01-1993,31-12-2003,background,urban,in-house,DOLNOŚLĄSKIE,Jedlina-Zdrój,pl. Zdrojowy 1,50.728378,16.345481,powiat wałbrzyski,JEDLINA-ZDROJ,50.43694444,16.61416667,KLODZKO                                 
29,DsJelGorOgin,PL0585A,"Jelenia Góra, ul. Ogińskiego",,20-10-2014,,background,urban,container,DOLNOŚLĄSKIE,Jelenia Góra,ul. Ogińskiego 6,50.913433,15.765608,Jelenia Góra County,JELENIA GORA,50.90027778,15.78888889,JELENIA GORA                            
30,DsJelGorSoko,PL0586A,"Jelenia Góra, ul. Sokoliki",,01-01-2014,,background,urban,dust collector,DOLNOŚLĄSKIE,Jelenia Góra,ul. Sokoliki 6,50.871214,15.700947,Jelenia Góra County,JELENIA GORA,50.90027778,15.78888889,JELENIA GORA                            
31,DsJelw05,PL0026A,Jeleniów,DsJelw05,01-07-1996,31-12-2009,background,nonurban,container,DOLNOŚLĄSKIE,Jeleniów,,51.224843,15.232984,powiat bolesławiecki,JELENIOW,50.90027778,15.78888889,JELENIA GORA                            
