Year,Voivodeship,Zone code,Zone name,Station code,Indicator,Averaging Time,Mean [µg/m3],Min [µg/m3],Max [µg/m3],N Days > 120 (S8max),26 max (S8max) [µg/m3],Per. S93.2 (S8max) [µg/m3],AOT40 V-VII [µg/m3]*h,SOMO35 [µg/m3]*d,Number of measurements,Summer completeness [%],Winter completeness [%],Number of complete summer months (IV-IX),Completeness [%],Summer/Winter Number
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocBartni,O3,1g,46.522663876,-0.02222,156.604,6,105.626575,105.907225,11174.237511436,3365.257388733,8545,99,96,6,97.54,1.03
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWybCon,O3,1g,46.279460512,0,146.113,5,105.2217625,105.2217625,9882.669446715,3073.231576866,8679,99,99,6,99.07,1.01
2017,dolnośląskie,PL0202,miasto Legnica,DsLegAlRzecz,O3,1g,48.234700903,0,165.008,10,111.9145,112.173675,13083.130307552,3840.264177633,8579,99,97,6,97.93,1.03
2017,dolnośląskie,PL0203,miasto Wałbrzych,DsWalbrzWyso,O3,1g,53.802010458,0,157.181,10,110.563625,110.6675,15434.000540202,4332.911273123,8477,98,96,6,96.76,1.02
2017,dolnośląskie,PL0204,strefa dolnośląska,DsBoleslaMOB,O3,1g,51.774566894,0.18045,155.519,14,108.52575,110.69425,13280.741543169,3907.1144289,8433,99,93,6,96.26,1.07
2017,dolnośląskie,PL0204,strefa dolnośląska,DsCzerStraza,O3,1g,72.122787406,4.00111,148.196,20,118.826125,118.8475,15303.146969529,6117.308002273,8503,98,96,6,97.06,1.03
2017,dolnośląskie,PL0204,strefa dolnośląska,DsJelGorOgin,O3,1g,51.133378095,0,151.208,15,113.847,113.847,16353.686575182,4737.96844544,8661,99,99,6,98.86,1.01
2017,dolnośląskie,PL0204,strefa dolnośląska,DsKlodzSzkol,O3,1g,47.318676275,0,154.789,14,113.0603125,114.018575,14848.025985701,4508.038650546,8623,99,98,6,98.43,1.02
2017,dolnośląskie,PL0204,strefa dolnośląska,DsKudowaMOB,O3,1g,50.393685973,0.02558,147.571,12,109.91595,110.641275,13751.398739836,4311.863607998,8307,99,90,6,94.82,1.11
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,O3,1g,47.429616913,-0.01,162.979,14,107.5567375,107.6388625,13812.612258802,3808.22149704,8443,97,96,5,96.38,1.01
2017,dolnośląskie,PL0204,strefa dolnośląska,DsSniezkaObs,O3,1g,75.047083,11.9,144.2,6,112.325,112.325,9861.7,5833.5,8759,100,100,6,99.98,1.01
2017,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydWarszaw,O3,1g,39.301015047,0,132,1,85.625,85.875,3395.033898305,1105.888212221,8374,93,99,5,95.59,0.94
2017,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruDziewu,O3,1g,41.1055528,0,114.7,0,84.665819044,84.665819044,1840.462996986,912.698615902,8686,99,100,6,99.15,0.99
2017,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclChelmMOB,O3,1g,49.765297598,0.1,149.8,3,99.3625,100.1125,5961.900817439,2448.947222222,8619,100,97,6,98.39,1.03
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpCiechTezni,O3,1g,48.29716647,1,141,2,97,97.25,5861.946902655,2331.145960521,8470,96,97,5,96.68,0.99
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpKoniczynka,O3,1g,49.273239113,0.4,148.3,1,98.05,99.175,7098.860254083,2633.818998016,8703,99,99,6,99.34,1
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,O3,1g,49.225051095,0,143,2,88.875,90.875,5325.3512786,2047.316185319,6850,63,93,2,78.19,0.68
2017,lubelskie,PL0601,Aglomeracja Lubelska,LbLubObywate,O3,1g,47.99382041,0.1,138.8,5,104.3,104.3,9863.634451496,3168.350816122,8726,100,99,6,99.61,1.01
2017,lubelskie,PL0602,strefa lubelska,LbBiaPodOrze,O3,1g,50.052703478,0.51,131.18,0,103.44,103.44,8706.99353902,3089.763544536,8711,100,99,6,99.44,1.01
2017,lubelskie,PL0602,strefa lubelska,LbBiaSlupRPN,O3,1g,58.026575464,1.4,143.5,12,112.975,112.975,13162.9768,4928.732786426,8726,99,100,6,99.61,1
2017,lubelskie,PL0602,strefa lubelska,LbJarczWolaM,O3,1g,45.578708491,0,131.5,0,93.02375,93.02375,4048.413369863,1668.003538451,8739,100,100,6,99.76,1
2017,lubelskie,PL0602,strefa lubelska,LbWilczopole,O3,1g,51.438447918,1.7,145.2,5,103.8125,103.9625,7578.995744681,3175.281441083,8622,98,99,6,98.42,1
