Year,Voivodeship,Zone code,Zone name,Station code,Indicator,Averaging Time,Mean [µg/m3],Min [µg/m3],Max [µg/m3],Number of measurements,Completeness [%],Summer/Winter Number
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,Ca2+(PM2.5),24g,0.03031875,0.0002,0.0941,336,92.05,0.85
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,Ca2+(PM2.5),24g,0.175976128,0.01,0.59391396,344,94.24,0.89
2017,śląskie,PL2405,strefa śląska,SlGodGliniki,Ca2+(PM2.5),24g,0.08203908,0.0087,0.199,348,95.34,1.11
2017,śląskie,PL2405,strefa śląska,SlZlotPotLes,Ca2+(PM2.5),24g,0.051481268,0.01,0.249,347,95.06,0.99
2017,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmPuszczaBor,Ca2+(PM2.5),24g,0.039865922,0.007,0.112,358,98.08,1.03
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,Cl_(PM2.5),24g,0.07835119,0.005,1.081,336,92.05,0.85
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,Cl_(PM2.5),24g,0.119005359,0.01,0.53742802,344,94.24,0.89
2017,śląskie,PL2405,strefa śląska,SlGodGliniki,Cl_(PM2.5),24g,0.678551724,0.004,3.834,348,95.34,1.11
2017,śląskie,PL2405,strefa śląska,SlZlotPotLes,Cl_(PM2.5),24g,0.136997118,0.015,1.336,347,95.06,0.99
2017,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmPuszczaBor,Cl_(PM2.5),24g,0.126681818,0.02,0.302,352,96.43,1.07
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,EC(PM2.5),24g,0.714721893,0.09,6.112,338,92.6,0.86
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,EC(PM2.5),24g,0.437916072,0.00243905,1.88520531,172,47.12,0.89
2017,śląskie,PL2405,strefa śląska,SlGodGliniki,EC(PM2.5),24g,2.394748077,0.289,16.37,52,14.24,1
2017,śląskie,PL2405,strefa śląska,SlZlotPotLes,EC(PM2.5),24g,1.366173077,0.265,5.174,52,14.24,1
2017,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmPuszczaBor,EC(PM2.5),24g,0.403447293,0,2.9,351,96.16,1.06
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,K+(PM2.5),24g,0.097592262,0.019,0.458,336,92.05,0.85
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,K+(PM2.5),24g,0.085662535,0.01,0.40946897,344,94.24,0.89
2017,śląskie,PL2405,strefa śląska,SlGodGliniki,K+(PM2.5),24g,0.187086207,0.038,0.687,348,95.34,1.11
2017,śląskie,PL2405,strefa śląska,SlZlotPotLes,K+(PM2.5),24g,0.136259366,0.023,0.514,347,95.06,0.99
2017,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmPuszczaBor,K+(PM2.5),24g,0.064659091,0.01,0.19,352,96.43,1.07
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,Mg2+(PM2.5),24g,0.011886905,0.0002,0.056,336,92.05,0.85
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,Mg2+(PM2.5),24g,0.013463493,0.002,0.08633397,344,94.24,0.89
2017,śląskie,PL2405,strefa śląska,SlGodGliniki,Mg2+(PM2.5),24g,0.018238218,0.0026,0.084,348,95.34,1.11
2017,śląskie,PL2405,strefa śląska,SlZlotPotLes,Mg2+(PM2.5),24g,0.014529971,0.0015,0.059,347,95.06,0.99
2017,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmPuszczaBor,Mg2+(PM2.5),24g,0.009556818,0,0.027,352,96.43,1.07
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,Na+(PM2.5),24g,0.145706548,0.0013,0.692,336,92.05,0.85
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,Na+(PM2.5),24g,0.089410013,0.01,0.28376139,344,94.24,0.89
2017,śląskie,PL2405,strefa śląska,SlGodGliniki,Na+(PM2.5),24g,0.407793103,0.002,1.346,348,95.34,1.11
2017,śląskie,PL2405,strefa śląska,SlZlotPotLes,Na+(PM2.5),24g,0.167659942,0.01,0.659,347,95.06,0.99
2017,warmińsko-mazurskie,PL2803,strefa warmińsko-mazurska,WmPuszczaBor,Na+(PM2.5),24g,0.115298295,0.024,0.379,352,96.43,1.07
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,NH4+(PM2.5),24g,1.018077381,0.159,5.295,336,92.05,0.85
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,NH4+(PM2.5),24g,1.074691624,0.26987448,6.05672851,344,94.24,0.89
2017,śląskie,PL2405,strefa śląska,SlGodGliniki,NH4+(PM2.5),24g,1.775744253,0.295,7.934,348,95.34,1.11
