Year,Voivodeship,Zone code,Zone name,Station code,Indicator,Averaging Time,Mean [ng/m3],Min [ng/m3],Max [ng/m3],Number of measurements,Completeness [%],Summer/Winter Number
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWybCon,As(PM10),24g,3.71947619,0.335,15.944,357,97.8,1.02
2017,dolnośląskie,PL0202,miasto Legnica,DsLegAlRzecz,As(PM10),24g,9.683693151,1.632,30.494,365,100,1.01
2017,dolnośląskie,PL0203,miasto Wałbrzych,DsWalbrzWyso,As(PM10),24g,1.671251412,0.335,6.868,354,96.98,1.02
2017,dolnośląskie,PL0204,strefa dolnośląska,DsGlogWiStwo,As(PM10),24g,30.232212707,2.177,341.55,362,99.17,1
2017,dolnośląskie,PL0204,strefa dolnośląska,DsJelGorSoko,As(PM10),24g,1.915377841,0.115,7.3,352,96.43,1.08
2017,dolnośląskie,PL0204,strefa dolnośląska,DsNowRudSreb,As(PM10),24g,2.33231768,0.335,7.503,362,99.17,1.02
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOlawZolnAK,As(PM10),24g,2.614076705,0.335,8.834,352,96.43,0.94
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,As(PM10),24g,3.164851003,0.115,23.495,349,95.61,0.92
2017,dolnośląskie,PL0204,strefa dolnośląska,DsPolKasztan,As(PM10),24g,5.354718935,0.335,21.388,338,92.6,1.18
2017,dolnośląskie,PL0204,strefa dolnośląska,DsSzczaKolej,As(PM10),24g,1.801111111,0.335,7.331,360,98.63,1.01
2017,dolnośląskie,PL0204,strefa dolnośląska,DsZgorBohGet,As(PM10),24g,1.675694444,0.115,6.664,360,98.63,1.02
2017,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydPlPozna,As(PM10),24g,1.810608296,0.26,9.48066178,365,100,1.01
2017,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruDziewu,As(PM10),24g,1.360844658,0.26,5.914,365,100,1.01
2017,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclOkrze,As(PM10),24g,1.455121099,0.26,5.85606012,345,94.52,1.01
