Year,Voivodeship,Zone code,Zone name,Station code,Indicator,Averaging Time,Mean [mg/m3],Min [mg/m3],Max [mg/m3],Max (S8max) [mg/m3],Number of measurements,Completeness [%],Summer/Winter Number
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocAlWisn,CO,1g,0.651690434,0.137118,4.52572,3.7202125,8698,99.29,1
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWybCon,CO,1g,0.382957083,0.130048,4.48348,3.68138625,8660,98.85,1.01
2017,dolnośląskie,PL0202,miasto Legnica,DsLegAlRzecz,CO,1g,0.472237087,0.0984776,4.18709,3.60181,8710,99.42,1
2017,dolnośląskie,PL0203,miasto Wałbrzych,DsWalbrzWyso,CO,1g,0.421267719,0.117876,4.43289,3.93305,8586,98.01,1.02
2017,dolnośląskie,PL0204,strefa dolnośląska,DsBoleslaMOB,CO,1g,0.382715942,0.111273,4.31837,3.20822,8401,95.9,1.07
2017,dolnośląskie,PL0204,strefa dolnośląska,DsJelGorOgin,CO,1g,0.419070287,0.146302,4.1218,3.113615,8662,98.88,1.01
2017,dolnośląskie,PL0204,strefa dolnośląska,DsKudowaMOB,CO,1g,0.371865098,0.120006,3.52448,2.84222,8288,94.61,1.11
2017,dolnośląskie,PL0204,strefa dolnośląska,DsZgorBohGet,CO,1g,0.379160083,0.148254,3.03839,2.4517425,8686,99.15,1
2017,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydPlPozna,CO,1g,0.468794067,0.03,5.308,3.64425,8697,99.28,1
2017,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydWarszaw,CO,1g,0.470548555,0.097,3.409,2.46,8408,95.98,0.94
2017,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruKaszow,CO,1g,0.336975143,0.066,3.573,2.359,8368,95.52,1.08
2017,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclChelmMOB,CO,1g,0.294407338,0.034,2.06,1.567375,8312,94.88,1.07
2017,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclOkrze,CO,1g,0.565569717,0.158,4.395,3.575375,8722,99.56,1
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpGrudPilsud,CO,1g,0.585402059,0.031,8.113,6.617625,8352,95.34,1.09
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,CO,1g,0.2798761,0.09,1.204,1.06325,7611,86.88,0.77
2017,lubelskie,PL0601,Aglomeracja Lubelska,LbLubObywate,CO,1g,0.403191824,0.108,5.323,3.946875,8659,98.84,1
2017,lubuskie,PL0801,miasto Gorzów Wielkopolski,LuGorzKosGdy,CO,1g,0.352690962,0.06633,3.28773,2.80739,8703,99.34,1
2017,lubuskie,PL0802,miasto Zielona Góra,LuZielKrotka,CO,1g,0.339111981,0.1042,2.04977,1.414391429,8489,96.9,1.05
2017,lubuskie,PL0803,strefa lubuska,LuSulecDudka,CO,1g,0.366343147,0.09158,2.96655,1.813055,8730,99.65,1
2017,lubuskie,PL0803,strefa lubuska,LuWsKaziWiel,CO,1g,0.39612665,0.1232,3.46037,2.7053425,7806,89.1,0.86
2017,lubuskie,PL0803,strefa lubuska,LuZarySzyman,CO,1g,0.402388116,0.10489,5.49959,4.56842625,8730,99.65,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzCzerni,CO,1g,0.413902709,0.181,3.156,2.27875,8577,97.91,1.03
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzGdansk,CO,1g,0.517552976,0.182,4.388,2.58875,8702,99.33,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzJanPaw,CO,1g,0.573240713,0.261,4.27,2.64875,8641,98.64,1
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzKilins,CO,1g,0.579143634,0.19788,4.92372,3.889215,7700,87.89,1.25
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdZgieMielcz,CO,1g,0.534644787,0.18,5.565,4.058625,8623,98.43,1
2017,łódzkie,PL1002,strefa łódzka,LdPioTrKraPr,CO,1g,0.52298679,0.188,6.197,4.755125,8554,97.64,1.05
2017,łódzkie,PL1002,strefa łódzka,LdRadomsRoln,CO,1g,0.550718126,0.19,8.438376812,5.479576087,8610,98.28,1.02
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakAlKras,CO,1g,0.866372099,0.11765,4.38136,4.1246625,8655,98.8,1.01
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakBulwar,CO,1g,0.640189702,0.09852,4.84373,4.07680125,8644,98.67,1
2017,małopolskie,PL1202,miasto Tarnów,MpTarRoSitko,CO,1g,0.676256803,0.15814,5.4022,4.81682,8706,99.38,1
2017,małopolskie,PL1203,strefa małopolska,MpTrzebOsZWM,CO,1g,0.434606581,0.06675,3.72907,2.673975,8571,97.84,0.98
2017,małopolskie,PL1203,strefa małopolska,MpZakopaSien,CO,1g,0.527990895,0.09995,4.15286,3.1514925,8448,96.43,0.97
2017,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarAlNiepo,CO,1g,0.568239915,0.083097574,3.971,2.50625,8749,99.87,1.01
2017,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarMarszal,CO,1g,0.432784652,0.093478883,2.38143154,2.166457936,8634,98.56,0.99
2017,mazowieckie,PL1402,miasto Płock,MzPlocKroJad,CO,1g,0.354249028,0.11,2.707,1.647875,8746,99.84,1.01
2017,mazowieckie,PL1402,miasto Płock,MzPlocMiReja,CO,1g,0.357660578,0.123497165,3.31335636,1.710264426,8731,99.66,1.01
2017,mazowieckie,PL1403,miasto Radom,MzRadTochter,CO,1g,0.437798477,0.154454545,6.246267508,4.207299774,8692,99.22,1.02
2017,mazowieckie,PL1404,strefa mazowiecka,MzBelsIGFPAN,CO,1g,0.231632407,0.062,1.920138306,1.467392288,8650,98.74,1
2017,mazowieckie,PL1404,strefa mazowiecka,MzKonJezMos,CO,1g,0.403354691,0.047251139,2.404063629,2.002983909,8113,92.61,1.02
2017,mazowieckie,PL1404,strefa mazowiecka,MzOtwoBrzozo,CO,1g,0.416939421,0.138157676,6.370297213,5.084131877,8581,97.95,0.97
2017,opolskie,PL1602,strefa opolska,OpKKozBSmial,CO,1g,0.319582705,0.0389,3.43831,2.6872975,8558,97.69,1.03
2017,podkarpackie,PL1801,miasto Rzeszów,PkRzeszRejta,CO,1g,0.378704386,0.08251,5.37217,4.01487125,8709,99.41,1
2017,podkarpackie,PL1802,strefa podkarpacka,PkNiskoSzkla,CO,1g,0.244054653,0.00089,3.6379,2.5648275,8628,98.49,1.02
2017,podlaskie,PL2001,Aglomeracja Białostocka,PdBialWaszyn,CO,1g,0.339021504,0.124,2.058,1.57625,8417,96.08,1.05
2017,podlaskie,PL2002,strefa podlaska,PdAugustoZdrMOB,CO,1g,0.35254551,0.128,2.817,1.1145,3307,37.75,0.51
2017,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaLeczk08,CO,1g,0.405099347,0.1892,2.22309,1.705615,8428,96.21,1.02
2017,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaOstrz05,CO,1g,0.370698821,0.1226,2.14669,1.386900625,7903,90.21,0.95
2017,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaPoWie01,CO,1g,0.317588318,0.0966827,4.39087,2.11161125,8613,98.32,1.01
2017,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaWyzwo03,CO,1g,0.373076075,0.126761,2.20509,1.79295625,8405,95.94,1.06
