Year,Voivodeship,Zone code,Zone name,Station code,Indicator,Averaging Time,Mean [ng/m3],Min [ng/m3],Max [ng/m3],Number of measurements,Completeness [%],Summer/Winter Number
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,BaA(PM10),24g,2.448991404,0.025,24.026,349,95.61,0.92
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWybCon,BaA(PM10),24g,3.045607843,0.05,23.073,357,97.8,1.02
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpCiechTezni,BaA(PM10),24g,2.483960844,0.0484677,17.86490997,360,98.63,1.03
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,BaA(PM10),24g,0.832526621,0.00483769,4.92040886,324,88.76,0.78
2017,lubelskie,PL0601,Aglomeracja Lubelska,LbLubSliwins,BaA(PM10),24g,1.765246575,0.005,13.04,365,100,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzLegion,BaA(PM10),24g,2.785662765,0.03772727,16.607,365,100,1.01
2017,lubuskie,PL0802,miasto Zielona Góra,LuZielKrotka,BaA(PM10),24g,1.958407821,0.02,8.54,358,98.08,0.97
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakBujaka,BaA(PM10),24g,7.802550725,0.18,67.53,345,94.52,1.09
2017,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarAKrzywo,BaA(PM10),24g,1.982814507,0.01711,11.61719,355,97.26,0.95
2017,opolskie,PL1601,miasto Opole,OpOpoleOsAKr,BaA(PM10),24g,5.258063063,0.073,35.975,333,91.23,0.99
2017,podlaskie,PL2001,Aglomeracja Białostocka,PdBialWaszyn,BaA(PM10),24g,2.562647588,0.02568785,20.42457808,343,93.97,0.9
2017,podlaskie,PL2002,strefa podlaska,PdSuwPulaski,BaA(PM10),24g,3.26500144,0.02173785,31.06066327,343,93.97,0.9
2017,podkarpackie,PL1802,strefa podkarpacka,PkJasloSikor,BaA(PM10),24g,4.073369444,0.1,27.5,360,98.63,1.02
2017,pomorskie,PL2201,Aglomeracja Trójmiejska,PmGdaLecz08m,BaA(PM10),24g,0.6532493,0.021,3.7,357,97.8,0.98
2017,pomorskie,PL2202,strefa pomorska,PmKosTargo12,BaA(PM10),24g,5.384690608,0.051,26,362,99.17,1
2017,pomorskie,PL2202,strefa pomorska,PmWejhPlWejh,BaA(PM10),24g,3.7647375,0.005,16,320,87.67,0.9
