Year,Voivodeship,Zone code,Zone name,Station code,Indicator,Averaging time,Mean [µg/m3],Min [µg/m3],Max [µg/m3],L>200 (S1),19 max (S1) [µg/m3],Perc. 99.8 (S1) [µg/m3],Number of measurements,Completeness [%],Summer/Winter Number
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocAlWisn,NO2,1g,48.108757915,4.25101,173.087,0,135.89,136.025,8702,99.33,1
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocBartni,NO2,1g,15.406401046,0.89439,96.8423,0,65.2077,66.0113,8661,98.86,1.01
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWybCon,NO2,1g,22.10586825,0.2544,124.717,0,93.8431,94.3954,8661,98.86,1.01
2017,dolnośląskie,PL0202,miasto Legnica,DsLegAlRzecz,NO2,1g,20.853368607,1.6661,117.607,0,87.9817,88.6966,8713,99.46,1
2017,dolnośląskie,PL0203,miasto Wałbrzych,DsWalbrzWyso,NO2,1g,15.238260303,0,150.808,0,95.2069,96.4662,8549,97.59,1.01
2017,dolnośląskie,PL0204,strefa dolnośląska,DsBoleslaMOB,NO2,1g,18.219570007,0,124.422,0,91.0692,91.0804,8290,94.63,1.07
2017,dolnośląskie,PL0204,strefa dolnośląska,DsCzerStraza,NO2,1g,5.948019817,0,59.1541,0,39.2783,39.5062,8478,96.78,1.03
2017,dolnośląskie,PL0204,strefa dolnośląska,DsDzialoszyn,NO2,1g,10.679499821,0.32345,73.1165,0,63.07,63.5156,8550,97.6,0.98
2017,dolnośląskie,PL0204,strefa dolnośląska,DsDziePilsud,NO2,1g,16.842793449,1.44316,115.699,0,85.3481,85.6746,8678,99.06,1.01
2017,dolnośląskie,PL0204,strefa dolnośląska,DsJelGorOgin,NO2,1g,12.654663994,0.60122,98.6461,0,71.7372,73.6486,8660,98.85,1.01
2017,dolnośląskie,PL0204,strefa dolnośląska,DsKlodzSzkol,NO2,1g,16.897248675,1.0998,140.382,0,78.5588,78.6567,8435,96.28,1.06
2017,dolnośląskie,PL0204,strefa dolnośląska,DsKudowaMOB,NO2,1g,10.784000293,0.79375,81.4363,0,73.135,73.4211,8291,94.64,1.11
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOlawZolnAK,NO2,1g,16.19942721,1.19181,109.755,0,69.0538,69.6729,8617,98.36,0.98
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,NO2,1g,8.1558419,0,66.945,0,55.3938,55.5032,8541,97.5,1
2017,dolnośląskie,PL0204,strefa dolnośląska,DsSniezkaObs,NO2,24g,3.832054795,1,11.2,,,,365,100,1.01
2017,dolnośląskie,PL0204,strefa dolnośląska,DsZabkPowWar,NO2,1g,13.97666058,0.06267,85.1037,0,59.3554,59.6804,8610,98.28,0.99
2017,dolnośląskie,PL0204,strefa dolnośląska,DsZgorBohGet,NO2,1g,16.370372253,0.95812,103.071,0,75.5957,75.6881,8674,99.01,1
2017,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydPlPozna,NO2,1g,27.153907057,0.1,111.6,0,89.3,89.8,8715,99.48,1
2017,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydWarszaw,NO2,1g,20.323965728,0.1,111,0,82.8,84.7,8170,93.26,0.93
2017,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruKaszow,NO2,1g,21.89435725,2.3,104.4,0,93.1,93.5,8028,91.64,1.06
2017,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruWSikor,NO2,1g,12.675998004,0,94.1,0,69,70.2,8016,91.5,1.03
2017,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclChelmMOB,NO2,1g,11.475498339,0,65.3,0,50.4,51,8428,96.21,0.98
2017,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclOkrze,NO2,1g,26.990566038,2.6,103.9,0,89.1,90,8745,99.82,1
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpCiechTezni,NO2,1g,11.306750207,0.6,80.7,0,57.1,57.3,8459,96.56,1
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpGrudPilsud,NO2,1g,25.081159806,0.4,116.9,0,89.1,89.3,8254,94.22,1.07
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpInowSolank,NO2,1g,8.895351773,0,82.8,0,54.5,54.9,8713,99.46,1
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpKoniczynka,NO2,1g,8.879496445,0.8,62.2,0,46.8,47,8579,97.93,1.03
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,NO2,1g,4.74591293,0,45.7,0,33.3,34.6,7695,87.84,0.82
2017,lubelskie,PL0601,Aglomeracja Lubelska,LbLubObywate,NO2,1g,21.730689892,1.6,119.7,0,96.8,96.8,8726,99.61,1.01
2017,lubelskie,PL0602,strefa lubelska,LbBiaPodOrze,NO2,1g,11.594980473,0,102.7,0,74.6,75.1,8706,99.38,1
2017,lubelskie,PL0602,strefa lubelska,LbBiaSlupRPN,NO2,1g,6.759840205,0.2,58.9,0,42.8,42.8,8704,99.36,1
2017,lubelskie,PL0602,strefa lubelska,LbJarczWolaM,NO2,24g,7.078551532,0.7,23.3,,,,359,98.35,1.02
2017,lubelskie,PL0602,strefa lubelska,LbPulaKarpin,NO2,1g,11.469133822,0,116.6,0,73.4,74.8,8728,99.63,1.01
2017,lubelskie,PL0602,strefa lubelska,LbZamoHrubie,NO2,1g,14.530282132,0.77,97.1,0,67.2,67.4,8613,98.32,1.02
2017,lubuskie,PL0801,miasto Gorzów Wielkopolski,LuGorzKosGdy,NO2,1g,19.779529936,0,101.8,0,85.0926,86.3087,8699,99.3,1
2017,lubuskie,PL0802,miasto Zielona Góra,LuZielKrotka,NO2,1g,17.76498804,1.43347,96.4222,0,77.2501,77.6251,8643,98.66,1.02
2017,lubuskie,PL0803,strefa lubuska,LuSmolBytnic,NO2,1g,5.996233429,0.00829,55.1748,0,31.6567,32.1052,8524,97.3,1.02
2017,lubuskie,PL0803,strefa lubuska,LuSulecDudka,NO2,1g,8.989594958,0.05152,49.6159,0,35.7284,36.3695,7519,85.83,1.11
2017,lubuskie,PL0803,strefa lubuska,LuWsKaziWiel,NO2,1g,12.510247934,0.01125,117.276,0,69.4561,70.1985,8632,98.53,1.03
2017,lubuskie,PL0803,strefa lubuska,LuZarySzyman,NO2,1g,19.14304874,0.46621,88.8979,0,75.2962,75.3732,8732,99.68,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzCzerni,NO2,1g,18.938093559,2.4,121.2,0,86.2,87.3,8508,97.12,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzGdansk,NO2,1g,24.43198632,2.2,131,0,97.9,98.1,8711,99.44,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzJanPaw,NO2,1g,28.457250205,2.2,190.2,0,131.8,131.9,8517,97.22,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzKilins,NO2,1g,25.625286766,2.37212,152.86783,0,107.75929,109.63403,7824,89.31,1.27
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdPabiKonsta,NO2,1g,19.516180218,1.3,144.4,0,98.6,99.1,8634,98.56,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdZgieMielcz,NO2,1g,18.186260069,1.7,116,0,89.1,89.9,8690,99.2,1.01
2017,łódzkie,PL1002,strefa łódzka,LdGajewUjWod,NO2,1g,10.402413184,1,77.7,0,61.9043956,62.2,8495,96.97,1
2017,łódzkie,PL1002,strefa łódzka,LdParzniUjWo,NO2,1g,12.825033713,1.5,121.1,0,75.8,77.4,8157,93.11,1.02
2017,łódzkie,PL1002,strefa łódzka,LdPioTrKraPr,NO2,1g,20.184484802,2.2,154.8,0,97.66,100.9,8479,96.79,1.03
2017,łódzkie,PL1002,strefa łódzka,LdRadomsRoln,NO2,1g,20.391619956,2.28,125.76,0,92.31,92.74,8599,98.16,1.02
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakAlKras,NO2,1g,60.526749643,4.50223,190.507,0,152.767,153.469,8648,98.72,1
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakBujaka,NO2,1g,32.541269563,1.3354,181.16,0,136.481,138.802,8508,97.12,0.98
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakBulwar,NO2,1g,29.529486489,2.12453,140.127,0,100.18,101.528,8647,98.71,1
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakDietla,NO2,1g,41.644607155,5.51931,227.487,1,144.635,145.141,8723,99.57,1
2017,małopolskie,PL1202,miasto Tarnów,MpTarBitStud,NO2,1g,22.685341833,1,125.057,0,92.8969,93.0071,8662,98.88,1.01
2017,małopolskie,PL1202,miasto Tarnów,MpTarRoSitko,NO2,1g,31.754023637,2.40963,179.408,0,114.942,115.741,7904,90.22,1.23
2017,małopolskie,PL1203,strefa małopolska,MpKaszowLisz,NO2,1g,16.358447881,0.9953,133.724,0,93.0098,97.9958,8007,91.4,1.15
2017,małopolskie,PL1203,strefa małopolska,MpNoSaczNadb,NO2,1g,25.537051873,1.86606,142.081,0,104.903,108.039,8678,99.06,1
2017,małopolskie,PL1203,strefa małopolska,MpSkawOsOgro,NO2,1g,20.515271918,1.47755,115.006,0,80.0941,80.4707,8597,98.13,0.99
2017,małopolskie,PL1203,strefa małopolska,MpSzarowSpok,NO2,1g,16.836935527,1.25557,82.3123,0,65.0374,65.8473,8672,98.99,1.01
2017,małopolskie,PL1203,strefa małopolska,MpSzymbaGorl,NO2,1g,6.888574065,0.99778,52.8515,0,35.3209,36.5179,8259,94.28,1.05
2017,małopolskie,PL1203,strefa małopolska,MpTrzebOsZWM,NO2,1g,18.243252291,1,114.636,0,96.987,97.4072,8621,98.41,1
2017,małopolskie,PL1203,strefa małopolska,MpZakopaSien,NO2,1g,20.392721814,1.02292,157.138,0,119.536,119.922,8684,99.13,1
2017,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarAlNiepo,NO2,1g,51.652634087,3.93,194.8,0,147.49,147.6,8654,98.78,1.03
2017,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarKondrat,NO2,1g,26.042210198,1.96,122.48,0,99.200001,99.28,8692,99.22,1.02
2017,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarMarszal,NO2,1g,37.651426764,0.1,144.30938585,0,112.31027592,112.88290313,8511,97.15,0.97
2017,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarWokalna,NO2,1g,22.85305915,1.02,138.62,0,103.22,103.51,8656,98.81,0.99
2017,mazowieckie,PL1402,miasto Płock,MzPlocKroJad,NO2,1g,13.094743692,0.16,102.76,0,67.86,67.86,8759,99.98,1.01
2017,mazowieckie,PL1402,miasto Płock,MzPlocMiReja,NO2,1g,15.899314751,1.25,110.03,0,74.63,74.87803987,8723,99.57,1
2017,mazowieckie,PL1403,miasto Radom,MzRadTochter,NO2,1g,21.327035184,2.24,162.69,0,94.89,95.41,8690,99.2,1.01
2017,mazowieckie,PL1404,strefa mazowiecka,MzBelsIGFPAN,NO2,1g,9.199373886,0.1,81.7,0,56.302246,57.9,8672,98.99,1
2017,mazowieckie,PL1404,strefa mazowiecka,MzGranicaKPN,NO2,1g,9.869930375,0.06,85.78,0,51.94,52.34,8474,96.73,0.97
2017,mazowieckie,PL1404,strefa mazowiecka,MzGutyDuCzer,NO2,1g,4.668145938,0.1195,36.806,0,29.7555,30.353,8346,95.27,1.05
2017,mazowieckie,PL1404,strefa mazowiecka,MzKonJezMos,NO2,1g,18.43271476,2.43,123.52,0,79.02,79.32,8137,92.88,1.02
2017,mazowieckie,PL1404,strefa mazowiecka,MzLegZegrzyn,NO2,1g,15.636476036,-0.02,94.92,0,72.94,73.24,8638,98.6,0.98
2017,mazowieckie,PL1404,strefa mazowiecka,MzOtwoBrzozo,NO2,1g,18.666011296,1.65343799,120.79,0,104.41,105.99,8590,98.05,0.97
2017,mazowieckie,PL1404,strefa mazowiecka,MzPiasPulask,NO2,1g,24.111542646,3.17,125.38,0,98.74,99.18,8641,98.64,1.01
