Year,Voivodeship,Zone code,Zone name,Station code,Indicator,Averaging Time,Mean [µg/m3],Min [µg/m3],Max [µg/m3],Number of measurements,Completeness [%],Summer/Winter Number
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocAlWisn,PM2.5,1g,22.875312551,0,285.028,8471,96.7,0.95
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocNaGrob,PM2.5,24g,20.736816901,4.19,177.39,355,97.26,1.06
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWybCon,PM2.5,1g,23.000955141,0,352.63,8428,96.21,0.96
2017,dolnośląskie,PL0202,miasto Legnica,DsLegAlRzecz,PM2.5,24g,23.883972603,4.21,204.29,365,100,1.01
2017,dolnośląskie,PL0203,miasto Wałbrzych,DsWalbrzWyso,PM2.5,24g,21.386867816,3.82,212.43,348,95.34,1.1
2017,dolnośląskie,PL0204,strefa dolnośląska,DsJelGorOgin,PM2.5,1g,22.450985308,0,371.625,8527,97.34,0.97
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,PM2.5,24g,16.215414201,2.29,129.32,338,92.6,0.86
2017,dolnośląskie,PL0204,strefa dolnośląska,DsZgorBohGet,PM2.5,24g,19.096373938,2.64,149.29,353,96.71,1.02
2017,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydBerling,PM2.5,24g,15.751094423,1.13988981,119.48714872,359,98.35,1.04
2017,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydPlPozna,PM2.5,1g,22.166025046,1,330.4,8624,98.44,1
2017,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydWarszaw,PM2.5,1g,26.797024108,1.0726,305.9561,6293,71.83,0.95
2017,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruDziewu,PM2.5,1g,18.431396544,1.0178,173.8844,7119,81.26,1.22
2017,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruDziewu,PM2.5,24g,18.451630518,2.97169461,134.67087619,365,100,1.01
