Year,Voivodeship,Zone code,Zone name,Station code,Indicator,Averaging Time,Mean [µg/m3],Min [µg/m3],Max [µg/m3],Number of measurements,Completeness [%],Summer/Winter Number
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWybCon,Pb(PM10),24g,0.014551092,0.00506,0.03791,357,97.8,1.02
2017,dolnośląskie,PL0202,miasto Legnica,DsLegAlRzecz,Pb(PM10),24g,0.038042548,0.00761,0.12662,365,100,1.01
2017,dolnośląskie,PL0203,miasto Wałbrzych,DsWalbrzWyso,Pb(PM10),24g,0.015028333,0.0049,0.05282,354,96.98,1.02
2017,dolnośląskie,PL0204,strefa dolnośląska,DsGlogWiStwo,Pb(PM10),24g,0.036107017,0.01063,0.12466,362,99.17,1
2017,dolnośląskie,PL0204,strefa dolnośląska,DsJelGorSoko,Pb(PM10),24g,0.012941335,0.00428,0.04991,352,96.43,1.08
2017,dolnośląskie,PL0204,strefa dolnośląska,DsNowRudSreb,Pb(PM10),24g,0.016171713,0.00412,0.06119,362,99.17,1.02
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOlawZolnAK,Pb(PM10),24g,0.01202142,0.00381,0.03749,352,96.43,0.94
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,Pb(PM10),24g,0.008496905,0.00091,0.04689,349,95.61,0.92
2017,dolnośląskie,PL0204,strefa dolnośląska,DsPolKasztan,Pb(PM10),24g,0.015226183,0.00273,0.0603,338,92.6,1.18
2017,dolnośląskie,PL0204,strefa dolnośląska,DsSzczaKolej,Pb(PM10),24g,0.013289722,0.00027,0.05579,360,98.63,1.01
2017,dolnośląskie,PL0204,strefa dolnośląska,DsZgorBohGet,Pb(PM10),24g,0.011408222,0.00178,0.04917,360,98.63,1.02
2017,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydPlPozna,Pb(PM10),24g,0.016431241,0.00223934,0.05905925,365,100,1.01
2017,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruDziewu,Pb(PM10),24g,0.009703562,0.0029,0.0358,365,100,1.01
2017,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclOkrze,Pb(PM10),24g,0.011829307,0.00313941,0.04872132,345,94.52,1.01
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpBrodKochan,Pb(PM10),24g,0.011357143,0.0022,0.0386,364,99.72,1
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpCiechTezni,Pb(PM10),24g,0.010590305,0.00111969,0.04911255,360,98.63,1.03
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpGrudSienki,Pb(PM10),24g,0.016864384,0.0022,0.0635,365,100,1.01
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpInowSolank,Pb(PM10),24g,0.01023899,0.00248815,0.03527695,365,100,1.01
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpKoniczynka,Pb(PM10),24g,0.009278904,0.0023,0.0429,365,100,1.01
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpNaklSkargi,Pb(PM10),24g,0.019869781,0.00228081,0.06206683,348,95.34,1
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,Pb(PM10),24g,0.004237227,0.00079406,0.02119333,324,88.76,0.78
2017,lubelskie,PL0601,Aglomeracja Lubelska,LbLubSliwins,Pb(PM10),24g,0.006629616,0.00175,0.03205,365,100,1.01
2017,lubelskie,PL0602,strefa lubelska,LbZamoHrubie,Pb(PM10),24g,0.007108411,0.00143,0.03851,365,100,1.01
2017,lubuskie,PL0801,miasto Gorzów Wielkopolski,LuGorzKosGdy,Pb(PM10),24g,0.006968427,0.0002,0.03665,337,92.32,1.19
2017,lubuskie,PL0801,miasto Gorzów Wielkopolski,LuGorzPilsud,Pb(PM10),24g,0.005573835,0.0002,0.03052,352,96.43,0.93
2017,lubuskie,PL0802,miasto Zielona Góra,LuZielKrotka,Pb(PM10),24g,0.014632821,0.0002,0.07204,358,98.08,0.97
2017,lubuskie,PL0803,strefa lubuska,LuSulecDudka,Pb(PM10),24g,0.007237357,0.0002,0.05324,333,91.23,0.84
2017,lubuskie,PL0803,strefa lubuska,LuWsKaziWiel,Pb(PM10),24g,0.017952423,0.00155,0.08693,359,98.35,1.02
2017,lubuskie,PL0803,strefa lubuska,LuZarySzyman,Pb(PM10),24g,0.010195507,0.00177,0.0428,365,100,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzLegion,Pb(PM10),24g,0.016991781,0.004,0.068,365,100,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzRudzka,Pb(PM10),24g,0.018332418,0.005,0.071,364,99.72,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdPabiKilins,Pb(PM10),24g,0.01793994,0.006,0.066,333,91.23,1.13
2017,łódzkie,PL1002,strefa łódzka,LdPioTrKraPr,Pb(PM10),24g,0.018582873,0.005,0.088,362,99.17,1.02
2017,łódzkie,PL1002,strefa łódzka,LdSieraPolna,Pb(PM10),24g,0.015164835,0.005,0.054,364,99.72,1
2017,łódzkie,PL1002,strefa łódzka,LdSkierKonop,Pb(PM10),24g,0.013728022,0.005,0.047,364,99.72,1
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakBujaka,Pb(PM10),24g,0.016574551,0.00318,0.08176,345,94.52,1.09
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakBulwar,Pb(PM10),24g,0.026210424,0.00759,0.143,354,96.98,1.02
2017,małopolskie,PL1201,Aglomeracja Krakowska,MpKrakWadow,Pb(PM10),24g,0.015449903,0.00607,0.03895,310,84.93,1.44
2017,małopolskie,PL1202,miasto Tarnów,MpTarBitStud,Pb(PM10),24g,0.016327056,0.00385,0.10268,360,98.63,1.03
2017,małopolskie,PL1203,strefa małopolska,MpNoSaczNadb,Pb(PM10),24g,0.018008481,0.00505,0.06849,362,99.17,1.02
2017,małopolskie,PL1203,strefa małopolska,MpTrzebOsZWM,Pb(PM10),24g,0.026047167,0.00971,0.0798,360,98.63,1.01
2017,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarAKrzywo,Pb(PM10),24g,0.009027042,0.00181,0.03034,355,97.26,0.95
2017,mazowieckie,PL1401,Aglomeracja Warszawska,MzWarAlNiepo,Pb(PM10),24g,0.009442164,0.00322,0.02628,365,100,1.01
2017,mazowieckie,PL1402,miasto Płock,MzPlocKroJad,Pb(PM10),24g,0.007169753,0.00172,0.03549,364,99.72,1.01
2017,mazowieckie,PL1403,miasto Radom,MzRad25Czerw,Pb(PM10),24g,0.011122712,0.00266,0.03998,365,100,1.01
2017,mazowieckie,PL1404,strefa mazowiecka,MzGutyDuCzer,Pb(PM10),24g,0.004290367,0.0008,0.01513,354,96.98,1.07
2017,mazowieckie,PL1404,strefa mazowiecka,MzKonJezMos,Pb(PM10),24g,0.008002324,0.0008,0.0231,327,89.58,0.9
2017,mazowieckie,PL1404,strefa mazowiecka,MzOstroHalle,Pb(PM10),24g,0.004961671,0.0008,0.01659,365,100,1.01
2017,mazowieckie,PL1404,strefa mazowiecka,MzOtwoBrzozo,Pb(PM10),24g,0.013668726,0.00297,0.04423,361,98.9,1.01
2017,mazowieckie,PL1404,strefa mazowiecka,MzSiedKonars,Pb(PM10),24g,0.007249699,0.0008,0.02342,365,100,1.01
