Year,Voivodeship,Zone code,Zone name,Station code,Indicator,Averaging Time,Mean [ng/m3],Min [ng/m3],Max [ng/m3],Number of measurements,Completeness [%],Summer/Winter Number
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocOrzech,BaP(PM10),24g,3.007610028,0.05,21.033,359,98.35,1.01
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWybCon,BaP(PM10),24g,3.151865546,0.05,19.34,357,97.8,1.02
2017,dolnośląskie,PL0202,miasto Legnica,DsLegAlRzecz,BaP(PM10),24g,4.239416438,0.05,27.684,365,100,1.01
2017,dolnośląskie,PL0203,miasto Wałbrzych,DsWalbrzWyso,BaP(PM10),24g,6.608333333,0.588,41.702,354,96.98,1.02
2017,dolnośląskie,PL0204,strefa dolnośląska,DsGlogWiStwo,BaP(PM10),24g,4.228950276,0.05,32.583,362,99.17,1
2017,dolnośląskie,PL0204,strefa dolnośląska,DsJelGorSoko,BaP(PM10),24g,5.59440625,0.052,44.367,352,96.43,1.08
2017,dolnośląskie,PL0204,strefa dolnośląska,DsNowRudSreb,BaP(PM10),24g,15.854060773,0.295,82.663,362,99.17,1.02
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOlawZolnAK,BaP(PM10),24g,3.812909091,0.05,18.877,352,96.43,0.94
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,BaP(PM10),24g,2.440143266,0.025,18.817,349,95.61,0.92
2017,dolnośląskie,PL0204,strefa dolnośląska,DsPolKasztan,BaP(PM10),24g,2.374085799,0.05,19.505,338,92.6,1.18
2017,dolnośląskie,PL0204,strefa dolnośląska,DsSzczaKolej,BaP(PM10),24g,7.066297222,0.44,39.56,360,98.63,1.01
2017,dolnośląskie,PL0204,strefa dolnośląska,DsZgorBohGet,BaP(PM10),24g,3.322858333,0.025,25.246,360,98.63,1.02
2017,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydPlPozna,BaP(PM10),24g,3.873000234,0.04323165,20.28842094,365,100,1.01
2017,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruDziewu,BaP(PM10),24g,2.279291507,0.0784,13.4115,365,100,1.01
2017,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclOkrze,BaP(PM10),24g,3.925077605,0.09324975,19.48565136,345,94.52,1.01
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpBrodKochan,BaP(PM10),24g,5.564444505,0.1833,21.9148,364,99.72,1
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpCiechTezni,BaP(PM10),24g,2.804447205,0.0896782,16.42887397,360,98.63,1.03
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpGrudSienki,BaP(PM10),24g,5.033136712,0.0676,24.9306,365,100,1.01
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpInowSolank,BaP(PM10),24g,2.370998347,0.06531382,15.2070157,365,100,1.01
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpKoniczynka,BaP(PM10),24g,2.36873863,0.0506,13.5401,365,100,1.01
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpNaklSkargi,BaP(PM10),24g,7.823676159,0.16380258,31.90655891,348,95.34,1
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,BaP(PM10),24g,0.892737805,0.01318565,5.05504168,324,88.76,0.78
2017,lubelskie,PL0601,Aglomeracja Lubelska,LbLubSliwins,BaP(PM10),24g,2.146356164,0.02,12.12,365,100,1.01
2017,lubelskie,PL0602,strefa lubelska,LbBiaPodOrze,BaP(PM10),24g,3.820801105,0.07,23.08,362,99.17,1.02
2017,lubelskie,PL0602,strefa lubelska,LbChelJagiel,BaP(PM10),24g,3.173726027,0.07,20.03,365,100,1.01
2017,lubelskie,PL0602,strefa lubelska,LbKrasKoszar,BaP(PM10),24g,3.304438356,0.05,21.95,365,100,1.01
2017,lubelskie,PL0602,strefa lubelska,LbZamoHrubie,BaP(PM10),24g,3.012849315,0.02,17.98,365,100,1.01
2017,lubuskie,PL0801,miasto Gorzów Wielkopolski,LuGorzKosGdy,BaP(PM10),24g,2.606676558,0.05,13.75,337,92.32,1.19
2017,lubuskie,PL0801,miasto Gorzów Wielkopolski,LuGorzPilsud,BaP(PM10),24g,1.668153409,0.03,7.84,352,96.43,0.93
2017,lubuskie,PL0802,miasto Zielona Góra,LuZielKrotka,BaP(PM10),24g,1.879217877,0.03,7.01,358,98.08,0.97
2017,lubuskie,PL0803,strefa lubuska,LuSulecDudka,BaP(PM10),24g,2.585615616,0.06,11.02,333,91.23,0.84
2017,lubuskie,PL0803,strefa lubuska,LuWsKaziWiel,BaP(PM10),24g,2.853314763,0.08,17.92,359,98.35,1.02
2017,lubuskie,PL0803,strefa lubuska,LuZarySzyman,BaP(PM10),24g,1.892054795,0.04,9.41,365,100,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzLegion,BaP(PM10),24g,4.128032877,0.10779221,20.516,365,100,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzRudzka,BaP(PM10),24g,6.283793207,0.12363636,41.555,364,99.72,1.01
