Year,Voivodeship,Zone code,Zone name,Station code,Indicator,Averaging Time,Mean [µg/m3],Min [µg/m3],Max [µg/m3],L>50 (S24),36 max (S24) [µg/m3],Perc. 90.4 (S24) [µg/m3],Max (S24) [µg/m3],Number of measurements,Completeness [%],Summer/Winter number
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocOrzech,PM10,24g,28.691030641,6.45,224.16,46,54.36,54.88,224.16,359,98.35,1.01
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWybCon,PM10,1g,31.223197695,6.356,367.287,46,57.602170833,57.949733333,240.440625,8389,95.76,0.99
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWybCon,PM10,24g,30.303109244,7.17,248.82,50,57.98,58.4,248.82,357,97.8,1.02
2017,dolnośląskie,PL0202,miasto Legnica,DsLegAlRzecz,PM10,1g,34.631196443,0,420.276,58,67.2213875,68.264229167,274.054690909,8379,95.65,0.93
2017,dolnośląskie,PL0202,miasto Legnica,DsLegAlRzecz,PM10,24g,32.514109589,7.56,240.7,56,63.39,63.39,240.7,365,100,1.01
2017,dolnośląskie,PL0203,miasto Wałbrzych,DsWalbrzWyso,PM10,1g,26.856403866,0,555.73,40,52.176204167,52.819125,269.033041667,8341,95.21,0.96
2017,dolnośląskie,PL0203,miasto Wałbrzych,DsWalbrzWyso,PM10,24g,27.933409091,4.2,243,40,52.66,52.87,243,352,96.43,1.03
2017,dolnośląskie,PL0204,strefa dolnośląska,DsBoleslaMOB,PM10,1g,33.275887003,0,458.102,50,58.516475,60.592741667,229.7477125,8026,91.62,0.97
2017,dolnośląskie,PL0204,strefa dolnośląska,DsDzialoszyn,PM10,1g,26.674108913,0,197.817,27,45.958816667,46.434991667,136.401141667,8291,94.64,0.91
2017,dolnośląskie,PL0204,strefa dolnośląska,DsDziePilsud,PM10,1g,30.769002742,0,549.828,50,66.1563625,66.545123333,254.0074875,8465,96.63,0.96
2017,dolnośląskie,PL0204,strefa dolnośląska,DsGlogWiStwo,PM10,24g,28.215041322,6.35,208.52,41,55.47,55.47,208.52,363,99.45,0.99
2017,dolnośląskie,PL0204,strefa dolnośląska,DsJelGorOgin,PM10,1g,29.461856259,0,407.719,45,57.393079167,57.3981125,204.811466667,8484,96.84,0.96
2017,dolnośląskie,PL0204,strefa dolnośląska,DsJelGorSoko,PM10,24g,29.29628169,3.79,230.15,40,52.93,53.81,230.15,355,97.26,1.06
2017,dolnośląskie,PL0204,strefa dolnośląska,DsKlodzSzkol,PM10,1g,35.795047858,0,368.854,68,81.0952375,83.8575375,211.437495833,8385,95.71,0.95
2017,dolnośląskie,PL0204,strefa dolnośląska,DsKudowaMOB,PM10,1g,25.522960614,0,367.242,26,42.763891667,45.988354167,176.396434783,8166,93.21,1.05
2017,dolnośląskie,PL0204,strefa dolnośląska,DsNowRudSreb,PM10,1g,49.76151234,0,664.586,103,111.524345833,125.166070833,360.220958333,8222,93.85,0.96
2017,dolnośląskie,PL0204,strefa dolnośląska,DsNowRudSreb,PM10,24g,48.34698895,5.4,300.87,102,110.78,110.78,300.87,362,99.17,1.02
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOlawZolnAK,PM10,24g,29.011846591,5.43,205.07,44,57.37,57.7,205.07,352,96.43,0.94
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOlesBrzozo,PM10,24g,27.987917808,5.34,179.4,43,55.34,55.34,179.4,365,100,1.01
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,PM10,24g,19.589426934,4.06,137.27,23,38.55,40.39,137.27,349,95.61,0.92
2017,dolnośląskie,PL0204,strefa dolnośląska,DsPolKasztan,PM10,24g,25.185102639,4.63,138.72,32,45.29,47.46,138.72,341,93.42,1.16
2017,dolnośląskie,PL0204,strefa dolnośląska,DsSwidnFolwa,PM10,24g,31.533863014,5.25,176.37,50,61.25,61.25,176.37,365,100,1.01
2017,dolnośląskie,PL0204,strefa dolnośląska,DsSzczaKolej,PM10,24g,28.021024931,4.32,230.7,40,51.82,51.82,230.7,361,98.9,1.01
2017,dolnośląskie,PL0204,strefa dolnośląska,DsZabkPowWar,PM10,1g,28.619590991,0,335.712,44,55.853241667,56.376729167,146.804741667,8365,95.49,0.93
2017,dolnośląskie,PL0204,strefa dolnośląska,DsZgorBohGet,PM10,24g,25.569108635,4.31,169.49,35,50.22,50.6,169.49,359,98.35,1.03
2017,dolnośląskie,PL0204,strefa dolnośląska,DsZlotoStasz,PM10,24g,29.026153846,5.94,191.54,42,54.27,54.27,191.54,364,99.72,1
2017,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydPlPozna,PM10,1g,38.058163449,1.32,399.3018,54,62.014120833,67.221070833,229.6162,7469,85.26,0.83
2017,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydPlPozna,PM10,24g,34.458572238,8.2185667,220.19330154,55,61.54013526,61.54013526,220.19330154,362,99.17,1
2017,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydWarszaw,PM10,1g,34.892883312,1.036,377.164,59,66.080241667,67.299175,230.298858333,8479,96.79,1.03
2017,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruDziewu,PM10,1g,26.157601439,1.02554369,219.95214563,25,41.909087379,43.374883494,153.431622202,7968,90.95,0.99
2017,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruDziewu,PM10,24g,26.354906927,4.31166252,150.59957361,28,44.87163463,44.87163463,150.59957361,365,100,1.01
2017,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruKaszow,PM10,1g,23.937770747,1,245.6,19,36.717391304,37.745833333,142.15,8218,93.81,1.07
2017,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruWSikor,PM10,1g,27.587681862,1,233.7,32,47.904166667,50.070833333,151.829166667,8248,94.15,0.98
2017,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclChelmMOB,PM10,1g,31.008829105,1.1,369.2,46,54.7625,56.5,211.366666667,8003,91.35,0.89
2017,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclGnia2,PM10,24g,27.398488202,5.8,175.6516,29,47.48,47.7679,175.6516,356,97.53,1.06
2017,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclGniaz,PM10,24g,21.445738686,5.8,61.89262966,5,35.31306001,36.64802437,61.89262966,270,73.97,2.07
2017,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclOkrze,PM10,1g,37.826034028,1.0438,360.381,43,52.544608333,74.733229167,223.2483125,5519,63,0.52
2017,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclOkrze,PM10,24g,33.132151244,7.10788758,215.35811423,50,56.20017795,57.45938497,215.35811423,346,94.79,1
