Year,Voivodeship,Zone code,Zone name,Station code,Indicator,Averaging Time,Mean [ng/m3],Min [ng/m3],Max [ng/m3],Number of measurements,Completeness [%],Summer/Winter Number
2017,dolnośląskie,PL0201,Aglomeracja Wrocławska,DsWrocWybCon,Ni(PM10),24g,1.406019608,0.622,2.515,357,97.8,1.02
2017,dolnośląskie,PL0202,miasto Legnica,DsLegAlRzecz,Ni(PM10),24g,1.324427397,0.27,4.354,365,100,1.01
2017,dolnośląskie,PL0203,miasto Wałbrzych,DsWalbrzWyso,Ni(PM10),24g,0.660240113,0.27,2.41,354,96.98,1.02
2017,dolnośląskie,PL0204,strefa dolnośląska,DsGlogWiStwo,Ni(PM10),24g,0.803566298,0.27,2.747,362,99.17,1
2017,dolnośląskie,PL0204,strefa dolnośląska,DsJelGorSoko,Ni(PM10),24g,0.695352273,0.187,2.046,352,96.43,1.08
2017,dolnośląskie,PL0204,strefa dolnośląska,DsNowRudSreb,Ni(PM10),24g,0.845447514,0.27,2.41,362,99.17,1.02
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOlawZolnAK,Ni(PM10),24g,1.006380682,0.27,2.44,352,96.43,0.94
2017,dolnośląskie,PL0204,strefa dolnośląska,DsOsieczow21,Ni(PM10),24g,0.394747851,0.09,0.825,349,95.61,0.92
2017,dolnośląskie,PL0204,strefa dolnośląska,DsPolKasztan,Ni(PM10),24g,0.979251479,0.27,6.068,338,92.6,1.18
2017,dolnośląskie,PL0204,strefa dolnośląska,DsSzczaKolej,Ni(PM10),24g,0.586247222,0.27,1.85,360,98.63,1.01
2017,dolnośląskie,PL0204,strefa dolnośląska,DsZgorBohGet,Ni(PM10),24g,0.505555556,0.09,1.145,360,98.63,1.02
2017,kujawsko-pomorskie,PL0401,Aglomeracja Bydgoska,KpBydPlPozna,Ni(PM10),24g,1.600764045,0.5,5.2206,302,82.73,1.54
2017,kujawsko-pomorskie,PL0402,miasto Toruń,KpToruDziewu,Ni(PM10),24g,1.637795068,0.5,5.6674,365,100,1.01
2017,kujawsko-pomorskie,PL0403,miasto Włocławek,KpWloclOkrze,Ni(PM10),24g,1.477749332,0.5,5.3361,338,92.6,0.97
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpBrodKochan,Ni(PM10),24g,1.32535989,0.5,4.7124,364,99.72,1
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpCiechTezni,Ni(PM10),24g,1.279002896,0.5,3.8464,332,90.95,1.01
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpGrudSienki,Ni(PM10),24g,1.094022067,0.5,3.001,358,98.08,1.05
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpInowSolank,Ni(PM10),24g,1.036018949,0.5,4.61348459,351,96.16,1.09
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpKoniczynka,Ni(PM10),24g,1.705236667,0.5,5.6583,330,90.41,1.24
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpNaklSkargi,Ni(PM10),24g,1.233091561,0.5,3.1309,348,95.34,1
2017,kujawsko-pomorskie,PL0404,strefa kujawsko - pomorska,KpZielBoryTu,Ni(PM10),24g,0.749322188,0.2,3.36048157,324,88.76,0.78
2017,lubelskie,PL0601,Aglomeracja Lubelska,LbLubSliwins,Ni(PM10),24g,2.708410959,0.4,8.01,365,100,1.01
2017,lubelskie,PL0602,strefa lubelska,LbZamoHrubie,Ni(PM10),24g,2.73630137,0.4,8.63,365,100,1.01
2017,lubuskie,PL0801,miasto Gorzów Wielkopolski,LuGorzKosGdy,Ni(PM10),24g,1.613916914,0.55,8.3,337,92.32,1.19
2017,lubuskie,PL0801,miasto Gorzów Wielkopolski,LuGorzPilsud,Ni(PM10),24g,1.522130682,0.55,11.69,352,96.43,0.93
2017,lubuskie,PL0802,miasto Zielona Góra,LuZielKrotka,Ni(PM10),24g,1.082234637,0.55,4.95,358,98.08,0.97
2017,lubuskie,PL0803,strefa lubuska,LuSulecDudka,Ni(PM10),24g,1.905945946,0.55,14.01,333,91.23,0.84
2017,lubuskie,PL0803,strefa lubuska,LuWsKaziWiel,Ni(PM10),24g,1.181699164,0.55,5.79,359,98.35,1.02
2017,lubuskie,PL0803,strefa lubuska,LuZarySzyman,Ni(PM10),24g,1.248657534,0.55,12.3,365,100,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzLegion,Ni(PM10),24g,2.574,1.09,6.64,365,100,1.01
2017,łódzkie,PL1001,Aglomeracja Łódzka,LdLodzRudzka,Ni(PM10),24g,2.56021978,1.31,5.67,364,99.72,1.01
